school,fall,jan2024,jan2025,jan2026,oct2025,actual
Bear Creek,2023,298.0,,,,298.0
Bear Creek,2024,287.0,318.0,,318.0,318.0
Bear Creek,2025,273.0,308.0,312.0,308.0,312.0
Bear Creek,2026,271.0,302.0,299.0,302.0,
Bear Creek,2027,262.0,290.0,293.0,290.0,
Bear Creek,2028,248.0,274.0,288.0,274.0,
Bear Creek,2029,,272.0,310.0,272.0,
Bear Creek,2030,,,320.0,,
Mesa,2023,233.0,,,,233.0
Mesa,2024,220.0,230.0,,230.0,230.0
Mesa,2025,211.0,230.0,224.0,230.0,224.0
Mesa,2026,202.0,220.0,217.0,220.0,
Mesa,2027,203.0,218.0,203.0,218.0,
Mesa,2028,202.0,216.0,203.0,216.0,
Mesa,2029,,224.0,202.0,224.0,
Mesa,2030,,,201.0,,
