fall,p2.5,p10,p25,p50,p75,p90,p97.5,series
2026,262.0,277.0,290.0,302.0,316.0,331.0,338.0,A Bear Creek
2027,236.0,255.0,273.0,292.0,313.0,331.0,352.0,A Bear Creek
2028,210.0,233.0,254.0,278.0,304.0,328.0,354.0,A Bear Creek
2029,197.0,223.0,248.0,278.0,308.0,337.0,370.0,A Bear Creek
2030,175.0,206.0,236.0,268.0,303.0,335.0,373.0,A Bear Creek
2026,199.0,204.0,209.0,212.0,220.0,224.0,233.0,A Mesa
2027,181.0,187.0,193.0,200.0,209.0,217.0,226.0,A Mesa
2028,170.0,177.0,185.0,194.0,204.0,214.0,226.0,A Mesa
2029,162.0,172.0,180.0,191.0,203.0,215.0,229.0,A Mesa
2030,147.0,157.0,168.0,180.0,193.0,207.0,222.0,A Mesa
2026,462.0,488.0,501.0,516.0,529.0,557.0,567.0,A Combined
2027,423.0,444.0,470.0,493.0,518.0,543.0,570.0,A Combined
2028,388.0,416.0,443.0,472.0,504.0,535.0,569.0,A Combined
2029,373.0,404.0,435.0,470.0,506.0,542.0,583.0,A Combined
2030,340.0,377.0,410.0,448.0,490.0,529.0,575.0,A Combined
2026,266.0,284.0,295.0,308.0,323.0,337.0,345.0,A-level Bear Creek
2027,248.0,267.0,286.0,307.0,328.0,346.0,368.0,A-level Bear Creek
2028,230.0,255.0,276.0,303.0,329.0,353.0,379.0,A-level Bear Creek
2029,230.0,257.0,284.0,313.0,344.0,373.0,405.0,A-level Bear Creek
2030,224.0,254.0,284.0,317.0,352.0,384.0,423.0,A-level Bear Creek
2026,202.0,206.0,211.0,215.0,223.0,227.0,237.0,A-level Mesa
2027,187.0,193.0,199.0,207.0,216.0,224.0,234.0,A-level Mesa
2028,181.0,189.0,196.0,205.0,216.0,226.0,238.0,A-level Mesa
2029,180.0,189.0,198.0,209.0,221.0,233.0,247.0,A-level Mesa
2030,173.0,183.0,193.0,205.0,218.0,232.0,247.0,A-level Mesa
2026,468.0,495.0,510.0,525.0,538.0,567.0,576.0,A-level Combined
2027,440.0,463.0,490.0,514.0,541.0,565.0,594.0,A-level Combined
2028,418.0,449.0,477.0,509.0,542.0,573.0,607.0,A-level Combined
2029,420.0,454.0,487.0,523.0,560.0,596.0,636.0,A-level Combined
2030,410.0,448.0,483.0,523.0,565.0,604.0,650.0,A-level Combined
2026,472.0,501.0,502.0,521.0,534.0,587.0,604.0,A-rw Combined
2027,429.0,448.0,476.0,505.0,560.0,611.0,697.0,A-rw Combined
2028,387.0,418.0,450.0,493.0,575.0,650.0,773.0,A-rw Combined
2029,365.0,401.0,440.0,504.0,606.0,722.0,896.0,A-rw Combined
2030,329.0,369.0,415.0,499.0,624.0,788.0,1027.0,A-rw Combined
2026,262.0,276.0,289.0,304.0,319.0,334.0,351.0,B Bear Creek
2027,237.0,257.0,275.0,296.0,319.0,341.0,367.0,B Bear Creek
2028,219.0,242.0,263.0,288.0,316.0,344.0,380.0,B Bear Creek
2029,202.0,227.0,251.0,281.0,314.0,348.0,389.0,B Bear Creek
2030,187.0,214.0,240.0,273.0,312.0,348.0,398.0,B Bear Creek
2026,196.0,203.0,209.0,216.0,223.0,230.0,237.0,B Mesa
2027,181.0,191.0,199.0,209.0,219.0,229.0,241.0,B Mesa
2028,169.0,180.0,190.0,202.0,214.0,226.0,241.0,B Mesa
2029,157.0,170.0,181.0,194.0,209.0,223.0,241.0,B Mesa
2030,147.0,160.0,173.0,187.0,204.0,221.0,240.0,B Mesa
2026,459.0,479.0,498.0,520.0,543.0,563.0,588.0,B Combined
2027,421.0,449.0,474.0,505.0,537.0,569.0,607.0,B Combined
2028,390.0,423.0,453.0,489.0,530.0,568.0,618.0,B Combined
2029,362.0,398.0,434.0,475.0,521.0,569.0,624.0,B Combined
2030,339.0,377.0,415.0,461.0,514.0,566.0,633.0,B Combined
