spec,fall,retention,p_below_450,p_450_to_492,p_above_492
A-trend,2027,0.8,0.4681,0.3832,0.1487
A-trend,2027,0.9,0.2497,0.4476,0.3027
A-trend,2027,1.0,0.1288,0.3629,0.5083
A-trend,2030,0.8,0.7357,0.1713,0.093
A-trend,2030,0.9,0.6275,0.2152,0.1573
A-trend,2030,1.0,0.5128,0.2449,0.2423
A-level,2027,0.8,0.2559,0.4461,0.298
A-level,2027,0.9,0.1304,0.3536,0.516
A-level,2027,1.0,0.0489,0.2189,0.7322
A-level,2030,0.8,0.289,0.2794,0.4316
A-level,2030,0.9,0.1824,0.2438,0.5738
A-level,2030,1.0,0.1074,0.1936,0.699
