spec,retention,sections,p10,p50,p90
A-trend,0.8,21,16.335852789242196,19.63265341870471,23.333268711482585
A-trend,0.8,18,19.058494920782564,22.90476232182216,27.222146830063014
A-trend,0.9,21,17.142370939916148,20.480732941110393,24.267844157269064
A-trend,0.9,18,19.999432763235504,23.89418843129546,28.312484850147243
A-trend,1.0,21,17.93450789053591,21.34474390590798,25.200653457727825
A-trend,1.0,18,20.923592538958566,24.90220122355931,29.400762367349127
A-level,0.8,21,19.49799874267575,22.948791452466146,26.630335497201735
A-level,0.8,18,22.747665199788376,26.773590027877173,31.068724746735356
A-level,0.9,21,20.41835173486989,23.932170836487153,27.694215341980083
A-level,0.9,18,23.821410357348203,27.920865975901677,32.309917898976764
A-level,1.0,21,21.34249442412052,24.908332025517204,28.74941739935013
A-level,1.0,18,24.89957682814061,29.05972069643674,33.54098696590849
