fall,retention,median,p10,p90,p_over_450,p_over_467,p_over_492,p_under_300,class_size_median,class_size_p90
2027,0.6,412.3576666096476,368.6982857476542,457.8454032239031,0.1493,0.0583,0.0133,0.0,19.63607936236417,21.802162058281098
2027,0.65,422.43845667338263,378.1951399153149,468.5298255673734,0.2199,0.1062,0.0255,0.0,20.11611698444679,22.31094407463683
2027,0.7,432.4229950445648,387.73620805260464,479.1682338320052,0.3143,0.1707,0.0484,0.0,20.591571192598323,22.8175349443812
2027,0.75,442.4450508039397,397.2120011351349,489.8693474673864,0.4183,0.2466,0.0902,0.0,21.068811943044746,23.327111784161257
2027,0.8,452.5337752332789,406.56837954545534,500.68358502676324,0.532,0.3427,0.1504,0.0,21.5492273920609,23.842075477464917
2027,0.85,462.54764545665466,415.9799724630456,511.44572500025265,0.6506,0.4489,0.2157,0.0,22.026078355078795,24.354558333345363
2027,0.9,472.5904381627904,425.33706982936985,522.0431942916583,0.7496,0.5645,0.302,0.0,22.504306579180497,24.859199728174207
2027,0.95,482.4935203946443,434.72056414871986,532.7492380448733,0.8215,0.676,0.4023,0.0,22.97588192355449,25.36901133547016
2027,1.0,492.5046303035856,444.09185028269644,543.3106842003292,0.8698,0.7676,0.5075,0.0,23.452601443027884,25.87193734287282
2030,0.6,376.30177557772146,308.08641218960247,449.814252731343,0.0992,0.0596,0.0253,0.0739,17.91913217036769,21.419726320540143
2030,0.65,385.14261021412125,316.5302817073063,459.6278654786236,0.131,0.0799,0.0376,0.0528,18.340124295910535,21.887041213267793
2030,0.7,394.1326739114636,325.05453309170434,469.54179016936325,0.1718,0.1059,0.0516,0.036,18.768222567212554,22.359132865207773
2030,0.75,403.2319533032032,333.5816802404053,479.1457922379192,0.2155,0.1386,0.07,0.0241,19.20152158586682,22.81646629704377
2030,0.8,412.25213343157577,341.9573856563749,488.9222967032643,0.263,0.1793,0.0906,0.0166,19.63105397293218,23.28201412872687
2030,0.85,421.28939408281997,350.4513972332884,498.6324610856221,0.3185,0.2223,0.1201,0.0112,20.061399718229524,23.744402908839145
2030,0.9,430.11073236199235,358.7211874044106,508.2684800382694,0.3755,0.2709,0.1551,0.0069,20.48146344580916,24.203260954203305
2030,0.95,439.15948113808594,366.93384101565164,518.0717399763199,0.4308,0.3253,0.1965,0.0047,20.912356244670757,24.670082856015235
2030,1.0,448.24266847231627,375.3256848287451,527.8737589555702,0.488,0.381,0.2413,0.0034,21.3448889748722,25.136845664550965
