spec,fall,retention,unit,median,p10,p90,per_grade_median,classes_per_grade_at_25
trend,2027,0.9,K-2 building,213.2862070554621,182.7198440056714,246.4902291117535,71.09540235182071,2.8438160940728285
trend,2027,0.9,3-5 building,259.3172232907959,239.98482658946924,281.4817494188758,86.4390744302653,3.457562977210612
trend,2027,0.9,both,472.9703148161646,425.9726230234237,522.4010826537008,78.8283858026941,3.153135432107764
trend,2027,1.0,K-2 building,221.86532907162666,190.83427287926042,255.79134073811116,73.95510969054222,2.958204387621689
trend,2027,1.0,3-5 building,270.79202441768945,250.3623716092683,293.96780405125503,90.26400813922982,3.6105603255691925
trend,2027,1.0,both,493.17892560895837,444.878800859914,543.819580614332,82.19648760149306,3.2878595040597225
trend,2030,0.9,K-2 building,182.73706607417768,146.10632043926398,220.6538470550232,60.91235535805922,2.436494214322369
trend,2030,0.9,3-5 building,247.49124492035526,205.13220575164948,295.4056273751307,82.49708164011842,3.2998832656047368
trend,2030,0.9,both,431.01310135753,360.7514688493982,506.7662662524839,71.83551689292166,2.8734206757168663
trend,2030,1.0,K-2 building,190.45769229593145,153.41776557499327,229.214776345462,63.48589743197715,2.539435897279086
trend,2030,1.0,3-5 building,257.7391466792301,214.43055655817525,306.92843639066604,85.91304889307669,3.4365219557230677
trend,2030,1.0,both,449.1602359574208,377.7184757326904,526.4790884341757,74.8600393262368,2.994401573049472
level,2027,0.9,K-2 building,233.82203604561926,202.0321970906038,268.54774126902413,77.94067868187308,3.117627147274923
level,2027,0.9,3-5 building,259.78685583148626,239.98482658946924,282.82585474898485,86.59561861049542,3.4638247444198167
level,2027,0.9,both,493.9389317128273,444.1936927190569,545.0036973853681,82.32315528547122,3.2929262114188487
level,2027,1.0,K-2 building,243.22815379607124,210.70415739692265,278.4740980660624,81.07605126535708,3.2430420506142834
level,2027,1.0,3-5 building,271.31511746218206,250.3623716092683,295.1731789738693,90.43837248739402,3.6175348994957606
level,2027,1.0,both,514.7221700322691,463.8190640433994,567.0366281029042,85.78702833871152,3.431481133548461
level,2030,0.9,K-2 building,231.3537315930024,193.19580494428288,273.1221079823587,77.1179105310008,3.084716421240032
level,2030,0.9,3-5 building,270.89565788322915,226.2723320007771,323.00416514207257,90.29855262774305,3.611942105109722
level,2030,0.9,both,503.26899793032976,429.12234496751535,583.9099113919764,83.87816632172162,3.355126652868865
level,2030,1.0,K-2 building,240.76341797308442,202.04478767871257,283.34283882684025,80.2544726576948,3.2101789063077923
level,2030,1.0,3-5 building,282.0288205699234,236.3317864805689,335.3225115920395,94.00960685664114,3.7603842742656455
level,2030,1.0,both,523.8398219384785,448.1926511253967,605.8678507879707,87.30663698974642,3.492265479589857
