run,year,value,kind
jan2024,2023-24,10074,actual
jan2024,2024-25,9842,projection
jan2024,2025-26,9619,projection
jan2024,2026-27,9506,projection
jan2024,2027-28,9308,projection
jan2024,2028-29,9174,projection
jan2025,2024-25,9952,actual
jan2025,2025-26,9825,projection
jan2025,2026-27,9743,projection
jan2025,2027-28,9589,projection
jan2025,2028-29,9444,projection
jan2025,2029-30,9431,projection
jan2026,2025-26,9689,actual
jan2026,2026-27,9540,projection
jan2026,2027-28,9367,projection
jan2026,2028-29,9273,projection
jan2026,2029-30,9319,projection
jan2026,2030-31,9408,projection
