school,capacity,lo_2027,hi_2027,lo_2030,hi_2030,deck_page,pct_hi_2030,pct_lo_2030,rounds_lo_2030,rounds_hi_2030,seats_left_at_hi_2030,range_width_2030
Kohl (receives Birch),541,433,473,437,474,25,0.8761552680221811,0.8077634011090573,2.9133333333333336,3.16,67,37
Fireside,516,427,436,421,430,37,0.8333333333333334,0.8158914728682171,2.8066666666666666,2.8666666666666667,86,9
Eldorado K-5,568,343,365,353,377,37,0.6637323943661971,0.6214788732394366,2.3533333333333335,2.513333333333333,191,24
Superior,467,447,458,424,436,37,0.9336188436830836,0.9079229122055674,2.8266666666666667,2.9066666666666667,31,12
Coal Creek,492,396,426,395,427,48,0.8678861788617886,0.8028455284552846,2.6333333333333333,2.8466666666666667,65,32
Eisenhower,492,289,294,297,302,48,0.6138211382113821,0.6036585365853658,1.98,2.013333333333333,190,5
Heatherwood,492,260,267,260,268,48,0.5447154471544715,0.5284552845528455,1.7333333333333334,1.7866666666666666,224,8
Bear Creek (receives Mesa),492,392,445,403,462,51,0.9390243902439024,0.8191056910569106,2.6866666666666665,3.08,30,59
Foothill,565,488,497,484,492,54,0.8707964601769912,0.856637168141593,3.2266666666666666,3.28,73,8
Whittier,442,337,357,315,329,54,0.744343891402715,0.7126696832579186,2.1,2.1933333333333334,113,14
