school,capacity,proj_2030-31,enroll_base,rounds_2030
Aspen Creek K-8,442.0,504.0,472.0,3.36
BCSIS,590.0,526.0,536.0,3.506666666666667
Columbine Elementary School,590.0,322.0,313.0,2.1466666666666665
Community Montessori,369.0,167.0,193.0,1.1133333333333333
Creekside Elementary at Martin Park,369.0,215.0,288.0,1.4333333333333333
Crest View Elementary,615.0,327.0,330.0,2.18
Emerald Elementary School,393.0,345.0,365.0,2.3
Gold Hill Elementary School,49.0,12.0,11.0,0.08
Jamestown Elementary School,25.0,14.0,17.0,0.09333333333333334
Lafayette Elementary School,565.0,392.0,450.0,2.6133333333333333
Louisville Elementary School,590.0,343.0,382.0,2.2866666666666666
Meadowlark School,441.0,605.0,471.0,4.033333333333333
Nederland Elementary School,467.0,160.0,166.0,1.0666666666666667
Pioneer Elementary School,541.0,343.0,371.0,2.2866666666666666
Ryan Elementary School,467.0,346.0,393.0,2.3066666666666666
Alicia Sanchez Elementary School,418.0,298.0,276.0,1.9866666666666666
University Hill Elementary School,590.0,345.0,368.0,2.3
