component,year,sending_proj,receivers_proj,sum_standalone,range_lo,range_hi,implied_share_lo,implied_share_hi,students_outside_range_at_hi,deck_page
Mesa -> Bear Creek,2027-28,203.0,293.0,496.0,392,445,0.4876847290640394,0.7487684729064039,51.0,51
Mesa -> Bear Creek,2030-31,201.0,320.0,521.0,403,462,0.4129353233830846,0.7064676616915423,59.0,51
Birch -> Kohl,2027-28,215.0,258.0,473.0,433,473,0.813953488372093,1.0,0.0,25
Birch -> Kohl,2030-31,208.0,266.0,474.0,437,474,0.8221153846153846,1.0,0.0,25
Flatirons -> Foothill + Whittier,2027-28,154.0,700.0,854.0,825,854,0.8116883116883117,1.0,0.0,54
Flatirons -> Foothill + Whittier,2030-31,157.0,670.0,827.0,799,821,0.821656050955414,0.9617834394904459,6.0,54
Douglass -> Coal Creek + Eisenhower + Heatherwood,2027-28,278.0,707.0,985.0,945,987,0.8561151079136691,1.0071942446043165,-2.0,48
Douglass -> Coal Creek + Eisenhower + Heatherwood,2030-31,284.0,713.0,997.0,952,997,0.8415492957746479,1.0,0.0,48
Monarch K-5 -> Fireside + Superior + Eldorado K-5,2027-28,258.0,1050.0,1308.0,1217,1259,0.6472868217054264,0.810077519379845,49.0,37
Monarch K-5 -> Fireside + Superior + Eldorado K-5,2030-31,284.0,1041.0,1325.0,1198,1243,0.5528169014084507,0.7112676056338029,82.0,37
