spec,fall,class_size_basis,rooms,retention,total_median,sections_p10,sections_p50,sections_p90,p_sections_over_rooms,p_total_over_492,largest_grade_median,sections_by_grade_median
trend,2027,staffing formula 24.58,21,0.9,472.77131262500114,20.0,23.0,24.0,0.7278,0.3027,98.78383247911373,"[3, 3, 4, 4, 4, 4]"
trend,2027,staffing formula 24.58,18,0.9,472.77131262500114,20.0,23.0,24.0,0.9836,0.3027,98.78383247911373,"[3, 3, 4, 4, 4, 4]"
trend,2027,BVEA goals 26/29/31,21,0.9,472.77131262500114,17.0,19.0,21.0,0.0966,0.3027,98.78383247911373,"[3, 3, 3, 3, 3, 4]"
trend,2027,BVEA goals 26/29/31,18,0.9,472.77131262500114,17.0,19.0,21.0,0.701,0.3027,98.78383247911373,"[3, 3, 3, 3, 3, 4]"
trend,2027,assumed 25 (earlier draft),21,0.9,472.77131262500114,19.0,22.0,24.0,0.6495,0.3027,98.78383247911373,"[3, 3, 4, 4, 4, 4]"
trend,2027,assumed 25 (earlier draft),18,0.9,472.77131262500114,19.0,22.0,24.0,0.9751,0.3027,98.78383247911373,"[3, 3, 4, 4, 4, 4]"
trend,2030,staffing formula 24.58,21,0.9,430.0953917633183,17.0,21.0,24.0,0.3475,0.1573,97.35708783081603,"[3, 3, 3, 3, 4, 4]"
trend,2030,staffing formula 24.58,18,0.9,430.0953917633183,17.0,21.0,24.0,0.8028,0.1573,97.35708783081603,"[3, 3, 3, 3, 4, 4]"
trend,2030,BVEA goals 26/29/31,21,0.9,430.0953917633183,15.0,18.0,21.0,0.0521,0.1573,97.35708783081603,"[3, 3, 3, 3, 3, 4]"
trend,2030,BVEA goals 26/29/31,18,0.9,430.0953917633183,15.0,18.0,21.0,0.4028,0.1573,97.35708783081603,"[3, 3, 3, 3, 3, 4]"
trend,2030,assumed 25 (earlier draft),21,0.9,430.0953917633183,17.0,20.0,23.0,0.3055,0.1573,97.35708783081603,"[3, 3, 3, 3, 4, 4]"
trend,2030,assumed 25 (earlier draft),18,0.9,430.0953917633183,17.0,20.0,23.0,0.768,0.1573,97.35708783081603,"[3, 3, 3, 3, 4, 4]"
level,2027,staffing formula 24.58,21,0.9,493.61030375116206,21.0,23.0,25.0,0.8459,0.516,98.82783834586466,"[3, 4, 4, 4, 4, 4]"
level,2027,staffing formula 24.58,18,0.9,493.61030375116206,21.0,23.0,25.0,0.9951,0.516,98.82783834586466,"[3, 4, 4, 4, 4, 4]"
level,2027,BVEA goals 26/29/31,21,0.9,493.61030375116206,18.0,20.0,22.0,0.2538,0.516,98.82783834586466,"[3, 3, 3, 3, 3, 4]"
level,2027,BVEA goals 26/29/31,18,0.9,493.61030375116206,18.0,20.0,22.0,0.8519,0.516,98.82783834586466,"[3, 3, 3, 3, 3, 4]"
level,2027,assumed 25 (earlier draft),21,0.9,493.61030375116206,21.0,23.0,25.0,0.7818,0.516,98.82783834586466,"[3, 4, 4, 4, 4, 4]"
level,2027,assumed 25 (earlier draft),18,0.9,493.61030375116206,21.0,23.0,25.0,0.9935,0.516,98.82783834586466,"[3, 4, 4, 4, 4, 4]"
level,2030,staffing formula 24.58,21,0.9,502.5755875662302,20.0,23.0,27.0,0.7932,0.5738,103.0877990276646,"[3, 4, 4, 4, 4, 4]"
level,2030,staffing formula 24.58,18,0.9,502.5755875662302,20.0,23.0,27.0,0.9862,0.5738,103.0877990276646,"[3, 4, 4, 4, 4, 4]"
level,2030,BVEA goals 26/29/31,21,0.9,502.5755875662302,18.0,21.0,23.0,0.3301,0.5738,103.0877990276646,"[3, 3, 3, 3, 3, 4]"
level,2030,BVEA goals 26/29/31,18,0.9,502.5755875662302,18.0,21.0,23.0,0.8177,0.5738,103.0877990276646,"[3, 3, 3, 3, 3, 4]"
level,2030,assumed 25 (earlier draft),21,0.9,502.5755875662302,20.0,23.0,26.0,0.7568,0.5738,103.0877990276646,"[3, 4, 4, 4, 4, 4]"
level,2030,assumed 25 (earlier draft),18,0.9,502.5755875662302,20.0,23.0,26.0,0.9796,0.5738,103.0877990276646,"[3, 4, 4, 4, 4, 4]"
