new_outside_admissions_per_year,mesa_nonresidents_readmitted,fall,residents,residents_attending,bear_creek_outside_remaining,placements,mesa_nonresidents_remaining,new_admissions,outside_total,enrollment,range_lo,range_hi
0,False,2027,473.0,391.171,46.666666666666664,23,0.0,0,69.66666666666666,460.8376666666667,392,445
0,False,2030,522.0,431.69399999999996,18.666666666666668,23,0.0,0,41.66666666666667,473.36066666666665,403,462
0,True,2027,473.0,391.171,46.666666666666664,23,35.0,0,104.66666666666666,495.8376666666667,392,445
0,True,2030,522.0,431.69399999999996,18.666666666666668,23,14.0,0,55.66666666666667,487.36066666666665,403,462
10,False,2027,473.0,391.171,46.666666666666664,23,0.0,10,79.66666666666666,470.8376666666667,392,445
10,False,2030,522.0,431.69399999999996,18.666666666666668,23,0.0,40,81.66666666666667,513.3606666666666,403,462
10,True,2027,473.0,391.171,46.666666666666664,23,35.0,10,114.66666666666666,505.8376666666667,392,445
10,True,2030,522.0,431.69399999999996,18.666666666666668,23,14.0,40,95.66666666666667,527.3606666666666,403,462
20,False,2027,473.0,391.171,46.666666666666664,23,0.0,20,89.66666666666666,480.8376666666667,392,445
20,False,2030,522.0,431.69399999999996,18.666666666666668,23,0.0,80,121.66666666666667,553.3606666666666,403,462
20,True,2027,473.0,391.171,46.666666666666664,23,35.0,20,124.66666666666666,515.8376666666667,392,445
20,True,2030,522.0,431.69399999999996,18.666666666666668,23,14.0,80,135.66666666666669,567.3606666666667,403,462
