school,school_table,oct2023,oct2024,oct2025,count_2026-08-28,proj_2026-27,diff,pct_diff,vs_oct2025_pct,capacity,proj_2027-28,proj_2030-31
ASPEN CREEK K-5,Aspen Creek K-8,420,443,473,499,490.0,9.0,1.836734693877551,5.496828752642702,442.0,503.0,504.0
BEAR CREEK,Bear Creek Elementary,298,318,312,330,299.0,31.0,10.367892976588628,5.769230769230771,492.0,293.0,320.0
BIRCH,Birch Elementary,279,276,261,256,238.0,18.0,7.563025210084033,-1.9157088122605415,418.0,215.0,208.0
BOULDER UNIVERSAL,,42,46,39,40,,,,2.564102564102555,,,
COAL CREEK,Coal Creek Elementary School,305,283,269,256,256.0,0.0,0.0,-4.832713754646845,492.0,252.0,248.0
COLUMBINE,Columbine Elementary School,352,343,313,304,322.0,-18.0,-5.590062111801243,-2.8753993610223683,590.0,322.0,322.0
CREEKSIDE,Creekside Elementary at Martin Park,333,327,288,252,277.0,-25.0,-9.025270758122744,-12.5,369.0,252.0,215.0
CREST VIEW,Crest View Elementary,410,390,330,332,318.0,14.0,4.40251572327044,0.60606060606061,615.0,304.0,327.0
DOUGLASS,Douglass Elementary School,286,282,281,285,278.0,7.0,2.5179856115107913,1.4234875444839812,418.0,278.0,284.0
EISENHOWER,Eisenhower Elementary School,311,276,265,231,253.0,-22.0,-8.695652173913043,-12.83018867924528,492.0,246.0,255.0
ELDORADO K-5,Eldorado K-8,263,256,252,274,253.0,21.0,8.300395256916996,8.73015873015872,568.0,247.0,249.0
EMERALD,Emerald Elementary School,355,347,365,362,355.0,7.0,1.971830985915493,-0.8219178082191747,393.0,341.0,345.0
FIRESIDE,Fireside Elementary School,396,397,406,399,385.0,14.0,3.6363636363636362,-1.7241379310344862,516.0,373.0,359.0
FLATIRONS,Flatirons Elementary School,164,163,151,148,147.0,1.0,0.6802721088435374,-1.9867549668874163,320.0,154.0,157.0
FOOTHILL,Foothill Elementary School,437,418,434,446,437.0,9.0,2.059496567505721,2.764976958525356,565.0,444.0,438.0
GOLD HILL,Gold Hill Elementary School,12,10,11,11,13.0,-2.0,-15.384615384615385,0.0,49.0,13.0,12.0
HEATHERWOOD,Heatherwood Elementary School,226,233,225,226,216.0,10.0,4.62962962962963,0.4444444444444473,492.0,209.0,210.0
HORIZONS K-5,,242,238,245,250,,,,2.0408163265306145,,,
JAMESTOWN,Jamestown Elementary School,18,17,17,18,19.0,-1.0,-5.2631578947368425,5.882352941176472,25.0,17.0,14.0
KOHL,Kohl Elementary School,251,254,256,249,258.0,-9.0,-3.488372093023256,-2.734375,541.0,258.0,266.0
LAFAYETTE,Lafayette Elementary School,444,465,450,394,454.0,-60.0,-13.215859030837004,-12.444444444444446,565.0,435.0,392.0
LOUISVILLE,Louisville Elementary School,422,417,382,376,373.0,3.0,0.8042895442359249,-1.5706806282722474,590.0,363.0,343.0
MEADOWLARK K-5,Meadowlark School,464,468,471,484,479.0,5.0,1.0438413361169103,2.7600849256900206,441.0,511.0,605.0
MESA,Mesa Elementary School,233,230,224,204,217.0,-13.0,-5.990783410138249,-8.92857142857143,418.0,203.0,201.0
MONARCH K-5,Monarch K-8 School,274,264,264,264,270.0,-6.0,-2.2222222222222223,0.0,381.0,258.0,284.0
MONTESSORI SCHOOL,Community Montessori,227,232,193,178,175.0,3.0,1.7142857142857142,-7.772020725388606,369.0,172.0,167.0
NEDERLAND,Nederland Elementary School,165,172,166,164,171.0,-7.0,-4.093567251461988,-1.2048192771084376,467.0,166.0,160.0
PEAK TO PEAK K-5,,447,445,450,450,,,,0.0,,,
PIONEER,Pioneer Elementary School,415,397,371,383,349.0,34.0,9.742120343839542,3.2345013477088846,541.0,341.0,343.0
RYAN,Ryan Elementary School,426,410,393,414,381.0,33.0,8.661417322834646,5.343511450381677,467.0,365.0,346.0
SANCHEZ,Alicia Sanchez Elementary School,285,290,276,246,286.0,-40.0,-13.986013986013987,-10.869565217391308,418.0,284.0,298.0
SUPERIOR,Superior Elementary School,429,416,433,414,425.0,-11.0,-2.588235294117647,-4.387990762124716,467.0,430.0,433.0
UNIVERSITY HILL,University Hill Elementary School,372,380,368,350,359.0,-9.0,-2.5069637883008355,-4.891304347826086,590.0,348.0,345.0
WHITTIER,Whittier International Elementary,291,267,257,253,258.0,-5.0,-1.937984496124031,-1.5564202334630295,442.0,256.0,232.0
BCSIS + HIGH PEAKS,BCSIS,510,511,536,530,529.0,1.0,0.1890359168241966,-1.1194029850746245,590.0,514.0,526.0
