fall,births_5yr_earlier,K_bear_creek,K_mesa,K_both,ratio_both,ratio_bc,ratio_mesa,county_births_5yr_earlier,ratio_to_county_pct
2014,83.0,58.0,47.0,105.0,1.2650602409638554,0.6987951807228916,0.5662650602409639,3187,3.2946344524631317
2015,87.0,68.0,37.0,105.0,1.206896551724138,0.7816091954022989,0.42528735632183906,3141,3.3428844317096464
2016,62.0,60.0,35.0,95.0,1.532258064516129,0.967741935483871,0.5645161290322581,2995,3.1719532554257097
2017,76.0,70.0,32.0,102.0,1.3421052631578947,0.9210526315789473,0.42105263157894735,2954,3.4529451591062967
2018,71.0,48.0,38.0,86.0,1.2112676056338028,0.676056338028169,0.5352112676056338,2963,2.90246371920351
2019,73.0,43.0,36.0,79.0,1.082191780821918,0.589041095890411,0.4931506849315068,2939,2.6879891119428376
2020,57.0,29.0,33.0,62.0,1.087719298245614,0.5087719298245614,0.5789473684210527,2857,2.1701085054252713
2021,56.0,48.0,34.0,82.0,1.4642857142857142,0.8571428571428571,0.6071428571428571,2841,2.886307638155579
2022,58.0,50.0,27.0,77.0,1.3275862068965518,0.8620689655172413,0.46551724137931033,2628,2.929984779299848
2023,50.0,32.0,26.0,58.0,1.16,0.64,0.52,2580,2.248062015503876
2024,33.0,51.0,33.0,84.0,2.5454545454545454,1.5454545454545454,1.0,2525,3.3267326732673266
2025,45.0,48.0,28.0,76.0,1.6888888888888889,1.0666666666666667,0.6222222222222222,2507,3.031511767052254
