run,fall,bc_median,mesa_median,both_median,merged90_median,merged90_p10,merged90_p90,p_over_450,p_over_492,k_both_median
"births spec, ratio window 2020-25",2027,308.45283872449124,212.19526398735792,519.641187001288,498.4924071815408,453.73092882729884,565.5918012980937,0.9174,0.5532,75.67241379310344
"births spec, ratio window 2020-25",2030,367.9991793673106,250.51267393028837,616.711025614117,591.8125078141629,499.7741362862306,711.2110928894559,0.9876,0.9216,99.6148676592225
"births spec, ratio window 2014-25",2027,300.8810935185177,205.54906311400248,505.03771521659723,484.6654142608508,448.96174974943904,543.7048432376084,0.8919,0.4201,75.67241379310344
"births spec, ratio window 2014-25",2030,342.5240626499826,226.98803843453783,568.5760985120522,546.111472099233,477.7110403255686,649.1832050661471,0.9759,0.8339,90.27549403569614
"births spec, ratio window 2014-23 (excludes the 2024-25 ratios)",2027,292.26392756646004,202.26166062683717,494.264868369791,474.03858064482347,442.8813254649588,513.265576717005,0.8416,0.259,69.04225352112675
"births spec, ratio window 2014-23 (excludes the 2024-25 ratios)",2030,314.430288998934,213.476963275265,526.3742385922858,504.9798134022748,460.27309116940904,562.7908756309399,0.9475,0.639,90.27549403569614
"births spec, ratio window 2014-24 (excludes 2025)",2027,297.9852357535838,205.02835232872212,501.2132413645423,480.902537679742,445.73363910469095,542.1594365948503,0.8706,0.3853,72.10843373493977
"births spec, ratio window 2014-24 (excludes 2025)",2030,335.64668568332803,225.04020953843417,559.9469240890081,537.5573650520896,470.3958334110001,641.918314027555,0.9661,0.7762,90.27549403569614
"births spec, 2020-25, B2025 at 2022-24 mean",2027,308.45283872449124,212.19526398735792,519.641187001288,498.4924071815408,453.73092882729884,565.5918012980937,0.9174,0.5532,75.67241379310344
"births spec, 2020-25, B2025 at 2022-24 mean",2030,357.95887088800646,243.29346663606054,599.8347865333371,575.6175157587642,485.90898990925524,692.4134598835607,0.9764,0.8804,84.2214696223317
trend (analysis/03),2027,292.025007122662,200.183879255443,492.6979711953653,472.7713126250011,425.06738586703415,521.9210316878122,0.7503,0.3027,
trend (analysis/03),2030,268.23333681795305,180.0520116270686,448.2396220240677,430.0953917633183,359.9897897382391,509.62472730265034,0.3725,0.1573,
level (analysis/03),2027,306.72455485207735,206.9508693570313,514.2610635460619,493.610303751162,443.22157493440733,543.320294808308,0.8696,0.516,
level (analysis/03),2030,317.4354526876225,204.77054397451815,523.0749725358612,502.5755875662302,428.78538643226767,581.5785221815819,0.8176,0.5738,
