october_year,school,planning_projection,funded_headcount,difference,pct_err
2015,BEAR CREEK,434,441,7.0,-1.5873015873015872
2016,BEAR CREEK,447,438,-9.0,2.0547945205479454
2017,BEAR CREEK,429,448,19.0,-4.241071428571429
2018,BEAR CREEK,459,425,-34.0,8.0
2019,BEAR CREEK,412,400,-12.0,3.0
2021,BEAR CREEK,335,345,10.0,-2.898550724637681
2022,BEAR CREEK,336,342,6.0,-1.7543859649122806
2023,BEAR CREEK,317,298,-19.0,6.375838926174497
2024,BEAR CREEK,296,318,22.0,-6.918238993710692
2025,BEAR CREEK,308,312,4.0,-1.2820512820512822
2015,MESA,334,320,-14.0,4.375
2016,MESA,301,287,-14.0,4.878048780487805
2017,MESA,276,271,-5.0,1.845018450184502
2018,MESA,256,260,4.0,-1.5384615384615385
2019,MESA,249,261,12.0,-4.597701149425287
2021,MESA,240,247,7.0,-2.834008097165992
2022,MESA,264,246,-18.0,7.317073170731708
2023,MESA,239,233,-6.0,2.575107296137339
2024,MESA,218,230,12.0,-5.217391304347826
2025,MESA,230,224,-6.0,2.6785714285714284
