school,school_year,measure,value,data_type,_source,_page,extraction,note
Bear Creek,2025-26,capacity,492,capacity,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Bear Creek,2025-26,resident_students,275,actual,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Bear Creek,2025-26,enrolled_students,312,actual,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Bear Creek,2025-26,utilization_pct,63,actual,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Mesa,2025-26,capacity,418,capacity,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Mesa,2025-26,resident_students,228,actual,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Mesa,2025-26,enrolled_students,224,actual,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Mesa,2025-26,utilization_pct,54,actual,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2027-28,capacity,492,capacity,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2027-28,resident_students,473,projection,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2027-28,enrolled_students_low,392,projection,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2027-28,enrolled_students_high,445,projection,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2027-28,utilization_pct_low,80,projection,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2027-28,utilization_pct_high,90,projection,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2030-31,resident_students,522,projection,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2030-31,enrolled_students_low,403,projection,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2030-31,enrolled_students_high,462,projection,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2030-31,utilization_pct_low,82,projection,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
Consolidated (Bear Creek bldg),2030-31,utilization_pct_high,94,projection,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,'*Projected enrollment ranges dependent on number of resident students from the sending school attending the receiving school.'
