spec,key,fit_through,vintage,target_fall,horizon,actual,p50,p2_5,p10,p25,p75,p90,p97_5,in50,in80,in95,above_p90,below_p10,ape_model,pct_err_model,ape_bvsd
trend,aliciasanchezelementaryschool,2023,jan2024,2024,1,290.0,271.3625509539249,231.75859190833611,243.54049708104213,257.92358986276565,281.5050063440094,295.14660486541,305.3669374570238,False,True,True,False,False,6.42670656761211,-6.42670656761211,6.896551724137931
trend,aliciasanchezelementaryschool,2023,jan2024,2025,2,276.0,253.8721866093105,206.97438981611683,221.36580086806697,236.65748657277425,271.7879059140615,289.2975523014989,309.42237463933924,False,True,True,False,False,8.017323692278808,-8.017323692278808,15.217391304347826
trend,bcsis,2023,jan2024,2024,1,511.0,493.35726247636524,459.6614108171863,464.3099785812372,484.87708520637614,500.53285039688274,506.8188367054945,514.3519510502249,False,False,True,True,False,3.4525905134314607,-3.4525905134314607,4.892367906066537
trend,bcsis,2023,jan2024,2025,2,536.0,490.8244473212676,441.01121723186293,457.6576368065954,472.36447971044436,505.6725430004668,519.6049094667176,534.9748012395518,False,False,False,True,False,8.42827475349485,-8.42827475349485,10.447761194029852
trend,bearcreekelementary,2023,jan2024,2024,1,318.0,282.165831337422,245.17531933103052,252.51920199327824,272.0755653399142,296.9686237205236,309.5797837337672,317.8785175321004,False,False,False,True,False,11.26860649766604,-11.26860649766604,9.748427672955977
trend,bearcreekelementary,2023,jan2024,2025,2,312.0,265.47875498835356,216.7729210496881,231.43998287861118,248.19084719756347,283.7978550706718,300.3330974792604,319.6765845967387,False,False,True,True,False,14.910655452450783,-14.910655452450783,12.5
trend,coalcreekelementaryschool,2023,jan2024,2024,1,283.0,292.8841953935653,259.26843834474454,265.3136778203643,278.53988207834806,299.07561561301696,338.8688879850786,343.63283031064094,True,True,True,False,False,3.492648548962996,3.492648548962996,1.7667844522968197
trend,coalcreekelementaryschool,2023,jan2024,2025,2,269.0,282.24376074421104,240.35483677405227,253.68483761775448,267.28919918036735,300.754151202232,330.1114642904464,346.0730471445264,True,True,True,False,False,4.923331131676968,4.923331131676968,2.2304832713754648
trend,columbineelementaryschool,2023,jan2024,2024,1,343.0,333.6327845376718,286.9849058291446,293.1423927893476,325.1165321728635,339.94774067148126,345.1115123389629,349.62564750413196,False,True,True,False,False,2.7309666070927707,-2.7309666070927707,5.539358600583091
trend,columbineelementaryschool,2023,jan2024,2025,2,313.0,315.8028131918664,262.11290376558406,277.20672419739975,297.25399937278155,326.17285614333593,333.9805814406295,342.3781520362484,True,True,True,False,False,0.8954674734397418,0.8954674734397418,1.2779552715654952
