item,value,unit,fiscal_year,source_file,page_or_sheet,quote,status,note
"GF total expenditures, proposed budget",386231155,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p139,"TOTAL EXPENDITURES $ 326,860,662 $ 342,333,558 $ 365,653,117 $ 382,553,239 $ 386,231,155",found,also p171 GRAND TOTAL and p54 GRAND TOTAL; June 9 2026 adoption item states the Proposed Budget document is the adopted budget
"GF total expenditures, estimated actual",382553239,USD,2025-26,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p139,"TOTAL EXPENDITURES ... $ 382,553,239 (2025-26 Estimated Actual)",found,
"GF total expenditures, revised budget",391349026,USD,2025-26,data/raw/bvsd/budget/bvsd_2025-26_revised_budget_book.txt,p56 (also FY27 book p54),"GRAND TOTAL $322,373,487 $351,401,591 $368,100,344 $395,430,587 $391,349,026 100.00%",found,
"GF total expenditures, adopted budget",379390356,USD,2025-26,data/raw/bvsd/budget/bvsd_2025-26_adopted_budget_june.txt,p135,"TOTAL EXPENDITURES $ 3 06,484,891 $ 326,860,662 $ 342,333,558 $ 385,466,283 $ 379,390,356",found,
"GF total expenditures, audited actual",365653117,USD,2024-25,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p139,"TOTAL EXPENDITURES ... $ 365,653,117 (2024-25 Audited Actual)",found,
"GF total revenue, proposed budget",440114931,USD,2026-27,data/raw/bvsd/boarddocs/budget_fy2027_general_fund_and_db_2026-05-26.txt,printed p3 'Revenue Summary' (also FY27 book p138),"TOTAL REVENUE $ 384,025,439 $ 415,139,489 $ 431,413,013 $ 441,985,426 $ 440,114,931",found,
GF beginning fund balance,65648539,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p117,"General Operating Fund $ 65,648,539 $ 44,189,497 $ 21,459,042 $ 5,437,892",found,
"GF total resources (sources), proposed budget",505763470,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p51 (headline); components p117 + p138,2026-27 Total Resources: $505.8M,derived,"= beginning balance 65,648,539 + revenue 440,114,931; the GF summary table (p137 / GFDB p2) prints $505,763,47x but the digits are scrambled in the text export; Res 26-25 GF appropriation 506,613,945 = 505,763,470 + 850,475 transfer-in from Community Schools Fund"
GF total uses (expenditures + reserves + transfers),500325578,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p139,"TOTAL USES $ 379,453,072 $ 408,570,605 $ 430,721,631 $ 459,394,474 $ 500,325,578",found,
GF total reserves,44189497,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p139,"TOTAL RESERVES $ - $ - $ - $ - $ 4 4,189,497",found,
