birth_year,area,normalized_area,births,is_total,row_ok,source_file,meeting_date,table_date,k_year
1994,Aspen Crk,Aspen Creek,70,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,BC-Creekside,BC-Creekside,5,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,BC-Mesa,BC-Mesa,21,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Bear Creek,Bear Creek,28,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Birch,Birch,68,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Coal Creek,Coal Creek,86,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Columbine,Columbine,144,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Creekside,Creekside,165,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Crest View,Crest View,125,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Douglass,Douglass,34,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Eisenhower,Eisenhower,91,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Eldorado (K-5),Eldorado,1,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Emerald,Emerald,75,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1994,Fireside,Fireside,85,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
