school_as_printed,school_year,headcount_prior_year_as_printed,funded_headcount,funded_fte,_source,_page,PK,K,G1,G2,G3,G4,G5,grade_sum_K5,grade_check
Aspen Creek K-8 (K-5),2014-15,493,524,478.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,25.0,68.0,66.0,76.0,96.0,82.0,111.0,499.0,True
Bear Creek Elementary,2014-15,414,417,386.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,58.0,78.0,65.0,86.0,75.0,55.0,417.0,True
Birch Elementary,2014-15,359,383,359.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,44.0,63.0,57.0,42.0,54.0,57.0,66.0,339.0,True
BCSIS,2014-15,294,307,281.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,48.0,50.0,52.0,54.0,51.0,52.0,307.0,True
Boulder Explore,2014-15,24,26,13.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,2.0,5.0,3.0,5.0,10.0,1.0,26.0,True
Boulder Universal,2014-15,0,4,4.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,True
Coal Creek Elementary School,2014-15,431,427,398.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,56.0,63.0,71.0,73.0,89.0,75.0,427.0,True
Columbine Elementary School,2014-15,480,496,436.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,42.0,73.0,101.0,71.0,73.0,74.0,62.0,454.0,True
Creekside Elementary at Martin Park,2014-15,340,333,287.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,39.0,48.0,49.0,55.0,47.0,54.0,41.0,294.0,True
Crest View Elementary,2014-15,607,586,544.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,82.0,81.0,104.0,93.0,117.0,109.0,586.0,True
Douglass Elementary School,2014-15,478,463,429.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,9.0,59.0,78.0,85.0,73.0,77.0,82.0,454.0,True
Eisenhower Elementary School,2014-15,404,405,377.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,52.0,77.0,46.0,78.0,80.0,72.0,405.0,True
Eldorado K-8 (K-5),2014-15,537,536,508.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,56.0,86.0,91.0,111.0,86.0,106.0,536.0,True
Emerald Elementary School,2014-15,335,376,318.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,43.0,75.0,74.0,49.0,46.0,45.0,44.0,333.0,True
Fireside Elementary School,2014-15,456,458,414.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,23.0,65.0,72.0,63.0,81.0,73.0,81.0,435.0,True
Flatirons Elementary School,2014-15,307,290,273.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,31.0,46.0,49.0,56.0,53.0,55.0,290.0,True
Foothill Elementary School,2014-15,574,545,506.5,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,75.0,82.0,91.0,108.0,78.0,111.0,545.0,True
Gold Hill Elementary School,2014-15,23,27,25.0,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,0.0,4.0,2.0,8.0,3.0,5.0,5.0,27.0,True
