vintage,school,ocr_label,base_year,capacity,enroll_base,official_base,ocr_check,enroll_exact,min_conf,n_ints,proj_2024-25,proj_2025-26,proj_2026-27,proj_2027-28,proj_2028-29,proj_2029-30,proj_2030-31,verified_visually
feb2024,Aspen Creek K-8,Aspen Creek,2023-24,461.0,420.0,420,True,True,0.95,20,440.0,439.0,440.0,429.0,415.0,,,False
feb2024,BCSIS,BCSIS-HP,2023-24,590.0,510.0,510,True,True,0.92,20,486.0,480.0,475.0,462.0,459.0,,,False
feb2024,Bear Creek Elementary,BearCreek,2023-24,467.0,298.0,298,True,True,0.96,20,287.0,273.0,271.0,262.0,248.0,,,True
feb2024,Birch Elementary,Birch,2023-24,418.0,279.0,279,True,True,0.98,20,259.0,237.0,217.0,189.0,165.0,,,False
feb2024,Coal Creek Elementary School,Coal Creek,2023-24,516.0,305.0,305,True,True,0.95,20,278.0,263.0,244.0,226.0,225.0,,,False
feb2024,Columbine Elementary School,Columbine,2023-24,590.0,352.0,352,True,True,0.99,20,324.0,309.0,298.0,288.0,285.0,,,False
feb2024,Community Montessori,Montessori,2023-24,392.0,227.0,227,True,True,0.99,20,226.0,227.0,222.0,227.0,229.0,,,False
feb2024,Creekside Elementary at Martin Park,Creekside,2023-24,369.0,333.0,333,True,True,0.85,20,321.0,313.0,300.0,273.0,246.0,,,False
feb2024,Crest View Elementary,CrestView,2023-24,615.0,410.0,410,True,True,0.99,20,385.0,362.0,356.0,342.0,342.0,,,False
feb2024,Douglass Elementary School,Douglass,2023-24,442.0,286.0,286,True,True,0.94,20,272.0,265.0,269.0,262.0,251.0,,,False
feb2024,Eisenhower Elementary School,Eisenhower,2023-24,492.0,311.0,311,True,True,1.0,20,285.0,276.0,263.0,266.0,269.0,,,False
feb2024,Eldorado K-8,Eldorado,2023-24,568.0,263.0,263,True,True,0.88,20,252.0,245.0,255.0,254.0,266.0,,,False
feb2024,Emerald Elementary School,Emerald,2023-24,393.0,356.0,355,True,False,0.99,20,344.0,334.0,315.0,301.0,280.0,,,False
feb2024,Fireside Elementary School,Fireside,2023-24,516.0,396.0,396,True,True,0.98,20,384.0,383.0,367.0,344.0,335.0,,,False
feb2024,Flatirons Elementary School,Flatirons,2023-24,320.0,164.0,164,True,True,0.96,20,162.0,159.0,160.0,166.0,161.0,,,False
feb2024,Foothill Elementary School,Foothill,2023-24,565.0,437.0,437,True,True,0.98,20,414.0,419.0,422.0,409.0,398.0,,,False
feb2024,Gold Hill Elementary School,Gold Hill,2023-24,49.0,12.0,12,True,True,0.94,20,13.0,12.0,12.0,12.0,10.0,,,False
feb2024,Heatherwood Elementary School,Heatherwood,2023-24,492.0,226.0,226,True,False,0.98,19,227.0,217.0,209.0,196.0,203.0,,,True
feb2024,Jamestown Elementary School,Jamestown,2023-24,25.0,18.0,18,True,True,0.99,20,15.0,15.0,16.0,15.0,15.0,,,False
feb2024,Kohl Elementary School,Kohl,2023-24,516.0,251.0,251,True,True,0.98,20,238.0,234.0,227.0,221.0,222.0,,,False
feb2024,Lafayette Elementary School,Lafayette,2023-24,565.0,444.0,444,True,True,0.95,20,467.0,453.0,440.0,412.0,397.0,,,False
feb2024,Louisville Elementary School,Louisville,2023-24,615.0,422.0,422,True,True,0.95,20,408.0,393.0,391.0,377.0,384.0,,,False
feb2024,Meadowlark School,Meadowlark,2023-24,441.0,464.0,464,True,True,0.99,20,475.0,471.0,496.0,520.0,556.0,,,False
feb2024,Mesa Elementary School,Mesa,2023-24,418.0,233.0,233,True,True,0.99,20,220.0,211.0,202.0,203.0,202.0,,,True
feb2024,Monarch K-8 School,Monarch,2023-24,381.0,274.0,274,True,True,0.88,20,301.0,303.0,320.0,317.0,312.0,,,False
feb2024,Nederland Elementary School,Nederland,2023-24,467.0,165.0,165,True,True,0.96,20,159.0,159.0,161.0,154.0,158.0,,,False
feb2024,Pioneer Elementary School,Pioneer,2023-24,541.0,415.0,415,True,True,0.99,20,406.0,403.0,403.0,401.0,401.0,,,False
feb2024,Ryan Elementary School,Ryan,2023-24,467.0,426.0,426,True,True,0.85,20,424.0,416.0,418.0,421.0,421.0,,,False
