school,tokens,n_tokens,min_conf
Elementary,Capacity* Rounds Enroll Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds.,20,0.95
AspenCreek,442 3.0 472 107% 3.1 490 111% 3.3 503 114% 3.4 510 115% 3.4 511 116% 3.4 504 114% 3.4,20,0.87
BCSIS-HP,590 4.0 536 91% 3.6 529 %06 3.5 514 87% 3.4 520 %88 3.5 525 %68 3.5 526 %68 3.5,20,0.98
BearCreek,492 3.5 312 63% 2.1 299 61% 2.0 293 60% 2.0 288 59% 1.9 310 63% 2.1 320 65% 2.1,20,0.94
Birch,418 3.0 259 62% 1.7 238 57% 1.6 215 51% 1.4 205 49% 1.4 211 50% 1.4 208 50% 1.4,20,0.83
CoalCreek,492 3.5 269 55% 1.8 256 52% 1.7 252 51% 1.7 256 52% 1.7 251 51% 1.7 248 50% 1.7,20,0.92
Columbine,590 4.0 313 53% 2.1 322 55% 2.1 322 55% 2.1 325 55% 2.2 321 54% 2.1 322 55% 2.1,20,0.83
Montessori,369 2.5 193 52% 1.3 175 47% 12 172 47% 11 163 44% 11 167 45% 11 167 45% 1.1,20,0.94
Creekside,369 2.5 288 78% 1.9 277 75% 1.8 252 68% 1.7 226 61% 1.5 223 60% 1.5 215 58% 1.4,20,0.92
CrestView,615 4.0 330 54% 2.2 318 52% 2.1 304 49% 2.0 300 49% 2.0 310 50% 2.1 327 53% 2.2,20,0.9
Douglass,418 3.0 281 67% 1.9 278 67% 1.9 278 67% 1.9 272 65% 1.8 277 66% 1.8 284 %89 1.9,20,0.91
Eisenhower,492 3.5 265 54% 1.8 253 51% 1.7 246 50% 1.6 246 50% 1.6 247 50% 1.6 255 52% 1.7,20,0.97
Eldorado,568 4.0 252 44% 1.7 253 45% 1.7 247 43% 1.6 248 44% 1.7 250 44% 1.7 249 44% 1.7,20,0.86
Emerald,393 2.5 365 93% 2.4 355 %06 2.4 341 87% 2.3 337 %98 22 346 %88 2.3 345 88% 2.3,20,0.93
Fireside,516 3.5 405 78% 2.7 385 75% 2.6 373 72% 2.5 358 69% 2.4 355 69% 2.4 359 70% 2.4,20,0.92
Flatirons,320 2.0 151 47% 1.0 147 46% 1.0 154 48% 1.0 149 47% 1.0 146 46% 1.0 157 49% 1.0,20,0.95
Foothill,565 4.0 434 77% 2.9 437 77% 2.9 444 79% 3.0 439 78% 2.9 432 76% 2.9 438 78% 2.9,20,0.99
GoldHill,49 0.5 11 22% 0.1 13 27% 0.1 13 27% 0.1 13 27% 0.1 12 24% 0.1 12 24% 0.1,20,0.95
Heatherwood,492 3.5 225 46% 1.5 216 44% 1.4 209 42% 14 214 43% 14 203 41% 1.4 210 43% 14,20,0.84
Jamestown,25 0.5 17 68% 0.1 19 76% 0.1 17 68% 0.1 16 64% 0.1 16 64% 0.1 14 56% 0.1,20,0.83
Kohl,541 3.5 256 47% 1.7 258 48% 1.7 258 48% 1.7 256 47% 1.7 262 48% 1.7 266 49% 1.8,20,0.85
Lafayette,565 4.0 450 80% 3.0 454 %08 3.0 435 77% 2.9 420 74% 2.8 411 73% 2.7 392 %69 2.6,20,0.86
Louisville,590 4.0 382 %99 2.5 373 63% 2.5 363 62% 2.4 360 61% 2.4 355 %09 2.4 343 58% 2.3,20,0.84
Meadowlark,441 3.0 471 107% 3.1 479 109% 3.2 511 116% 3.4 544 123% 3.6 577 131% 3.8 605 137% 4.0,20,0.93
Mesa,418 3.0 224 54% 1.5 217 52% 1.4 203 49% 1.4 203 49% 1.4 202 48% 13 201 48% 1.3,20,0.87
Monarch,381 2.5 264 %69 1.8 270 71% 1.8 258 68% 1.7 258 %89 1.7 274 72% 1.8 284 75% 1.9,20,0.93
Nederland,467 3.0 166 36% 1.1 171 37% 1.1 166 36% 1.1 167 36% 1.1 169 36% 1.1 160 34% 11,20,0.85
Pioneer,541 3.5 371 69% 2.5 349 65% 2.3 341 63% 2.3 337 62% 2.2 336 62% 2.2 343 63% 2.3,20,0.92
Ryan,467 3.0 393 84% 2.6 381 82% 2.5 365 78% 2.4 348 75% 2.3 337 72% 2.2 346 74% 2.3,20,0.9
Sanchez,418 3.0 276 66% 1.8 286 %89 1.9 284 %89 1.9 278 67% 1.9 289 69% 1.9 298 71% 2.0,20,0.99
Superior,467 3.0 433 93% 2.9 425 91% 2.8 430 92% 2.9 434 93% 2.9 420 90% 2.8 433 93% 2.9,20,0.86
UniversityHill,590 4.0 368 62% 2.5 359 61% 2.4 348 59% 2.3 336 57% 2.2 338 57% 2.3 345 58% 2.3,20,0.9
Whittier,442 3.0 257 58% 1.7 258 58% 1.7 256 58% 1.7 247 56% 1.6 236 53% 1.6 232 52% 1.5,20,0.89
Elem.Total,"14,543 9,689 67% 9,540 66% 9,367 64% 9,273 64% 9,319 64% 9,408 65%",13,0.97
