school,vintage,school_year,measure,value,data_type,_source,_page,_table,extraction,verified_against_primary
Bear Creek,feb2024,capacity,capacity,467.0,capacity,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,capacity,capacity_rounds,3.0,capacity,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2023-24,enrollment,298.0,actual (as printed),data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2023-24,pct_capacity,64.0,actual (as printed),data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2023-24,rounds,2.0,actual (as printed),data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2024-25,enrollment,287.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2024-25,pct_capacity,61.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2024-25,rounds,1.9,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2025-26,enrollment,273.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2025-26,pct_capacity,58.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2025-26,rounds,1.8,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2026-27,enrollment,271.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2026-27,pct_capacity,58.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2026-27,rounds,1.8,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2027-28,enrollment,262.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2027-28,pct_capacity,56.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2027-28,rounds,1.7,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2028-29,enrollment,248.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2028-29,pct_capacity,53.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Bear Creek,feb2024,2028-29,rounds,1.7,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,capacity,capacity,418.0,capacity,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,capacity,capacity_rounds,3.0,capacity,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2023-24,enrollment,233.0,actual (as printed),data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2023-24,pct_capacity,56.0,actual (as printed),data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2023-24,rounds,1.6,actual (as printed),data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2024-25,enrollment,220.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2024-25,pct_capacity,53.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2024-25,rounds,1.5,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2025-26,enrollment,211.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2025-26,pct_capacity,50.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2025-26,rounds,1.4,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2026-27,enrollment,202.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2026-27,pct_capacity,48.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2026-27,rounds,1.3,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
Mesa,feb2024,2027-28,enrollment,203.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye,True
