october_year,source_file,meeting_date,page,projection_date,headcount_date,level,school,asterisk,planning_projection,funded_headcount,difference,pct_difference,is_total,check_ok
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,ASPEN CREEK K-5,False,480,474,-6,-1.3,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,BEAR CREEK,False,434,441,7,1.6,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,BIRCH,False,336,364,28,8.3,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,BCSIS,False,310,301,-9,-2.9,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,BOULDER EXPLORE,False,27,20,,,False,False
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,BOULDER UNIVERSAL,False,4,4,0,,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,COAL CREEK,False,419,426,7,1.7,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,COLUMBINE,False,467,482,15,3.2,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,CREEKSIDE,False,286,289,3,1.0,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,CREST VIEW,False,570,580,10,1.8,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,DOUGLASS,False,451,461,10,2.2,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,EISENHOWER,False,396,398,2,0.5,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,ELDORADO K-5,False,509,489,-20,-3.9,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,EMERALD,False,347,333,-14,-4.0,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,FIRESIDE,False,422,426,4,0.9,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,FLATIRONS,False,291,274,-17,-5.8,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,FOOTHILL,False,519,547,28,5.4,False,True
2015,enrollment_update_05_compare_proj_head_count_15_2016-02-09.txt,2016-02-09,1,2/9/2015,10/1/2015,elementary,GOLD HILL,False,25,26,1,4.0,False,True
