date,school,oct2023,oct2024,oct2025,count,k,g1,g2,g3,g4,g5
2026-08-04,ASPEN CREEK K-5,420,443,473,497,90.0,81.0,78.0,74.0,85.0,89.0
2026-08-04,BEAR CREEK,298,318,312,330,45.0,58.0,53.0,51.0,58.0,65.0
2026-08-04,BIRCH,279,276,261,255,41.0,39.0,43.0,37.0,42.0,53.0
2026-08-04,BCSIS,265,254,253,240,30.0,40.0,36.0,45.0,39.0,50.0
2026-08-04,BOULDER UNIVERSAL,42,46,39,50,4.0,4.0,8.0,6.0,14.0,14.0
2026-08-04,COAL CREEK,305,283,269,263,56.0,39.0,35.0,46.0,36.0,51.0
2026-08-04,COLUMBINE,352,343,313,299,45.0,59.0,43.0,52.0,47.0,53.0
2026-08-04,CREEKSIDE,333,327,288,253,29.0,33.0,37.0,45.0,51.0,58.0
2026-08-04,CREST VIEW,410,390,330,331,45.0,52.0,51.0,45.0,57.0,81.0
2026-08-04,DOUGLASS,286,282,281,285,43.0,42.0,41.0,49.0,58.0,52.0
2026-08-04,EISENHOWER,311,276,265,238,35.0,39.0,30.0,43.0,46.0,45.0
2026-08-04,ELDORADO K-5,263,256,252,267,45.0,44.0,37.0,43.0,47.0,51.0
2026-08-04,EMERALD,355,347,365,360,67.0,70.0,64.0,41.0,57.0,61.0
2026-08-04,FIRESIDE,396,397,406,402,70.0,77.0,57.0,59.0,77.0,62.0
2026-08-04,FLATIRONS,164,163,151,147,18.0,28.0,18.0,30.0,33.0,20.0
2026-08-04,FOOTHILL,437,418,434,448,66.0,70.0,66.0,77.0,85.0,84.0
2026-08-04,GOLD HILL,12,10,11,15,3.0,1.0,0.0,3.0,5.0,3.0
2026-08-04,HEATHERWOOD,226,233,225,221,34.0,33.0,40.0,40.0,29.0,45.0
2026-08-04,HIGH PEAKS,245,257,283,306,53.0,51.0,53.0,48.0,51.0,50.0
2026-08-04,HORIZONS K-5,242,238,245,250,38.0,41.0,42.0,40.0,45.0,44.0
2026-08-04,JAMESTOWN,18,17,17,18,2.0,4.0,4.0,2.0,3.0,3.0
2026-08-04,KOHL,251,254,256,245,31.0,50.0,40.0,39.0,45.0,40.0
2026-08-04,LAFAYETTE,444,465,450,408,40.0,72.0,72.0,68.0,71.0,85.0
2026-08-04,LOUISVILLE,422,417,382,381,67.0,55.0,67.0,58.0,61.0,73.0
2026-08-04,MEADOWLARK K-5,464,468,471,490,83.0,83.0,79.0,73.0,84.0,88.0
2026-08-04,MESA,233,230,224,204,25.0,28.0,35.0,31.0,39.0,46.0
2026-08-04,MONARCH K-5,274,264,264,271,36.0,43.0,41.0,40.0,50.0,61.0
2026-08-04,MONTESSORI SCHOOL,227,232,193,187,40.0,29.0,35.0,27.0,32.0,24.0
2026-08-04,NEDERLAND,165,172,166,163,29.0,24.0,31.0,25.0,24.0,30.0
2026-08-04,PEAK TO PEAK K-5,447,445,450,445,72.0,72.0,72.0,72.0,78.0,79.0
2026-08-04,PIONEER,415,397,371,402,93.0,63.0,61.0,67.0,58.0,60.0
2026-08-04,RYAN,426,410,393,414,63.0,60.0,56.0,74.0,80.0,81.0
2026-08-04,SANCHEZ,285,290,276,239,25.0,37.0,47.0,28.0,54.0,48.0
2026-08-04,SUPERIOR,429,416,433,424,61.0,82.0,57.0,78.0,74.0,72.0
