school_csv,school_map,october_year,enrollment_csv,enrollment_map,diff_map_minus_csv,_source_line
BCSIS,BCSIS,2014,307.0,307.0,0.0,776.0
BCSIS,BCSIS,2015,301.0,301.0,0.0,776.0
BCSIS,BCSIS,2016,308.0,308.0,0.0,776.0
BCSIS,BCSIS,2017,304.0,304.0,0.0,776.0
BCSIS,BCSIS,2018,306.0,306.0,0.0,776.0
BCSIS,BCSIS,2019,306.0,306.0,0.0,776.0
BCSIS,BCSIS,2020,286.0,286.0,0.0,776.0
BCSIS,BCSIS,2021,286.0,286.0,0.0,776.0
BCSIS,BCSIS,2022,284.0,284.0,0.0,776.0
BCSIS,BCSIS,2023,264.0,264.0,0.0,776.0
BCSIS,BCSIS,2024,255.0,255.0,0.0,776.0
BCSIS,BCSIS,2025,251.0,251.0,0.0,776.0
BEAR CREEK,Bear Creek Elementary,2014,417.0,417.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2015,441.0,441.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2016,438.0,438.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2017,448.0,448.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2018,425.0,425.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2019,402.0,402.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2020,342.0,342.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2021,346.0,346.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2022,340.0,340.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2023,299.0,299.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2024,318.0,318.0,0.0,772.0
BEAR CREEK,Bear Creek Elementary,2025,312.0,312.0,0.0,772.0
BIRCH,Birch Elementary,2014,383.0,383.0,0.0,774.0
BIRCH,Birch Elementary,2015,407.0,407.0,0.0,774.0
BIRCH,Birch Elementary,2016,407.0,407.0,0.0,774.0
BIRCH,Birch Elementary,2017,410.0,410.0,0.0,774.0
BIRCH,Birch Elementary,2018,375.0,375.0,0.0,774.0
BIRCH,Birch Elementary,2019,384.0,384.0,0.0,774.0
BIRCH,Birch Elementary,2020,322.0,322.0,0.0,774.0
BIRCH,Birch Elementary,2021,329.0,315.0,-14.0,774.0
BIRCH,Birch Elementary,2022,332.0,292.0,-40.0,774.0
BIRCH,Birch Elementary,2023,279.0,272.0,-7.0,774.0
BIRCH,Birch Elementary,2024,277.0,261.0,-16.0,774.0
BIRCH,Birch Elementary,2025,257.0,257.0,0.0,774.0
COAL CREEK,Coal Creek Elementary,2014,427.0,427.0,0.0,752.0
COAL CREEK,Coal Creek Elementary,2015,426.0,413.0,-13.0,752.0
COAL CREEK,Coal Creek Elementary,2016,416.0,395.0,-21.0,752.0
COAL CREEK,Coal Creek Elementary,2017,416.0,382.0,-34.0,752.0
COAL CREEK,Coal Creek Elementary,2018,410.0,353.0,-57.0,752.0
COAL CREEK,Coal Creek Elementary,2019,389.0,344.0,-45.0,752.0
COAL CREEK,Coal Creek Elementary,2020,334.0,282.0,-52.0,752.0
COAL CREEK,Coal Creek Elementary,2021,371.0,280.0,-91.0,752.0
COAL CREEK,Coal Creek Elementary,2022,330.0,286.0,-44.0,752.0
COAL CREEK,Coal Creek Elementary,2023,305.0,271.0,-34.0,752.0
COAL CREEK,Coal Creek Elementary,2024,282.0,272.0,-10.0,752.0
COAL CREEK,Coal Creek Elementary,2025,268.0,268.0,0.0,752.0
COLUMBINE,Columbine Elementary,2014,496.0,523.0,27.0,754.0
COLUMBINE,Columbine Elementary,2015,531.0,527.0,-4.0,754.0
COLUMBINE,Columbine Elementary,2016,534.0,534.0,0.0,754.0
COLUMBINE,Columbine Elementary,2017,532.0,513.0,-19.0,754.0
COLUMBINE,Columbine Elementary,2018,497.0,488.0,-9.0,754.0
COLUMBINE,Columbine Elementary,2019,485.0,470.0,-15.0,754.0
COLUMBINE,Columbine Elementary,2020,420.0,381.0,-39.0,754.0
COLUMBINE,Columbine Elementary,2021,395.0,384.0,-11.0,754.0
COLUMBINE,Columbine Elementary,2022,402.0,375.0,-27.0,754.0
COLUMBINE,Columbine Elementary,2023,353.0,339.0,-14.0,754.0
COLUMBINE,Columbine Elementary,2024,344.0,325.0,-19.0,754.0
COLUMBINE,Columbine Elementary,2025,313.0,313.0,0.0,754.0
CREEKSIDE,Creekside Elementary,2014,333.0,365.0,32.0,756.0
CREEKSIDE,Creekside Elementary,2015,332.0,360.0,28.0,756.0
CREEKSIDE,Creekside Elementary,2016,319.0,365.0,46.0,756.0
CREEKSIDE,Creekside Elementary,2017,314.0,380.0,66.0,756.0
CREEKSIDE,Creekside Elementary,2018,337.0,377.0,40.0,756.0
CREEKSIDE,Creekside Elementary,2019,382.0,382.0,0.0,756.0
CREEKSIDE,Creekside Elementary,2020,333.0,312.0,-21.0,756.0
CREEKSIDE,Creekside Elementary,2021,332.0,321.0,-11.0,756.0
CREEKSIDE,Creekside Elementary,2022,372.0,310.0,-62.0,756.0
CREEKSIDE,Creekside Elementary,2023,334.0,291.0,-43.0,756.0
CREEKSIDE,Creekside Elementary,2024,328.0,285.0,-43.0,756.0
CREEKSIDE,Creekside Elementary,2025,289.0,289.0,0.0,756.0
CREST VIEW,Crest View Elementary,2014,586.0,590.0,4.0,758.0
CREST VIEW,Crest View Elementary,2015,580.0,597.0,17.0,758.0
CREST VIEW,Crest View Elementary,2016,605.0,605.0,0.0,758.0
CREST VIEW,Crest View Elementary,2017,583.0,564.0,-19.0,758.0
CREST VIEW,Crest View Elementary,2018,566.0,521.0,-45.0,758.0
CREST VIEW,Crest View Elementary,2019,542.0,497.0,-45.0,758.0
CREST VIEW,Crest View Elementary,2020,449.0,393.0,-56.0,758.0
CREST VIEW,Crest View Elementary,2021,448.0,389.0,-59.0,758.0
CREST VIEW,Crest View Elementary,2022,436.0,379.0,-57.0,758.0
CREST VIEW,Crest View Elementary,2023,409.0,358.0,-51.0,758.0
CREST VIEW,Crest View Elementary,2024,390.0,340.0,-50.0,758.0
CREST VIEW,Crest View Elementary,2025,331.0,331.0,0.0,758.0
DOUGLASS,Douglass Elementary,2014,463.0,467.0,4.0,760.0
DOUGLASS,Douglass Elementary,2015,473.0,473.0,0.0,760.0
DOUGLASS,Douglass Elementary,2016,445.0,446.0,1.0,760.0
DOUGLASS,Douglass Elementary,2017,426.0,420.0,-6.0,760.0
DOUGLASS,Douglass Elementary,2018,403.0,406.0,3.0,760.0
DOUGLASS,Douglass Elementary,2019,390.0,379.0,-11.0,760.0
DOUGLASS,Douglass Elementary,2020,308.0,311.0,3.0,760.0
DOUGLASS,Douglass Elementary,2021,301.0,317.0,16.0,760.0
DOUGLASS,Douglass Elementary,2022,319.0,320.0,1.0,760.0
DOUGLASS,Douglass Elementary,2023,288.0,293.0,5.0,760.0
DOUGLASS,Douglass Elementary,2024,282.0,281.0,-1.0,760.0
DOUGLASS,Douglass Elementary,2025,281.0,281.0,0.0,760.0
EISENHOWER,Eisenhower Elementary,2014,405.0,395.0,-10.0,762.0
EISENHOWER,Eisenhower Elementary,2015,398.0,407.0,9.0,762.0
EISENHOWER,Eisenhower Elementary,2016,418.0,418.0,0.0,762.0
EISENHOWER,Eisenhower Elementary,2017,386.0,401.0,15.0,762.0
EISENHOWER,Eisenhower Elementary,2018,407.0,383.0,-24.0,762.0
EISENHOWER,Eisenhower Elementary,2019,401.0,369.0,-32.0,762.0
EISENHOWER,Eisenhower Elementary,2020,338.0,293.0,-45.0,762.0
EISENHOWER,Eisenhower Elementary,2021,353.0,300.0,-53.0,762.0
EISENHOWER,Eisenhower Elementary,2022,304.0,304.0,0.0,762.0
EISENHOWER,Eisenhower Elementary,2023,310.0,284.0,-26.0,762.0
EISENHOWER,Eisenhower Elementary,2024,276.0,268.0,-8.0,762.0
EISENHOWER,Eisenhower Elementary,2025,265.0,265.0,0.0,762.0
EMERALD,Emerald Elementary,2014,376.0,407.0,31.0,778.0
EMERALD,Emerald Elementary,2015,380.0,415.0,35.0,778.0
EMERALD,Emerald Elementary,2016,392.0,427.0,35.0,778.0
EMERALD,Emerald Elementary,2017,405.0,435.0,30.0,778.0
EMERALD,Emerald Elementary,2018,440.0,440.0,0.0,778.0
EMERALD,Emerald Elementary,2019,419.0,425.0,6.0,778.0
EMERALD,Emerald Elementary,2020,382.0,367.0,-15.0,778.0
EMERALD,Emerald Elementary,2021,377.0,381.0,4.0,778.0
EMERALD,Emerald Elementary,2022,405.0,386.0,-19.0,778.0
EMERALD,Emerald Elementary,2023,358.0,373.0,15.0,778.0
EMERALD,Emerald Elementary,2024,347.0,369.0,22.0,778.0
EMERALD,Emerald Elementary,2025,367.0,367.0,0.0,778.0
