school,capacity,school_year,projected_enrollment,data_type,vintage,_source,_source_line
Flatirons Elementary,320,2026-27,149,projection,feb2026,data/raw/enrollmentdata/maps/index.html,907
Flatirons Elementary,320,2027-28,144,projection,feb2026,data/raw/enrollmentdata/maps/index.html,907
Flatirons Elementary,320,2028-29,149,projection,feb2026,data/raw/enrollmentdata/maps/index.html,907
Flatirons Elementary,320,2029-30,146,projection,feb2026,data/raw/enrollmentdata/maps/index.html,907
Flatirons Elementary,320,2030-31,177,projection,feb2026,data/raw/enrollmentdata/maps/index.html,907
Heatherwood Elementary,492,2026-27,216,projection,feb2026,data/raw/enrollmentdata/maps/index.html,908
Heatherwood Elementary,492,2027-28,209,projection,feb2026,data/raw/enrollmentdata/maps/index.html,908
Heatherwood Elementary,492,2028-29,214,projection,feb2026,data/raw/enrollmentdata/maps/index.html,908
Heatherwood Elementary,492,2029-30,203,projection,feb2026,data/raw/enrollmentdata/maps/index.html,908
Heatherwood Elementary,492,2030-31,210,projection,feb2026,data/raw/enrollmentdata/maps/index.html,908
Kohl Elementary,541,2026-27,258,projection,feb2026,data/raw/enrollmentdata/maps/index.html,909
Kohl Elementary,541,2027-28,258,projection,feb2026,data/raw/enrollmentdata/maps/index.html,909
Kohl Elementary,541,2028-29,256,projection,feb2026,data/raw/enrollmentdata/maps/index.html,909
Kohl Elementary,541,2029-30,262,projection,feb2026,data/raw/enrollmentdata/maps/index.html,909
Kohl Elementary,541,2030-31,266,projection,feb2026,data/raw/enrollmentdata/maps/index.html,909
Mesa Elementary,418,2026-27,217,projection,feb2026,data/raw/enrollmentdata/maps/index.html,910
Mesa Elementary,418,2027-28,203,projection,feb2026,data/raw/enrollmentdata/maps/index.html,910
Mesa Elementary,418,2028-29,203,projection,feb2026,data/raw/enrollmentdata/maps/index.html,910
Mesa Elementary,418,2029-30,202,projection,feb2026,data/raw/enrollmentdata/maps/index.html,910
Mesa Elementary,418,2030-31,201,projection,feb2026,data/raw/enrollmentdata/maps/index.html,910
Coal Creek Elementary,492,2026-27,256,projection,feb2026,data/raw/enrollmentdata/maps/index.html,911
Coal Creek Elementary,492,2027-28,252,projection,feb2026,data/raw/enrollmentdata/maps/index.html,911
Coal Creek Elementary,492,2028-29,256,projection,feb2026,data/raw/enrollmentdata/maps/index.html,911
Coal Creek Elementary,492,2029-30,251,projection,feb2026,data/raw/enrollmentdata/maps/index.html,911
Coal Creek Elementary,492,2030-31,248,projection,feb2026,data/raw/enrollmentdata/maps/index.html,911
Columbine Elementary,590,2026-27,322,projection,feb2026,data/raw/enrollmentdata/maps/index.html,912
Columbine Elementary,590,2027-28,322,projection,feb2026,data/raw/enrollmentdata/maps/index.html,912
Columbine Elementary,590,2028-29,325,projection,feb2026,data/raw/enrollmentdata/maps/index.html,912
Columbine Elementary,590,2029-30,321,projection,feb2026,data/raw/enrollmentdata/maps/index.html,912
Columbine Elementary,590,2030-31,322,projection,feb2026,data/raw/enrollmentdata/maps/index.html,912
Creekside Elementary,369,2026-27,277,projection,feb2026,data/raw/enrollmentdata/maps/index.html,913
Creekside Elementary,369,2027-28,252,projection,feb2026,data/raw/enrollmentdata/maps/index.html,913
Creekside Elementary,369,2028-29,226,projection,feb2026,data/raw/enrollmentdata/maps/index.html,913
Creekside Elementary,369,2029-30,223,projection,feb2026,data/raw/enrollmentdata/maps/index.html,913
Creekside Elementary,369,2030-31,215,projection,feb2026,data/raw/enrollmentdata/maps/index.html,913
