school,level,october_year,enrollment,data_type,_source,_source_line
Flatirons Elementary,elementary,2014,290,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2015,276,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2016,266,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2017,256,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2018,246,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2019,243,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2020,177,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2021,182,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2022,186,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2023,175,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2024,162,actual,data/raw/enrollmentdata/maps/index.html,742
Flatirons Elementary,elementary,2025,150,actual,data/raw/enrollmentdata/maps/index.html,742
Heatherwood Elementary,elementary,2014,383,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2015,385,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2016,373,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2017,364,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2018,348,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2019,340,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2020,258,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2021,259,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2022,260,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2023,249,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2024,236,actual,data/raw/enrollmentdata/maps/index.html,744
Heatherwood Elementary,elementary,2025,225,actual,data/raw/enrollmentdata/maps/index.html,744
Kohl Elementary,elementary,2014,487,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2015,467,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2016,441,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2017,418,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2018,397,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2019,374,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2020,305,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2021,299,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2022,302,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2023,279,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2024,263,actual,data/raw/enrollmentdata/maps/index.html,746
Kohl Elementary,elementary,2025,256,actual,data/raw/enrollmentdata/maps/index.html,746
Mesa Elementary,elementary,2014,330,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2015,316,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2016,307,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2017,294,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2018,292,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2019,272,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2020,223,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2021,243,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2022,253,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2023,240,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2024,226,actual,data/raw/enrollmentdata/maps/index.html,750
Mesa Elementary,elementary,2025,225,actual,data/raw/enrollmentdata/maps/index.html,750
Coal Creek Elementary,elementary,2014,427,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2015,413,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2016,395,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2017,382,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2018,353,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2019,344,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2020,282,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2021,280,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2022,286,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2023,271,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2024,272,actual,data/raw/enrollmentdata/maps/index.html,752
Coal Creek Elementary,elementary,2025,268,actual,data/raw/enrollmentdata/maps/index.html,752
Columbine Elementary,elementary,2014,523,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2015,527,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2016,534,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2017,513,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2018,488,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2019,470,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2020,381,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2021,384,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2022,375,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2023,339,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2024,325,actual,data/raw/enrollmentdata/maps/index.html,754
Columbine Elementary,elementary,2025,313,actual,data/raw/enrollmentdata/maps/index.html,754
Creekside Elementary,elementary,2014,365,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2015,360,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2016,365,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2017,380,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2018,377,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2019,382,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2020,312,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2021,321,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2022,310,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2023,291,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2024,285,actual,data/raw/enrollmentdata/maps/index.html,756
Creekside Elementary,elementary,2025,289,actual,data/raw/enrollmentdata/maps/index.html,756
Crest View Elementary,elementary,2014,590,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2015,597,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2016,605,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2017,564,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2018,521,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2019,497,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2020,393,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2021,389,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2022,379,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2023,358,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2024,340,actual,data/raw/enrollmentdata/maps/index.html,758
Crest View Elementary,elementary,2025,331,actual,data/raw/enrollmentdata/maps/index.html,758
Douglass Elementary,elementary,2014,467,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2015,473,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2016,446,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2017,420,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2018,406,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2019,379,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2020,311,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2021,317,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2022,320,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2023,293,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2024,281,actual,data/raw/enrollmentdata/maps/index.html,760
Douglass Elementary,elementary,2025,281,actual,data/raw/enrollmentdata/maps/index.html,760
Eisenhower Elementary,elementary,2014,395,actual,data/raw/enrollmentdata/maps/index.html,762
Eisenhower Elementary,elementary,2015,407,actual,data/raw/enrollmentdata/maps/index.html,762
