school,level,october_year,school_year,measure,value,data_type,_source,_source_row
BEAR CREEK,Elementary,2014,2014-15,enrollment,417.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2014,2014-15,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2014,2014-15,pct_of_max,0.9308035714285714,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2015,2015-16,enrollment,441.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2015,2015-16,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2015,2015-16,pct_of_max,0.984375,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2016,2016-17,1ST,89.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2016,2016-17,2ND,70.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2016,2016-17,3RD,87.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2016,2016-17,KDG,66.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2016,2016-17,enrollment,438.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2016,2016-17,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2016,2016-17,pct_of_max,0.9776785714285714,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2017,2017-18,1ST,67.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2017,2017-18,2ND,91.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2017,2017-18,3RD,73.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2017,2017-18,KDG,74.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2017,2017-18,enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2017,2017-18,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2017,2017-18,pct_of_max,1.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2018,2018-19,enrollment,425.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2018,2018-19,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2018,2018-19,pct_of_max,0.9486607142857144,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2019,2019-20,1ST,70.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2019,2019-20,2ND,83.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2019,2019-20,3RD,72.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2019,2019-20,KDG,79.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2019,2019-20,enrollment,402.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2019,2019-20,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2019,2019-20,pct_of_max,0.8973214285714286,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2020,2020-21,1ST,70.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2020,2020-21,2ND,69.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2020,2020-21,3RD,81.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2020,2020-21,KDG,47.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2020,2020-21,enrollment,342.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2020,2020-21,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2020,2020-21,pct_of_max,0.7633928571428571,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2021,2021-22,1ST,54.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2021,2021-22,2ND,77.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2021,2021-22,3RD,72.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2021,2021-22,KDG,53.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2021,2021-22,enrollment,346.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2021,2021-22,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2021,2021-22,pct_of_max,0.7723214285714286,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2022,2022-23,1ST,57.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2022,2022-23,2ND,57.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2022,2022-23,3RD,81.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2022,2022-23,KDG,45.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2022,2022-23,enrollment,340.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2022,2022-23,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2022,2022-23,pct_of_max,0.7589285714285714,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2023,2023-24,1ST,53.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2023,2023-24,2ND,49.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2023,2023-24,3RD,45.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2023,2023-24,4TH,59.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2023,2023-24,5TH,60.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2023,2023-24,6TH,16.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2023,2023-24,KDG,33.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2023,2023-24,enrollment,299.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2023,2023-24,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2023,2023-24,pct_of_max,0.6674107142857143,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2024,2024-25,1ST,39.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2024,2024-25,2ND,54.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2024,2024-25,3RD,54.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
