png,y,x,conf,text
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,57,61,0.985,Resilient SchoolsProposal
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,89,60,0.996,5-year Elementary Enrollment Projections
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,229,65,0.97,ELEMENTARYENROLLMENTTRENDS
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,314,170,1.0,Boulder
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,370,173,0.993,Continued enrollment declines
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,415,172,0.992,8 of 14 (57%) schools projected to be at or below 2 classes per grade level with a regional building utilization of 59%. Two
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,457,171,0.996,additional schools are projected to be near the threshold for only two classes per grade level.
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,534,171,0.999,Louisville-Superior
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,587,173,0.984,Continued enrollment declines
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,631,172,0.994,3 of 6 (50%) schools projected to be at or below 2 classes per grade level with a regional building utilization of 64%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,708,173,0.999,Lafayette-Erie
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,759,172,0.988,Slow enrollment growth
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,807,173,0.986,One school projected to be at or below 2 classes per grade level with a regional building utilization of 82%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,881,171,0.995,Broomfield
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,936,173,0.991,Continued enrollment declines
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,980,173,0.99,2 of 4 (50%) schools projected to be at or below 2 classes per grade level with a regional building utilization of 74%
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,1141,70,0.995,BVSD
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p13.png,1147,2085,0.999,13
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,56,60,0.985,ResilientSchoolsProposal|Boulder
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,101,59,0.997,Elementary
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,104,518,0.993,Attendance Areas
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,228,1572,0.99,Current State
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,289,1372,0.992,2025K-5Utilization
