year,matrix,residents_combined_area,residents_attending_bc_or_mesa,combined_area_capture,own_school_attending,own_school_capture,crossflow_between_the_two,external_in_district_choice,out_of_district,placements,unmatched,enrollment_both,identity_ok
2017-18,elem,733,632,0.862,616,0.84,16,69,5,13,0,719,True
2018-19,elem,706,611,0.865,595,0.843,16,59,4,11,0,685,True
2019-20,elem,688,592,0.86,567,0.824,25,55,5,9,0,661,True
2020-21,elem,592,498,0.841,466,0.787,32,57,4,17,0,576,True
2021-22,elem,592,517,0.873,490,0.828,27,55,6,15,0,593,True
2022-23,elem,583,496,0.851,473,0.811,23,63,9,19,1,588,True
2023-24,elem,535,433,0.809,397,0.742,36,64,12,22,0,531,True
2024-25,elem,526,424,0.806,387,0.736,37,78,20,26,0,548,True
2025-26,elem,502,415,0.827,372,0.741,43,75,23,23,0,536,True
2017-18,k,104,92,0.885,91,0.875,1,8,1,1,0,102,True
2018-19,k,91,77,0.846,77,0.846,0,8,1,0,0,86,True
2020-21,k,73,54,0.74,51,0.699,3,6,0,2,0,62,True
2021-22,k,80,71,0.888,68,0.85,3,6,2,3,0,82,True
2022-23,k,86,64,0.744,61,0.709,3,9,2,2,0,77,True
2023-24,k,62,46,0.742,40,0.645,6,8,2,2,0,58,True
2025-26,k,70,60,0.857,48,0.686,12,10,3,3,0,76,True
