year,matrix,as_of,school,area,students
2017-18,elem,5/17/2018,Bear Creek,Bear Creek,225
2017-18,elem,5/17/2018,Bear Creek,Columbine,0
2017-18,elem,5/17/2018,Bear Creek,Creekside,12
2017-18,elem,5/17/2018,Bear Creek,Crest View,2
2017-18,elem,5/17/2018,Bear Creek,Douglass,2
2017-18,elem,5/17/2018,Bear Creek,Eisenhower,2
2017-18,elem,5/17/2018,Bear Creek,Flatirons,2
2017-18,elem,5/17/2018,Bear Creek,Foothill,2
2017-18,elem,5/17/2018,Bear Creek,Heatherwood,0
2017-18,elem,5/17/2018,Bear Creek,Mesa,8
2017-18,elem,5/17/2018,Bear Creek,Whittier,0
2017-18,elem,5/17/2018,Bear Creek,Optional Bear Creek/Creekside,38
2017-18,elem,5/17/2018,Bear Creek,Optional Bear Creek/Mesa,138
2017-18,elem,5/17/2018,Bear Creek,Aspen Creek K-8,0
2017-18,elem,5/17/2018,Bear Creek,Birch,0
2017-18,elem,5/17/2018,Bear Creek,Emerald,0
2017-18,elem,5/17/2018,Bear Creek,Kohl,0
2017-18,elem,5/17/2018,Bear Creek,Lafayette,2
2017-18,elem,5/17/2018,Bear Creek,Ryan,0
2017-18,elem,5/17/2018,Bear Creek,Sanchez,1
2017-18,elem,5/17/2018,Bear Creek,Meadowlark,2
2017-18,elem,5/17/2018,Bear Creek,Coal Creek,0
2017-18,elem,5/17/2018,Bear Creek,Fireside,1
2017-18,elem,5/17/2018,Bear Creek,Louisville,0
2017-18,elem,5/17/2018,Bear Creek,Monarch K-8,0
2017-18,elem,5/17/2018,Bear Creek,Eldorado K-8,2
2017-18,elem,5/17/2018,Bear Creek,Superior,0
2017-18,elem,5/17/2018,Bear Creek,Gold Hill,0
2017-18,elem,5/17/2018,Bear Creek,Jamestown,0
2017-18,elem,5/17/2018,Bear Creek,Nederland,0
2017-18,elem,5/17/2018,Mesa,Bear Creek,8
2017-18,elem,5/17/2018,Mesa,Columbine,0
2017-18,elem,5/17/2018,Mesa,Creekside,22
2017-18,elem,5/17/2018,Mesa,Crest View,2
2017-18,elem,5/17/2018,Mesa,Douglass,3
2017-18,elem,5/17/2018,Mesa,Eisenhower,4
2017-18,elem,5/17/2018,Mesa,Flatirons,1
