year,matrix,as_of,school,neighborhood_attending,oe_in_district,oe_out_of_district,placements_in,unmatched,total_within_bvsd,enrollment,pct_from_attendance_area,checks_pass
2017-18,elem,5/17/2018,Bear Creek,401,38,2,7,0,446,448,90,True
2017-18,elem,5/17/2018,Mesa,215,47,3,6,0,268,271,79,True
2018-19,elem,12/13/2018,Bear Creek,386,30,0,9,0,425,425,91,True
2018-19,elem,12/13/2018,Mesa,209,45,4,2,0,256,260,80,True
2019-20,elem,10/27/2022,Bear Creek,358,35,0,7,0,400,400,90,True
2019-20,elem,10/27/2022,Mesa,209,45,5,2,0,256,261,80,True
2020-21,elem,10/27/2022,Bear Creek,292,39,0,10,0,341,341,86,True
2020-21,elem,10/27/2022,Mesa,174,50,4,7,0,231,235,74,True
2021-22,elem,10/27/2022,Bear Creek,300,37,2,7,0,344,346,87,True
2021-22,elem,10/27/2022,Mesa,190,45,4,8,0,243,247,77,True
2022-23,elem,12/21/2022,Bear Creek,291,39,4,8,0,338,342,85,True
2022-23,elem,12/21/2022,Mesa,182,47,5,11,1,241,246,74,True
2023-24,elem,12/11/2023,Bear Creek,231,51,7,9,0,291,298,78,True
2023-24,elem,12/11/2023,Mesa,166,49,5,13,0,228,233,71,True
2024-25,elem,12/12/2024,Bear Creek,230,64,11,13,0,307,318,72,True
2024-25,elem,12/12/2024,Mesa,157,51,9,13,0,221,230,68,True
2025-26,elem,12/5/2025,Bear Creek,216,70,13,13,0,299,312,69,True
2025-26,elem,12/5/2025,Mesa,156,48,10,10,0,214,224,70,True
2017-18,k,5/17/2018,Bear Creek,63,6,0,1,0,70,70,90,True
2017-18,k,5/17/2018,Mesa,28,3,1,0,0,31,32,88,True
2018-19,k,12/11/2018,Bear Creek,45,3,0,0,0,48,48,94,True
2018-19,k,12/11/2018,Mesa,32,5,1,0,0,37,38,84,True
2019-20,k,1/24/2020,Bear Creek,39,4,0,0,0,43,43,91,True
2019-20,k,1/24/2020,Mesa,30,4,1,0,1,35,36,83,True
2020-21,k,12/23/2020,Bear Creek,26,3,0,0,0,29,29,90,True
2020-21,k,12/23/2020,Mesa,25,6,0,2,0,33,33,76,True
2021-22,k,12/28/2021,Bear Creek,40,5,2,1,0,46,48,83,True
2021-22,k,12/28/2021,Mesa,28,4,0,2,0,34,34,82,True
2022-23,k,12/21/2022,Bear Creek,40,8,2,0,0,48,50,80,True
2022-23,k,12/21/2022,Mesa,21,4,0,2,0,27,27,78,True
2023-24,k,12/28/2023,Bear Creek,21,8,1,2,0,31,32,66,True
2023-24,k,12/28/2023,Mesa,19,6,1,0,0,25,26,73,True
2025-26,k,12/5/2025,Bear Creek,29,15,2,2,0,46,48,60,True
2025-26,k,12/5/2025,Mesa,19,7,1,1,0,27,28,68,True
