pdf,page,n_pages,chars,mentions_mesa,mentions_bear_creek,no_text
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,1,30,84,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,2,30,323,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,3,30,367,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,4,30,227,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,5,30,180,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,6,30,336,False,True,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,7,30,302,False,True,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,8,30,773,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,9,30,905,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,10,30,1118,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,11,30,1298,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,12,30,874,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,13,30,689,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,14,30,474,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,15,30,627,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,16,30,876,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,17,30,485,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,18,30,1371,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,19,30,1542,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,20,30,554,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,21,30,650,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,22,30,787,False,True,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,23,30,636,False,True,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,24,30,734,False,True,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,25,30,480,False,True,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,26,30,433,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,27,30,567,False,False,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,28,30,478,False,True,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,29,30,1024,False,True,False
data/raw/bvsd/boundary_study_item_2025-09-09.pdf,30,30,13,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,1,20,82,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,2,20,317,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,3,20,544,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,4,20,26,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,5,20,1135,True,True,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,6,20,147,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,7,20,138,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,8,20,384,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,9,20,401,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,10,20,410,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,11,20,433,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,12,20,396,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,13,20,145,True,True,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,14,20,139,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,15,20,414,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,16,20,398,False,False,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,17,20,393,True,True,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,18,20,438,False,True,False
data/raw/bvsd/boundary_worksession_2025-03-11.pdf,19,20,387,False,True,False
