vintage,school,target_fall,horizon_years,projected,actual,error,pct_error,base_enroll,mountain,abs_pct_error
jan2024,Aspen Creek K-8,2024,1,440.0,443,-3.0,-0.6772009029345373,420.0,False,0.6772009029345373
jan2024,Aspen Creek K-8,2025,2,439.0,473,-34.0,-7.188160676532769,420.0,False,7.188160676532769
jan2024,BCSIS,2024,1,486.0,511,-25.0,-4.892367906066537,510.0,False,4.892367906066537
jan2024,BCSIS,2025,2,480.0,536,-56.0,-10.447761194029852,510.0,False,10.447761194029852
jan2024,Bear Creek Elementary,2024,1,287.0,318,-31.0,-9.748427672955975,298.0,False,9.748427672955975
jan2024,Bear Creek Elementary,2025,2,273.0,312,-39.0,-12.5,298.0,False,12.5
jan2024,Birch Elementary,2024,1,259.0,276,-17.0,-6.159420289855072,279.0,False,6.159420289855072
jan2024,Birch Elementary,2025,2,237.0,261,-24.0,-9.195402298850574,279.0,False,9.195402298850574
jan2024,Coal Creek Elementary School,2024,1,278.0,283,-5.0,-1.7667844522968197,305.0,False,1.7667844522968197
jan2024,Coal Creek Elementary School,2025,2,263.0,269,-6.0,-2.2304832713754648,305.0,False,2.2304832713754648
jan2024,Columbine Elementary School,2024,1,324.0,343,-19.0,-5.539358600583091,352.0,False,5.539358600583091
jan2024,Columbine Elementary School,2025,2,309.0,313,-4.0,-1.2779552715654952,352.0,False,1.2779552715654952
jan2024,Community Montessori,2024,1,226.0,232,-6.0,-2.586206896551724,227.0,False,2.586206896551724
jan2024,Community Montessori,2025,2,227.0,193,34.0,17.616580310880828,227.0,False,17.616580310880828
jan2024,Creekside Elementary at Martin Park,2024,1,321.0,327,-6.0,-1.834862385321101,333.0,False,1.834862385321101
jan2024,Creekside Elementary at Martin Park,2025,2,313.0,288,25.0,8.680555555555555,333.0,False,8.680555555555555
jan2024,Crest View Elementary,2024,1,385.0,390,-5.0,-1.2820512820512822,410.0,False,1.2820512820512822
jan2024,Crest View Elementary,2025,2,362.0,330,32.0,9.696969696969697,410.0,False,9.696969696969697
jan2024,Douglass Elementary School,2024,1,272.0,282,-10.0,-3.5460992907801416,286.0,False,3.5460992907801416
jan2024,Douglass Elementary School,2025,2,265.0,281,-16.0,-5.693950177935943,286.0,False,5.693950177935943
jan2024,Eisenhower Elementary School,2024,1,285.0,276,9.0,3.260869565217391,311.0,False,3.260869565217391
jan2024,Eisenhower Elementary School,2025,2,276.0,265,11.0,4.150943396226415,311.0,False,4.150943396226415
jan2024,Eldorado K-8,2024,1,252.0,256,-4.0,-1.5625,263.0,False,1.5625
jan2024,Eldorado K-8,2025,2,245.0,252,-7.0,-2.7777777777777777,263.0,False,2.7777777777777777
jan2024,Emerald Elementary School,2024,1,344.0,347,-3.0,-0.8645533141210374,356.0,False,0.8645533141210374
jan2024,Emerald Elementary School,2025,2,334.0,365,-31.0,-8.493150684931507,356.0,False,8.493150684931507
jan2024,Fireside Elementary School,2024,1,384.0,397,-13.0,-3.27455919395466,396.0,False,3.27455919395466
jan2024,Fireside Elementary School,2025,2,383.0,406,-23.0,-5.665024630541872,396.0,False,5.665024630541872
jan2024,Flatirons Elementary School,2024,1,162.0,163,-1.0,-0.6134969325153374,164.0,False,0.6134969325153374
jan2024,Flatirons Elementary School,2025,2,159.0,151,8.0,5.298013245033113,164.0,False,5.298013245033113
jan2024,Foothill Elementary School,2024,1,414.0,418,-4.0,-0.9569377990430622,437.0,False,0.9569377990430622
jan2024,Foothill Elementary School,2025,2,419.0,434,-15.0,-3.456221198156682,437.0,False,3.456221198156682
jan2024,Gold Hill Elementary School,2024,1,13.0,10,3.0,30.0,12.0,True,30.0
jan2024,Gold Hill Elementary School,2025,2,12.0,11,1.0,9.090909090909092,12.0,True,9.090909090909092
jan2024,Heatherwood Elementary School,2024,1,227.0,233,-6.0,-2.575107296137339,226.0,False,2.575107296137339
jan2024,Heatherwood Elementary School,2025,2,217.0,225,-8.0,-3.5555555555555554,226.0,False,3.5555555555555554
jan2024,Jamestown Elementary School,2024,1,15.0,17,-2.0,-11.764705882352942,18.0,True,11.764705882352942
jan2024,Jamestown Elementary School,2025,2,15.0,17,-2.0,-11.764705882352942,18.0,True,11.764705882352942
jan2024,Kohl Elementary School,2024,1,238.0,254,-16.0,-6.299212598425197,251.0,False,6.299212598425197
jan2024,Kohl Elementary School,2025,2,234.0,256,-22.0,-8.59375,251.0,False,8.59375
jan2024,Lafayette Elementary School,2024,1,467.0,465,2.0,0.43010752688172044,444.0,False,0.43010752688172044
jan2024,Lafayette Elementary School,2025,2,453.0,450,3.0,0.6666666666666666,444.0,False,0.6666666666666666
jan2024,Louisville Elementary School,2024,1,408.0,417,-9.0,-2.158273381294964,422.0,False,2.158273381294964
jan2024,Louisville Elementary School,2025,2,393.0,382,11.0,2.8795811518324608,422.0,False,2.8795811518324608
jan2024,Meadowlark School,2024,1,475.0,468,7.0,1.4957264957264957,464.0,False,1.4957264957264957
jan2024,Meadowlark School,2025,2,471.0,471,0.0,0.0,464.0,False,0.0
jan2024,Mesa Elementary School,2024,1,220.0,230,-10.0,-4.3478260869565215,233.0,False,4.3478260869565215
jan2024,Mesa Elementary School,2025,2,211.0,224,-13.0,-5.803571428571429,233.0,False,5.803571428571429
jan2024,Monarch K-8 School,2024,1,301.0,264,37.0,14.015151515151516,274.0,False,14.015151515151516
jan2024,Monarch K-8 School,2025,2,303.0,264,39.0,14.772727272727273,274.0,False,14.772727272727273
jan2024,Nederland Elementary School,2024,1,159.0,172,-13.0,-7.558139534883721,165.0,False,7.558139534883721
jan2024,Nederland Elementary School,2025,2,159.0,166,-7.0,-4.216867469879518,165.0,False,4.216867469879518
jan2024,Pioneer Elementary School,2024,1,406.0,397,9.0,2.2670025188916876,415.0,False,2.2670025188916876
jan2024,Pioneer Elementary School,2025,2,403.0,371,32.0,8.625336927223719,415.0,False,8.625336927223719
jan2024,Ryan Elementary School,2024,1,424.0,410,14.0,3.4146341463414633,426.0,False,3.4146341463414633
jan2024,Ryan Elementary School,2025,2,416.0,393,23.0,5.852417302798982,426.0,False,5.852417302798982
jan2024,Alicia Sanchez Elementary School,2024,1,310.0,290,20.0,6.896551724137931,285.0,False,6.896551724137931
jan2024,Alicia Sanchez Elementary School,2025,2,318.0,276,42.0,15.217391304347826,285.0,False,15.217391304347826
jan2024,Superior Elementary School,2024,1,433.0,416,17.0,4.086538461538462,429.0,False,4.086538461538462
jan2024,Superior Elementary School,2025,2,437.0,433,4.0,0.9237875288683602,429.0,False,0.9237875288683602
