school,target_fall,from_vintage,to_vintage,horizon_at_first,first,revised,revision,pct_revision,mountain,abs_pct_revision
Aspen Creek K-8,2025,jan2024,jan2025,2,439.0,462.0,23.0,5.239179954441913,False,5.239179954441913
Aspen Creek K-8,2026,jan2024,jan2025,3,440.0,467.0,27.0,6.136363636363637,False,6.136363636363637
Aspen Creek K-8,2027,jan2024,jan2025,4,429.0,470.0,41.0,9.557109557109557,False,9.557109557109557
Aspen Creek K-8,2028,jan2024,jan2025,5,415.0,471.0,56.0,13.493975903614459,False,13.493975903614459
BCSIS,2025,jan2024,jan2025,2,480.0,509.0,29.0,6.041666666666667,False,6.041666666666667
BCSIS,2026,jan2024,jan2025,3,475.0,516.0,41.0,8.631578947368421,False,8.631578947368421
BCSIS,2027,jan2024,jan2025,4,462.0,508.0,46.0,9.956709956709958,False,9.956709956709958
BCSIS,2028,jan2024,jan2025,5,459.0,509.0,50.0,10.893246187363834,False,10.893246187363834
Bear Creek Elementary,2025,jan2024,jan2025,2,273.0,308.0,35.0,12.820512820512821,False,12.820512820512821
Bear Creek Elementary,2026,jan2024,jan2025,3,271.0,302.0,31.0,11.439114391143912,False,11.439114391143912
Bear Creek Elementary,2027,jan2024,jan2025,4,262.0,290.0,28.0,10.687022900763358,False,10.687022900763358
Bear Creek Elementary,2028,jan2024,jan2025,5,248.0,274.0,26.0,10.483870967741936,False,10.483870967741936
Birch Elementary,2025,jan2024,jan2025,2,237.0,269.0,32.0,13.50210970464135,False,13.50210970464135
Birch Elementary,2026,jan2024,jan2025,3,217.0,262.0,45.0,20.737327188940093,False,20.737327188940093
Birch Elementary,2027,jan2024,jan2025,4,189.0,251.0,62.0,32.804232804232804,False,32.804232804232804
Birch Elementary,2028,jan2024,jan2025,5,165.0,241.0,76.0,46.06060606060606,False,46.06060606060606
Coal Creek Elementary School,2025,jan2024,jan2025,2,263.0,268.0,5.0,1.9011406844106464,False,1.9011406844106464
Coal Creek Elementary School,2026,jan2024,jan2025,3,244.0,248.0,4.0,1.639344262295082,False,1.639344262295082
Coal Creek Elementary School,2027,jan2024,jan2025,4,226.0,240.0,14.0,6.1946902654867255,False,6.1946902654867255
Coal Creek Elementary School,2028,jan2024,jan2025,5,225.0,242.0,17.0,7.555555555555555,False,7.555555555555555
Columbine Elementary School,2025,jan2024,jan2025,2,309.0,347.0,38.0,12.297734627831716,False,12.297734627831716
Columbine Elementary School,2026,jan2024,jan2025,3,298.0,345.0,47.0,15.771812080536913,False,15.771812080536913
Columbine Elementary School,2027,jan2024,jan2025,4,288.0,333.0,45.0,15.625,False,15.625
Columbine Elementary School,2028,jan2024,jan2025,5,285.0,310.0,25.0,8.771929824561404,False,8.771929824561404
Community Montessori,2025,jan2024,jan2025,2,227.0,232.0,5.0,2.202643171806167,False,2.202643171806167
Community Montessori,2026,jan2024,jan2025,3,222.0,233.0,11.0,4.954954954954955,False,4.954954954954955
Community Montessori,2027,jan2024,jan2025,4,227.0,237.0,10.0,4.405286343612334,False,4.405286343612334
Community Montessori,2028,jan2024,jan2025,5,229.0,238.0,9.0,3.930131004366812,False,3.930131004366812
Creekside Elementary at Martin Park,2025,jan2024,jan2025,2,313.0,310.0,-3.0,-0.9584664536741214,False,0.9584664536741214
Creekside Elementary at Martin Park,2026,jan2024,jan2025,3,300.0,296.0,-4.0,-1.3333333333333333,False,1.3333333333333333
Creekside Elementary at Martin Park,2027,jan2024,jan2025,4,273.0,268.0,-5.0,-1.8315018315018314,False,1.8315018315018314
Creekside Elementary at Martin Park,2028,jan2024,jan2025,5,246.0,244.0,-2.0,-0.8130081300813008,False,0.8130081300813008
Crest View Elementary,2025,jan2024,jan2025,2,362.0,362.0,0.0,0.0,False,0.0
Crest View Elementary,2026,jan2024,jan2025,3,356.0,361.0,5.0,1.404494382022472,False,1.404494382022472
Crest View Elementary,2027,jan2024,jan2025,4,342.0,343.0,1.0,0.29239766081871343,False,0.29239766081871343
Crest View Elementary,2028,jan2024,jan2025,5,342.0,332.0,-10.0,-2.9239766081871346,False,2.9239766081871346
Douglass Elementary School,2025,jan2024,jan2025,2,265.0,272.0,7.0,2.641509433962264,False,2.641509433962264
