school,vintage,school_year,value,data_type,_source,_page,extraction,verified_against_primary,note,vintage_note
Bear Creek,feb2024,2023-24,298.0,actual (as printed),data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Bear Creek,feb2024,2024-25,287.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Bear Creek,feb2024,2025-26,273.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Bear Creek,feb2024,2026-27,271.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Bear Creek,feb2024,2027-28,262.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Bear Creek,feb2024,2028-29,248.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Mesa,feb2024,2023-24,233.0,actual (as printed),data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Mesa,feb2024,2024-25,220.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Mesa,feb2024,2025-26,211.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Mesa,feb2024,2026-27,202.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Mesa,feb2024,2027-28,203.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Mesa,feb2024,2028-29,202.0,projection,data/raw/bvsd/trend_report_feb2024.pdf,11,ocr+eye,True,,Feb 27 2024 report; table updated 1/26/2024
Bear Creek,feb2025,2024-25,318.0,actual (as printed),data/raw/bvsd/trend_report_feb2025.pdf,9,ocr+eye,True,,Feb 11 2025 report; table updated 1/24/2025
Bear Creek,feb2025,2025-26,308.0,projection,data/raw/bvsd/trend_report_feb2025.pdf,9,ocr+eye,True,,Feb 11 2025 report; table updated 1/24/2025
Bear Creek,feb2025,2026-27,302.0,projection,data/raw/bvsd/trend_report_feb2025.pdf,9,ocr+eye,True,,Feb 11 2025 report; table updated 1/24/2025
Bear Creek,feb2025,2027-28,290.0,projection,data/raw/bvsd/trend_report_feb2025.pdf,9,ocr+eye,True,,Feb 11 2025 report; table updated 1/24/2025
