book,school,section,field,school_year,value,row_complete
2011,Mesa,oe,neighborhood_residents,2011-12,323,True
2011,Mesa,oe,neighborhood_residents,2010-11,326,True
2011,Mesa,oe,neighborhood_residents,2009-10,327,True
2011,Mesa,oe,neighborhood_residents,2008-09,343,True
2011,Mesa,oe,neighborhood_residents,2007-08,330,True
2011,Mesa,oe,neighborhood_residents,2006-07,310,True
2011,Mesa,oe,neighborhood_residents,2005-06,262,True
2011,Mesa,oe,neighborhood_residents,2004-05,287,True
2011,Mesa,oe,neighborhood_residents,2003-04,273,True
2011,Mesa,oe,neighborhood_residents,2002-03,275,True
2011,Mesa,oe,oe_out,2011-12,51,True
2011,Mesa,oe,oe_out,2010-11,41,True
2011,Mesa,oe,oe_out,2009-10,50,True
2011,Mesa,oe,oe_out,2008-09,51,True
2011,Mesa,oe,oe_out,2007-08,70,True
2011,Mesa,oe,oe_out,2006-07,56,True
2011,Mesa,oe,oe_out,2005-06,55,True
2011,Mesa,oe,oe_out,2004-05,58,True
2011,Mesa,oe,oe_out,2003-04,51,True
2011,Mesa,oe,oe_out,2002-03,54,True
2011,Mesa,oe,oe_in,2011-12,81,True
2011,Mesa,oe,oe_in,2010-11,78,True
2011,Mesa,oe,oe_in,2009-10,69,True
2011,Mesa,oe,oe_in,2008-09,72,True
2011,Mesa,oe,oe_in,2007-08,73,True
2011,Mesa,oe,oe_in,2006-07,85,True
2011,Mesa,oe,oe_in,2005-06,100,True
2011,Mesa,oe,oe_in,2004-05,97,True
2011,Mesa,oe,oe_in,2003-04,105,True
2011,Mesa,oe,oe_in,2002-03,110,True
2011,Mesa,oe,out_of_district,2011-12,11,True
2011,Mesa,oe,out_of_district,2010-11,14,True
2011,Mesa,oe,out_of_district,2009-10,15,True
2011,Mesa,oe,out_of_district,2008-09,18,True
2011,Mesa,oe,out_of_district,2007-08,22,True
2011,Mesa,oe,out_of_district,2006-07,18,True
2011,Mesa,oe,out_of_district,2005-06,12,True
2011,Mesa,oe,out_of_district,2004-05,20,True
2011,Mesa,oe,out_of_district,2003-04,16,True
2011,Mesa,oe,out_of_district,2002-03,13,True
2011,Mesa,oe,total_oe_profile,2011-12,371,True
2011,Mesa,oe,total_oe_profile,2010-11,378,True
2011,Mesa,oe,total_oe_profile,2009-10,365,True
2011,Mesa,oe,total_oe_profile,2008-09,405,True
2011,Mesa,oe,total_oe_profile,2007-08,355,True
2011,Mesa,oe,total_oe_profile,2006-07,357,True
2011,Mesa,oe,total_oe_profile,2005-06,319,True
2011,Mesa,oe,total_oe_profile,2004-05,346,True
2011,Mesa,oe,total_oe_profile,2003-04,350,True
2011,Mesa,oe,total_oe_profile,2002-03,346,True
2011,Bear Creek,oe,neighborhood_residents,2011-12,340,True
2011,Bear Creek,oe,neighborhood_residents,2010-11,317,True
2011,Bear Creek,oe,neighborhood_residents,2009-10,295,True
2011,Bear Creek,oe,neighborhood_residents,2008-09,294,True
2011,Bear Creek,oe,neighborhood_residents,2007-08,271,True
2011,Bear Creek,oe,neighborhood_residents,2006-07,260,True
2011,Bear Creek,oe,neighborhood_residents,2005-06,256,True
2011,Bear Creek,oe,neighborhood_residents,2004-05,251,True
2011,Bear Creek,oe,neighborhood_residents,2003-04,269,True
2011,Bear Creek,oe,neighborhood_residents,2002-03,253,True
2011,Bear Creek,oe,oe_out,2011-12,34,True
2011,Bear Creek,oe,oe_out,2010-11,30,True
2011,Bear Creek,oe,oe_out,2009-10,34,True
2011,Bear Creek,oe,oe_out,2008-09,33,True
2011,Bear Creek,oe,oe_out,2007-08,48,True
2011,Bear Creek,oe,oe_out,2006-07,47,True
2011,Bear Creek,oe,oe_out,2005-06,67,True
2011,Bear Creek,oe,oe_out,2004-05,43,True
2011,Bear Creek,oe,oe_out,2003-04,47,True
2011,Bear Creek,oe,oe_out,2002-03,51,True
2011,Bear Creek,oe,oe_in,2011-12,72,True
2011,Bear Creek,oe,oe_in,2010-11,79,True
2011,Bear Creek,oe,oe_in,2009-10,89,True
2011,Bear Creek,oe,oe_in,2008-09,102,True
2011,Bear Creek,oe,oe_in,2007-08,133,True
2011,Bear Creek,oe,oe_in,2006-07,125,True
2011,Bear Creek,oe,oe_in,2005-06,153,True
2011,Bear Creek,oe,oe_in,2004-05,123,True
2011,Bear Creek,oe,oe_in,2003-04,112,True
2011,Bear Creek,oe,oe_in,2002-03,126,True
2011,Bear Creek,oe,out_of_district,2011-12,1,True
2011,Bear Creek,oe,out_of_district,2010-11,1,True
2011,Bear Creek,oe,out_of_district,2009-10,3,True
2011,Bear Creek,oe,out_of_district,2008-09,3,True
2011,Bear Creek,oe,out_of_district,2007-08,5,True
2011,Bear Creek,oe,out_of_district,2006-07,4,True
2011,Bear Creek,oe,out_of_district,2005-06,5,True
2011,Bear Creek,oe,out_of_district,2004-05,6,True
2011,Bear Creek,oe,out_of_district,2003-04,10,True
2011,Bear Creek,oe,out_of_district,2002-03,8,True
2011,Bear Creek,oe,total_oe_profile,2011-12,378,True
2011,Bear Creek,oe,total_oe_profile,2010-11,367,True
2011,Bear Creek,oe,total_oe_profile,2009-10,352,True
2011,Bear Creek,oe,total_oe_profile,2008-09,370,True
2011,Bear Creek,oe,total_oe_profile,2007-08,361,True
2011,Bear Creek,oe,total_oe_profile,2006-07,342,True
2011,Bear Creek,oe,total_oe_profile,2005-06,348,True
2011,Bear Creek,oe,total_oe_profile,2004-05,337,True
2011,Bear Creek,oe,total_oe_profile,2003-04,345,True
2011,Bear Creek,oe,total_oe_profile,2002-03,336,True
2012,Mesa,oe,neighborhood_residents,2012-13,250,True
2012,Mesa,oe,neighborhood_residents,2011-12,323,True
2012,Mesa,oe,neighborhood_residents,2010-11,326,True
2012,Mesa,oe,neighborhood_residents,2009-10,327,True
2012,Mesa,oe,neighborhood_residents,2008-09,343,True
2012,Mesa,oe,neighborhood_residents,2007-08,330,True
2012,Mesa,oe,neighborhood_residents,2006-07,310,True
2012,Mesa,oe,neighborhood_residents,2005-06,262,True
2012,Mesa,oe,neighborhood_residents,2004-05,287,True
2012,Mesa,oe,neighborhood_residents,2003-04,273,True
2012,Mesa,oe,oe_out,2012-13,46,True
2012,Mesa,oe,oe_out,2011-12,51,True
2012,Mesa,oe,oe_out,2010-11,41,True
2012,Mesa,oe,oe_out,2009-10,50,True
2012,Mesa,oe,oe_out,2008-09,51,True
2012,Mesa,oe,oe_out,2007-08,70,True
2012,Mesa,oe,oe_out,2006-07,56,True
2012,Mesa,oe,oe_out,2005-06,55,True
2012,Mesa,oe,oe_out,2004-05,58,True
2012,Mesa,oe,oe_out,2003-04,51,True
2012,Mesa,oe,oe_in,2012-13,79,True
2012,Mesa,oe,oe_in,2011-12,81,True
2012,Mesa,oe,oe_in,2010-11,78,True
2012,Mesa,oe,oe_in,2009-10,69,True
2012,Mesa,oe,oe_in,2008-09,72,True
2012,Mesa,oe,oe_in,2007-08,73,True
2012,Mesa,oe,oe_in,2006-07,85,True
2012,Mesa,oe,oe_in,2005-06,100,True
2012,Mesa,oe,oe_in,2004-05,97,True
2012,Mesa,oe,oe_in,2003-04,105,True
2012,Mesa,oe,out_of_district,2012-13,8,True
2012,Mesa,oe,out_of_district,2011-12,11,True
2012,Mesa,oe,out_of_district,2010-11,14,True
2012,Mesa,oe,out_of_district,2009-10,15,True
2012,Mesa,oe,out_of_district,2008-09,18,True
2012,Mesa,oe,out_of_district,2007-08,22,True
2012,Mesa,oe,out_of_district,2006-07,18,True
2012,Mesa,oe,out_of_district,2005-06,12,True
2012,Mesa,oe,out_of_district,2004-05,20,True
2012,Mesa,oe,out_of_district,2003-04,16,True
2012,Mesa,oe,total_oe_profile,2012-13,297,True
2012,Mesa,oe,total_oe_profile,2011-12,371,True
2012,Mesa,oe,total_oe_profile,2010-11,378,True
2012,Mesa,oe,total_oe_profile,2009-10,365,True
2012,Mesa,oe,total_oe_profile,2008-09,405,True
2012,Mesa,oe,total_oe_profile,2007-08,355,True
2012,Mesa,oe,total_oe_profile,2006-07,357,True
2012,Mesa,oe,total_oe_profile,2005-06,319,True
2012,Mesa,oe,total_oe_profile,2004-05,346,True
2012,Mesa,oe,total_oe_profile,2003-04,350,True
2012,Bear Creek,oe,neighborhood_residents,2012-13,229,True
2012,Bear Creek,oe,neighborhood_residents,2011-12,340,True
2012,Bear Creek,oe,neighborhood_residents,2010-11,317,True
2012,Bear Creek,oe,neighborhood_residents,2009-10,295,True
2012,Bear Creek,oe,neighborhood_residents,2008-09,294,True
2012,Bear Creek,oe,neighborhood_residents,2007-08,271,True
2012,Bear Creek,oe,neighborhood_residents,2006-07,260,True
2012,Bear Creek,oe,neighborhood_residents,2005-06,256,True
2012,Bear Creek,oe,neighborhood_residents,2004-05,251,True
2012,Bear Creek,oe,neighborhood_residents,2003-04,269,True
2012,Bear Creek,oe,oe_out,2012-13,43,True
2012,Bear Creek,oe,oe_out,2011-12,34,True
2012,Bear Creek,oe,oe_out,2010-11,30,True
2012,Bear Creek,oe,oe_out,2009-10,34,True
2012,Bear Creek,oe,oe_out,2008-09,33,True
2012,Bear Creek,oe,oe_out,2007-08,48,True
2012,Bear Creek,oe,oe_out,2006-07,47,True
2012,Bear Creek,oe,oe_out,2005-06,67,True
2012,Bear Creek,oe,oe_out,2004-05,43,True
2012,Bear Creek,oe,oe_out,2003-04,47,True
2012,Bear Creek,oe,oe_in,2012-13,47,True
2012,Bear Creek,oe,oe_in,2011-12,72,True
2012,Bear Creek,oe,oe_in,2010-11,79,True
2012,Bear Creek,oe,oe_in,2009-10,89,True
2012,Bear Creek,oe,oe_in,2008-09,102,True
2012,Bear Creek,oe,oe_in,2007-08,133,True
2012,Bear Creek,oe,oe_in,2006-07,125,True
2012,Bear Creek,oe,oe_in,2005-06,153,True
2012,Bear Creek,oe,oe_in,2004-05,123,True
2012,Bear Creek,oe,oe_in,2003-04,112,True
2012,Bear Creek,oe,out_of_district,2012-13,4,True
2012,Bear Creek,oe,out_of_district,2011-12,1,True
2012,Bear Creek,oe,out_of_district,2010-11,1,True
2012,Bear Creek,oe,out_of_district,2009-10,3,True
2012,Bear Creek,oe,out_of_district,2008-09,3,True
2012,Bear Creek,oe,out_of_district,2007-08,5,True
2012,Bear Creek,oe,out_of_district,2006-07,4,True
2012,Bear Creek,oe,out_of_district,2005-06,5,True
