fiscal_year,school_year,cde_school_code,school_name,bvsd_location_code,bvsd_location_label,fund,fund_label,sre,program,program_label,object,object_major_label,job_class,job_class_band,project,amount_raw_as_given,amount_usd,is_expenditure_object,source_file,sheet,sheet_row,amount_column
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0858,0800 Other Objects,000,(none),0000,-740997,-7409.97,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1864,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0858,0800 Other Objects,000,(none),3897,-740997,-7409.97,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1865,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0858,0800 Other Objects,000,(none),0000,-702300,-7023.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1889,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0858,0800 Other Objects,000,(none),0000,-702300,-7023.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1898,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0858,0800 Other Objects,000,(none),0000,-702300,-7023.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1900,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0858,0800 Other Objects,000,(none),3897,-702300,-7023.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1901,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0858,0800 Other Objects,000,(none),0000,-702300,-7023.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1910,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0858,0800 Other Objects,000,(none),3897,-580000,-5800.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2001,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0858,0800 Other Objects,000,(none),3897,-580000,-5800.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2004,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,12,Differentiated School Support Fund,00,0010,General Elementary Education,0858,0800 Other Objects,000,(none),0000,-357025,-3570.25,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2225,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-316925,-3169.25,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2274,Amount
