fiscal_year,entity,measure,value_usd,source_file,sheet,note
FY2024,Bear Creek Elementary School (0652),expenditures_all_funds_obj0100-0999,4131442.55,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),expenditures_fund10_obj0100-0999,3615291.52,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),fund10_benefits_obj02xx,861525.82,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),fund10_prog0010_general_elementary_education,1902998.98,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),fund10_prog1700_special_education,260952.62,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),fund10_prog2400-2410_school_administration,340241.12,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),fund10_prog2600s_operations_maintenance,269522.73,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),fund10_salaries_obj01xx,2593943.20,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),total_fund06_all_objects,5096.78,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),total_fund10_all_objects,3615291.52,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),total_fund12_all_objects,26910.64,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),total_fund13_all_objects,81211.91,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),total_fund19_all_objects,100207.96,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),total_fund21_all_objects,126933.40,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Bear Creek Elementary School (0652),total_fund22_all_objects,3784.93,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
