school,school_year,total_pk12,PK,K_5,funded_headcount,cde_K5_minus_bvsd,cde_PK12_minus_bvsd,K_diff,G1_diff,G2_diff,G3_diff,G4_diff,G5_diff
Bear Creek,2019-20,400,0.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesa,2019-20,261,0.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear Creek,2020-21,343,0.0,343.0,341.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Mesa,2020-21,236,0.0,236.0,235.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Bear Creek,2021-22,346,0.0,346.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesa,2021-22,247,0.0,247.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear Creek,2022-23,342,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesa,2022-23,246,0.0,246.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear Creek,2023-24,315,16.0,299.0,298.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
Mesa,2023-24,246,13.0,233.0,233.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear Creek,2024-25,318,0.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesa,2024-25,250,20.0,230.0,230.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear Creek,2025-26,312,,312.0,312.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mesa,2025-26,250,25.0,225.0,224.0,1.0,26.0,,1.0,0.0,0.0,0.0,0.0
