school,october_year,bvsd_official,enrollmentdata_csv,enrollmentdata_map,csv_minus_official,map_minus_official,_official_source
Bear Creek,2014,417.0,417.0,417,0.0,0.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2015,441.0,441.0,441,0.0,0.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2016,438.0,438.0,438,0.0,0.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2017,448.0,448.0,448,0.0,0.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2018,425.0,425.0,425,0.0,0.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2019,400.0,402.0,402,2.0,2.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2020,341.0,342.0,342,1.0,1.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2021,346.0,346.0,346,0.0,0.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2022,342.0,340.0,340,-2.0,-2.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2023,298.0,299.0,299,1.0,1.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2024,318.0,318.0,318,0.0,0.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Bear Creek,2025,312.0,312.0,312,0.0,0.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2014,330.0,330.0,330,0.0,0.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2015,320.0,320.0,316,0.0,-4.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2016,287.0,288.0,307,1.0,20.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2017,271.0,272.0,294,1.0,23.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2018,260.0,260.0,292,0.0,32.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2019,261.0,261.0,272,0.0,11.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2020,235.0,237.0,223,2.0,-12.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2021,247.0,247.0,243,0.0,-4.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2022,246.0,245.0,253,-1.0,7.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2023,233.0,233.0,240,0.0,7.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2024,230.0,231.0,226,1.0,-4.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
Mesa,2025,224.0,225.0,225,1.0,1.0,"data/raw/bvsd/pupil_count/<year>_cde_headcount_summary*.pdf p.1, 'FUNDED HEAD COUNT' current-year column"
