file,url,meeting_date,agenda_item_title,retrieved_utc,md5,pages,notes
enrollment_update_05_compare_proj_head_count_15_2016-02-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/A6SL5U5499E0/$file/05%20Compare%20Proj-Head%20Count%2015.pdf,2016-02-09,8.1 2015 Enrollment Update,2026-09-04T02:42:56Z,233f0b2115ce2231c28c634d8757adb3,2,item A6KTQY78855F; original name: 05 Compare Proj-Head Count 15.pdf
enrollment_update_births_by_elementary_attendance_area_2016-02-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/A6SL5L54984E/$file/(4)%20Births%20By%20Elementary%20Attendance%20Area.pdf,2016-02-09,8.1 2015 Enrollment Update,2026-09-04T02:42:44Z,fb272ceb7c642856b0fd6c261e8d84d0,1,item A6KTQY78855F; original name: (4) Births By Elementary Attendance Area.pdf
enrollment_update_boe_enrollment_2015_slides_boe_2016-02-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/A6STYF754CBE/$file/BOE%20Enrollment%202015%20Slides-BOE.pdf,2016-02-09,8.1 2015 Enrollment Update,2026-09-04T02:42:50Z,9c1c5a5ef01ea3431cfb787d8e5ca50f,8,item A6KTQY78855F; original name: BOE Enrollment 2015 Slides-BOE.pdf
enrollment_update_bvsd_enrollment_growth_2016-02-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/A6SL55549559/$file/(1)%20BVSD%20Enrollment%20Growth%20(1).pdf,2016-02-09,8.1 2015 Enrollment Update,2026-09-04T02:42:47Z,8cf5ac73bdb39aabf09e9e114b367b0c,1,item A6KTQY78855F; original name: (1) BVSD Enrollment Growth (1).pdf
enrollment_update_enrollment_growth_by_school_2016-02-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/A6SL5A54963B/$file/(2)%20Enrollment%20Growth%20by%20School.pdf,2016-02-09,8.1 2015 Enrollment Update,2026-09-04T02:42:53Z,ddabe4cd3b4e86259575a5191a37fbe8,3,item A6KTQY78855F; original name: (2) Enrollment Growth by School.pdf
enrollment_update_out_of_district_students_2015_p9_2016-02-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/A6SL5F549734/$file/(3)%20Out%20of%20District%20Students%202015(P9).pdf,2016-02-09,8.1 2015 Enrollment Update,2026-09-04T02:42:43Z,b6e796161c18c0bf9cabc430ae1188d2,1,item A6KTQY78855F; original name: (3) Out of District Students 2015(P9).pdf
sbra_student_based_resource_allocations_mou_2016-05-17.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/AA2SCE718807/$file/Student%20Based%20Resource%20Allocations%20MOU.pdf,2016-05-17,2.01 Student Based Resource Allocation,2026-09-04T02:45:24Z,6387978d765ce4cb02f5c362ecce12f8,5,item A9VSEG6D63AD; original name: Student Based Resource Allocations MOU.pdf
sbra_studentbasedresourceallocationsmoucommittee_2016-05-17.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/AA2MAP597C14/$file/StudentBasedResourceAllocationsMOUCommittee.pdf,2016-05-17,2.01 Student Based Resource Allocation,2026-09-04T02:45:23Z,0a4c2dca9a5f8503c8b60b4a2403b908,2,item A9VSEG6D63AD; original name: StudentBasedResourceAllocationsMOUCommittee.pdf
sbra_student_based_resource_allocations_mou_final_presentation_to_the_boe_2017-01-10.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/AHCVXC80BDE7/$file/Student%20Based%20Resource%20Allocations%20MOU%20Final%20Presentation%20to%20the%20BOE%20(1).pdf,2017-01-10,7.2 Student Based Resource Allocation,2026-09-04T02:45:27Z,aa3c16da8464cd8fea12870690c4208a,7,item AHCPWX66AC6E; original name: Student Based Resource Allocations MOU Final Presentation to the BOE (1).pdf
sbra_studentbasedresourceallocationsmoufinalreport_2017-01-10.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/AHCPYZ66F903/$file/StudentBasedResourceAllocationsMOUFinalReport.pdf,2017-01-10,7.2 Student Based Resource Allocation,2026-09-04T02:45:30Z,af059bb07d7c9a411fd38a6487ac3155,4,item AHCPWX66AC6E; original name: StudentBasedResourceAllocationsMOUFinalReport.pdf
enrollment_update_02_enrollment_summary_table_2016_2017-01-24.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/AHPQ5G679E0D/$file/02%20Enrollment%20Summary%20table%202016.pdf,2017-01-24,6.2 Update of the October 2016 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:02Z,9f2e8fbaa12ee8900ba5e50647d9d938,1,item AHPS8G66EDAB; original name: 02 Enrollment Summary table 2016.pdf
enrollment_update_03_enrollment_summary_by_school_2017-01-24.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/AHPQ5J679E15/$file/03%20Enrollment%20Summary%20by%20School.pdf,2017-01-24,6.2 Update of the October 2016 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:05Z,74dcba33637112054fa60153dd768036,3,item AHPS8G66EDAB; original name: 03 Enrollment Summary by School.pdf
enrollment_update_04_out_of_district_students_2016_p9_2017-01-24.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/AHPQ5L679E1C/$file/04%20Out%20of%20District%20Students%202016(P9).pdf,2017-01-24,6.2 Update of the October 2016 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:42:59Z,dee41d7b228fa5a9078c8ebdc54e79ec,1,item AHPS8G66EDAB; original name: 04 Out of District Students 2016(P9).pdf
enrollment_update_05_births_and_k_analysis_2017-01-24.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/AHPQ5N679E23/$file/05%20Births%20and%20K%20Analysis.pdf,2017-01-24,6.2 Update of the October 2016 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:08Z,ae09a218df0818ec9afb30918f4a7c14,1,item AHPS8G66EDAB; original name: 05 Births and K Analysis.pdf
enrollment_update_06_compare_proj_head_count_16_2017-01-24.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/AHPQ5Q679E29/$file/06%20Compare%20Proj-Head%20Count%2016.pdf,2017-01-24,6.2 Update of the October 2016 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:15Z,8a317f863e54162bb094eebd2038c271,2,item AHPS8G66EDAB; original name: 06 Compare Proj-Head Count 16.pdf
enrollment_update_boe_enrollment_2016_slides_2017-01-24.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/AHPSCB67F47F/$file/BOE%20Enrollment%202016%20Slides.pdf,2017-01-24,6.2 Update of the October 2016 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:11Z,2780cc8c3d20940c46adf9366753ca3d,11,item AHPS8G66EDAB; original name: BOE Enrollment 2016 Slides.pdf
class_size_2017-11-14.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ASZR4Q6C33C1/$file/Class%20Size.pdf,2017-11-14,7.1 Class size,2026-09-04T02:45:08Z,561fbfb75003faa507781b5e4de71067,2,item ASUT5D75AE1A; original name: Class Size.pdf
class_size_does_class_size_matter_by_dr_diane_whitmore_schanzenbach_2017-11-14.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ASZR4N6C31B9/$file/Does%20Class%20Size%20Matter%E2%80%9D%20by%20Dr.%20Diane%20Whitmore%20Schanzenbach.pdf,2017-11-14,7.1 Class size,2026-09-04T02:45:18Z,b8d4eac3819d62ca33aa0b2669fee0be,18,item ASUT5D75AE1A; original name: Does Class Size Matter” by Dr. Diane Whitmore Schanzenbach.pdf
class_size_preface_to_does_class_size_matter_by_dr_diane_whitmore_schanzenbach_pub_february_2014_2017-11-14.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ASZR3M6C09BF/$file/Preface%20to%20%E2%80%9CDoes%20Class%20Size%20Matter%E2%80%9D%20by%20Dr.%20Diane%20Whitmore%20Schanzenbach%20pub.%20February%202014.pdf,2017-11-14,7.1 Class size,2026-09-04T02:45:16Z,39ce0b2337726d6ccf616e4a1998adbb,2,item ASUT5D75AE1A; original name: Preface to “Does Class Size Matter” by Dr. Diane Whitmore Schanzenbach pub. February 2014.pdf
class_size_preface_to_the_effectiveness_of_class_size_reduction_by_dr_william_j_mathis_pub_june_2016_2017-11-14.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ASZR3K6C0865/$file/Preface%20to%20%E2%80%9CThe%20Effectiveness%20of%20Class%20Size%20Reduction%E2%80%9D%20by%20Dr.%20William%20J.%20Mathis%2C%20pub.%20June%202016.pdf,2017-11-14,7.1 Class size,2026-09-04T02:45:09Z,fd100189fc29243142ed06af955808fb,1,"item ASUT5D75AE1A; original name: Preface to “The Effectiveness of Class Size Reduction” by Dr. William J. Mathis, pub. June 2016.pdf"
class_size_the_effectiveness_of_class_size_reduction_by_dr_william_j_mathis_2017-11-14.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ASZR536C4103/$file/The%20Effectiveness%20of%20Class%20Size%20Reduction%E2%80%9D%20by%20Dr.%20William%20J.%20Mathis.pdf,2017-11-14,7.1 Class size,2026-09-04T02:45:12Z,95dea1dde531c892c8cb323d729dab1a,7,item ASUT5D75AE1A; original name: The Effectiveness of Class Size Reduction” by Dr. William J. Mathis.pdf
