file,url,publisher,title,date,retrieved_utc,md5,notes
boarddocs_agenda_2026-06-09_regular_meeting.html,https://go.boarddocs.com/co/bvsd/Board.nsf/BD-GetAgenda?open (POST id=DTDUN37C8635),BVSD Board (BoardDocs),"Regular Meeting agenda, June 9, 2026",2026-06-09,2026-09-04T02:40:06Z,1da0200026692144bb8f9e0e2fc74164,"agenda listing; contains item 'Resolutions 26-19, -20, -21, -25 Adoption of the 2026-27 Budget' (DUHS2L709640); text: boarddocs_agenda_2026-06-09_regular_meeting.txt"
boarddocs_item_2026-06-09_adoption_of_2026-27_budget_DUHS2L709640.html,https://go.boarddocs.com/co/bvsd/Board.nsf/BD-GetAgendaItem?open (POST id=DUHS2L709640),BVSD Board (BoardDocs),"Resolutions 26-19, -20, -21, -25 Adoption of the 2026-27 Budget (June 9, 2026)",2026-06-09,2026-09-04T02:40:07Z,e3425184ba5ce400205ab895e08d74c1,agenda item text + attachment list; text: boarddocs_item_2026-06-09_adoption_of_2026-27_budget_DUHS2L709640.txt
bvsd_2024-25_adopted_budget_june.pdf,https://resources.finalsite.net/images/v1740074393/bvsdorg/dmzoofadoji5swqrsxj4/2024-25AdoptedBudgetJUNE.pdf,BVSD,,2024-06,2026-09-04T02:27:59Z,ac1fb1a8784b9dc15f8bfba47f275116,2024-25 ADOPTED budget book; text: bvsd_2024-25_adopted_budget_june.txt
bvsd_2025-26_adopted_budget_june.pdf,https://www.bvsd.org/fs/resource-manager/view/3672fd26-fcbf-49d4-89ad-377cbba42adf,BVSD,,2025-06,2026-09-04T02:34:22Z,592e03d97c21c461b990e670fa109584,2025-26 ADOPTED budget book (June); text: bvsd_2025-26_adopted_budget_june.txt; retrieved from https://resources.finalsite.net/images/v1760368175/bvsdorg/a8we8la2wyipo9l7iiau/2025-26AdoptedBudgetJune.pdf
bvsd_2025-26_revised_budget_book.pdf,https://resources.finalsite.net/images/v1773266637/bvsdorg/cmqgb9innlvu7dbcnfvo/2025-26RevisedBudgetBook.pdf,BVSD,,2026-01,2026-09-04T02:27:12Z,a4af9826fec89d79ad4356f4475212af,2025-26 REVISED budget book; text: bvsd_2025-26_revised_budget_book.txt
bvsd_2025-26_uniform_budget_summary.pdf,https://www.bvsd.org/fs/resource-manager/view/8c684680-3205-41f1-be52-49c734be6283,BVSD,,2025,2026-09-04T02:34:26Z,e3a5536d0382f12e079842411aff699f,2025-26 Uniform Budget Summary; text: bvsd_2025-26_uniform_budget_summary.txt; retrieved from https://resources.finalsite.net/images/v1770415672/bvsdorg/nolwo2ktquyfjepps6qj/2025-26UniformBudgetSummary_1.pdf
bvsd_2026-27_proposed_budget.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/files/DUFK9H50C728/$file/2026-27%20Proposed%20Budget.pdf,BVSD (BoardDocs),,2026,2026-09-04T02:26:18Z,ec68345f2114323a2886460a4fd56ab2,2026-27 PROPOSED budget book (adopted version to be located); text: bvsd_2026-27_proposed_budget.txt
bvsd_2026-27_uniform_budget_summary.pdf,https://www.bvsd.org/fs/resource-manager/view/baf89f7c-90b6-4d8d-9a84-eff2f9092788,BVSD,,2026,2026-09-04T02:33:36Z,7d5a95498b2aba7c8faf5c3a3bb6b7b1,2026-27 Uniform Budget Summary (from budget page); text: bvsd_2026-27_uniform_budget_summary.txt; retrieved from https://resources.finalsite.net/images/v1787248050/bvsdorg/pa6qzxpbxjtgtzwj8xni/2026-27UniformBudgetSummary.pdf
cde_financial_transparency_0480_FY2024_website_view.xlsx,https://www.bvsd.org/fs/resource-manager/view/5ca4ae8a-85b9-41d6-9862-1bb811ec7aef,BVSD (CDE Financial Transparency school-level data),,FY2024,2026-09-04T02:38:14Z,bd5c1411b33c1f44443244e9d7b2c99c,0480_FY2024_Website_View.xlsx from financial-data-files page; text: cde_financial_transparency_0480_FY2024_website_view.txt; retrieved from https://resources.finalsite.net/files/t_file_download/v1734387613/bvsdorg/qggeln3qxjxtbjvxacut/0480_FY2024_Website_View.xlsx
cde_financial_transparency_0480_FY2025_website_view.xlsx,https://www.bvsd.org/fs/resource-manager/view/e0fcba8a-5043-4e6f-819e-13092be271cb,BVSD (CDE Financial Transparency school-level data),,FY2025,2026-09-04T02:38:11Z,cce0870ca7521259dda6d1f767736161,0480_FY2025_Website_View.xlsx from financial-data-files page; text: cde_financial_transparency_0480_FY2025_website_view.txt; retrieved from https://resources.finalsite.net/files/t_file_download/v1765906182/bvsdorg/tqlidpezfer0fz3mxtd5/0480_FY2025_Website_View.xlsx
