
===== sheet 0480-Fin7 =====
Distr	Admin	Schl	Fd	Loc	SRE	Prog	Obje	Job	Proj	Amount							
0480	00000	0	90	888	00	0000	7519	000	0000	-141872502408							
0480	00000	0	10	897	00	0000	8101	000	0000	-94180700172 							
0480	00000	0	10	898	00	0000	8101	000	0000	-26309248840 							
0480	00000	0	90	888	00	0000	1179	000	0000	-24090065400 							
0480	00000	0	31	898	00	0000	6720	000	0000	-17131679000 							
0480	00000	0	10	898	00	0000	6770	000	0000	-16739878462 							
0480	00000	0	10	898	00	0000	6770	000	0000	-12723201057 							
0480	00000	0	10	899	00	0000	8101	000	0000	-11147536562 							
0480	00000	0	06	898	00	0000	8101	000	0000	-9115390344  							
0480	00000	0	66	898	00	0000	8101	000	0000	-8930088077  							
0480	00000	0	10	898	00	0000	6770	000	0000	-7971665627  							
0480	00000	0	10	956	00	0000	8101	000	0000	-7645962532  							
0480	00000	0	06	898	00	0000	6720	000	0000	-7603029640  							
0480	00000	0	66	898	00	0000	6792	000	0000	-7481529758  							
0480	00000	0	22	898	00	0000	7402	000	0000	-5676133793  							
0480	00000	0	10	956	00	0000	6770	000	0000	-5169274600  							
0480	00000	0	10	899	00	0000	8101	000	0000	-5117549215  							
0480	00000	0	25	898	00	0000	8101	000	0000	-4459252774  							
0480	00000	0	41	898	00	0000	6720	000	0000	-4431573200  							
0480	00000	0	66	809	00	2850	0529	000	0000	-3023678701  							
0480	00000	0	66	809	00	0000	1979	000	0000	-3023678701  							
0480	00000	0	66	898	00	0000	6792	000	0000	-2999702505  							
0480	00000	0	10	898	00	0000	6770	000	0000	-2946036403  							
0480	00000	0	10	898	00	0000	6770	000	0000	-2808910138  							
0480	00000	0	10	898	00	0000	6770	000	0000	-2617629007  							
0480	00000	0	21	898	00	0000	7402	000	0000	-2592013443  							
0480	00000	0	10	809	00	2600	0850	000	0000	-2532828802  							
0480	00000	0	10	898	00	0000	6770	000	0000	-2518343787  							
0480	00000	0	19	898	00	0000	8101	000	0000	-2352958550  							
0480	00000	0	25	898	00	0000	6760	000	0000	-2248557639  							
0480	00000	0	10	898	00	0000	6770	000	0000	-2028336464  							
0480	00000	0	10	956	00	0000	5711	000	0000	-2008892700  							
0480	00000	0	10	952	00	0000	8101	000	0000	-1932158497  							
0480	00000	0	10	925	00	0000	8101	000	0000	-1931684343  							
0480	00000	0	41	898	00	0000	8101	000	0000	-1890355964  							
0480	00000	0	13	898	00	0000	8101	000	0000	-1797839487  							
0480	00000	0	23	898	00	0000	8101	000	0000	-1784623677  							
0480	00000	0	10	899	00	0000	6770	000	0000	-1757443245  							
0480	00000	0	10	898	00	0000	6770	000	0000	-1703187572  							
... (truncated; see the .xlsx)
