
===== sheet Working TB =====
Distr	Admin	Schl	Fund	Location	SRE	Program	Object	Job/Sub-Account	Project	2025-12_YTD								
0480	00000	0000	10	897	00	0000	8101	000	0000	-140445816038								
0480	00000	0000	90	888	00	0000	7519	000	0000	-138694502408								
0480	00000	0000	10	898	00	0000	8101	000	0000	-37797079896 								
0480	00000	0000	90	888	00	0000	1179	000	0000	-24418717000 								
0480	00000	0000	66	898	00	0000	8101	000	0000	-13633768332 								
0480	00000	0000	06	898	00	0000	8101	000	0000	-12875933453 								
0480	00000	0000	10	899	00	0000	8101	000	0000	-11147386192 								
0480	00000	0000	10	956	00	0000	8101	000	0000	-9810948052  								
0480	00000	0000	22	898	00	0000	7402	000	0000	-9115674549  								
0480	00000	0000	41	898	00	0000	6720	000	0000	-8548246800  								
0480	00000	0000	10	956	00	0000	6770	000	0000	-7212682775  								
0480	00000	0000	25	898	00	0000	8101	000	0000	-6654897557  								
0480	00000	0000	10	899	00	0000	8101	000	0000	-5347550842  								
0480	00000	0000	21	898	00	0000	7402	000	0000	-4041333636  								
0480	00000	0000	19	898	00	0000	8101	000	0000	-3960720244  								
0480	00000	0000	66	809	00	2850	0529	000	0000	-3163748942  								
0480	00000	0000	66	809	00	0000	1979	000	0000	-3163748942  								
0480	00000	0000	23	898	00	0000	8101	000	0000	-2985512273  								
0480	00000	0000	13	898	00	0000	8101	000	0000	-2549101343  								
0480	00000	0000	10	809	00	2600	0850	000	0000	-2532828802  								
0480	00000	0000	10	952	00	0000	8101	000	0000	-2507254620  								
0480	00000	0000	10	925	00	0000	8101	000	0000	-2485732756  								
0480	00000	0000	41	898	00	0000	8101	000	0000	-2199446069  								
0480	00000	0000	10	956	00	0000	5711	000	0000	-2145880500  								
0480	00000	0000	18	898	00	0000	8101	000	0000	-2052641993  								
0480	00000	0000	10	899	00	0000	6770	000	0000	-1992069667  								
0480	00000	0000	10	952	00	0000	6770	000	0000	-1826298833  								
0480	00000	0000	10	925	00	0000	6770	000	0000	-1818296375  								
0480	00000	0000	43	898	00	0000	8101	000	0000	-1802450558  								
0480	00000	0000	11	925	00	0000	8101	000	0000	-1535926227  								
0480	00000	0000	11	952	00	0000	8101	000	0000	-1498891561  								
0480	00000	0000	11	956	00	0000	8101	000	0000	-1281306900  								
0480	00000	0000	12	898	00	0000	8101	000	0000	-1235063182  								
0480	00000	0000	10	898	00	0000	6770	000	0000	-1226554500  								
0480	00000	0000	41	956	00	0000	8101	000	0000	-1185064523  								
0480	00000	0000	16	898	00	0000	8101	000	0000	-1126673509  								
0480	00000	0000	67	898	00	0000	8101	000	0000	-1061397752  								
0480	00000	0000	22	925	00	0000	7402	000	0000	-872265795   								
0480	00000	0000	10	954	00	0000	8101	000	0000	-867921335   								
... (truncated; see the .xlsx)
