file,url,publisher,title,date,retrieved_utc,md5,notes
JC_school_attendance_areas.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jc,BVSD Board policy,JC | Policy,,2026-09-04T02:32:33Z,c3feb15f04bde5f2aeba28f57d07afe5,JC; text: JC_school_attendance_areas.txt
JEC-R-E1.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jec-r-e1,BVSD Board policy,JEC-R-E1 | Policy,,2026-09-04T02:32:42Z,09fd9f1bdce8f697a277ce8d3de2befd,JEC-R-E1; text: JEC-R-E1.txt
JECBA.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jecba,BVSD Board policy,JECBA | Policy,,2026-09-04T02:32:46Z,5d33fb1601604895d44b780b6d8c7c0a,JECBA; text: JECBA.txt
JECC-R_open_enrollment_regulation.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jecc-r,BVSD Board policy,JECC-R | Policy,,2026-09-04T02:32:55Z,112a533ee35264535bdebc288a5f2c26,JECC-R; text: JECC-R_open_enrollment_regulation.txt
JECC_assignment_of_students_to_schools.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jecc,BVSD Board policy,JECC | Policy,,2026-09-04T02:32:51Z,cdc9b2b29afe2f89a7a9e136e18ef8e7,JECC; text: JECC_assignment_of_students_to_schools.txt
JECD-R-E.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jecd-r-e,BVSD Board policy,JECD-R-E | Policy,,2026-09-04T02:33:03Z,17b99e3c2c21edcf397b57436ea37951,JECD-R-E; text: JECD-R-E.txt
JECD-R.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jecd-r,BVSD Board policy,JECD-R | Policy,,2026-09-04T02:32:59Z,973543d7c425ac0fba635a409d6206c0,JECD-R; text: JECD-R.txt
JECD.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jecd,BVSD Board policy,JECD | Policy,,2026-09-04T02:25:03Z,fd0f47772b69aeea15ac7d6465be4ef8,JECD; text: JECD.txt
JECE.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jece,BVSD Board policy,JECE | Policy,,2026-09-04T02:33:08Z,762e4a0cc6f84d34a47baa318461c9eb,JECE; text: JECE.txt
JEC_school_admissions.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jec,BVSD Board policy,JEC | Policy,,2026-09-04T02:32:38Z,49d26c7109859df9b9484879fd04bc2e,JEC; text: JEC_school_admissions.txt
JFABD-R.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jfabd-r,BVSD Board policy,JFABD-R | Policy,,2026-09-04T02:33:18Z,3a93b2079af13905f6636f967d0aee5c,JFABD-R; text: JFABD-R.txt
JFABD.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jfabd,BVSD Board policy,JFABD | Policy,,2026-09-04T02:33:12Z,c3d6078df495f8e6fe20c7dee5b32507,JFABD; text: JFABD.txt
JFABE-R.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jfabe-r,BVSD Board policy,JFABE-R | Policy,,2026-09-04T02:33:26Z,0cc99fe1ca936026d20679c8cc32176d,JFABE-R; text: JFABE-R.txt
JFABE.html,https://www.bvsd.org/about/board-of-education/policies/policy/~board/j-policies/post/jfabe,BVSD Board policy,JFABE | Policy,,2026-09-04T02:33:22Z,425b319e016e567aa6dc922682f3d43a,JFABE; text: JFABE.txt
bvea_negotiated_agreement_2024-2026.pdf,https://resources.finalsite.net/images/v1723751551/bvsdorg/vqsjkvc8vyttiyw7eom9/2024-2026BVEANegotiatedAgreement.pdf,BVSD / BVEA,,2024,2026-09-04T02:25:18Z,5aabcd175872f5b339a33c4a3cb78667,negotiated agreement 2024-2026; text: bvea_negotiated_agreement_2024-2026.txt
bvea_negotiated_agreement_2026-2029_edited_2026-07-01.pdf,https://resources.finalsite.net/images/v1785168107/bvsdorg/enqav84mwzqhcln1nkgn/2026-2029BVEAFINALNegotiatedAgreement-Edited7-1-26.pdf,BVSD / BVEA,,2026-07-01,2026-09-04T02:32:21Z,86f06da48601012d06ad672a84f72711,current BVEA negotiated agreement 2026-2029; text: bvea_negotiated_agreement_2026-2029_edited_2026-07-01.txt
bvea_salary_schedule_grandfathered_2026-2027.pdf,https://resources.finalsite.net/images/v1787771137/bvsdorg/nabj10d4uilsk3cczbzx/BVEASalaryScheduleGrandfathered2026-2027-Sheet1.pdf,BVSD / BVEA,,2026,2026-09-04T02:32:24Z,f09a667b46a240bd457c3d3126522237,2026-27 grandfathered salary schedule; text: bvea_salary_schedule_grandfathered_2026-2027.txt
bvea_tentative_agreement_summary_2021-05-10.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/files/C3SR5L699699/$file/BVEA%20TAs%202021.pdf,BVSD / BVEA (BoardDocs),,2021-05-10,2026-09-04T02:25:20Z,87c3e155eee692fd0a5d7a754cd7985e,TA summary 2021; text: bvea_tentative_agreement_summary_2021-05-10.txt
