file,url,publisher,series,geography,years,retrieved_utc,md5,notes,bytes
boulder_county_public_health_cha_2023.pdf,https://assets.bouldercounty.gov/wp-content/uploads/2024/03/bcph-cha-2023.pdf,Boulder County Public Health,"Community Health Assessment Data, June 2023",Boulder County and municipalities,2023,2026-09-04T02:27:51Z,9acaf1d5b9f94bb52b2f2185a45e051c,Checked for sub-county births: contains NO birth counts (zero matches for 'birth'). Retained as evidence of the search. Text sibling via pdfplumber,1409275
boulder_county_public_health_cha_2023.txt,https://assets.bouldercounty.gov/wp-content/uploads/2024/03/bcph-cha-2023.pdf,Boulder County Public Health,pdfplumber text extraction of boulder_county_public_health_cha_2023.pdf,Boulder County and municipalities,2023,2026-09-04T02:27:56Z,9d990655e9113027823a9a9d8ee90070,Derived by this session (pdfplumber extract_text; page markers '--- page N ---'),98377
bvsd_news_2024_enrollment_drop_less_than_expected_dashboard_births.html,https://www.bvsd.org/about/news/news-article/~board/district-news/post/enrollment-numbers-drop-less-than-expected-in-2024-but-more-schools-move-into-low-enrollment-advisory-status,Boulder Valley School District,"District news article describing the BVSD Enrollment Dashboard, which includes 'the number of births in the district' by region",BVSD,2024,2026-09-04T02:32:34Z,c782db16d54b93166b9781ea50330ed7,Dashboard: https://public.tableau.com/app/profile/bvsd/viz/BVSDEnrollmentDashboard/WelcomeBienvenidos (Tableau Public reports allowDataAccess=false; data not downloadable programmatically). Text sibling extracted from HTML,226733
bvsd_news_2024_enrollment_drop_less_than_expected_dashboard_births.txt,https://www.bvsd.org/about/news/news-article/~board/district-news/post/enrollment-numbers-drop-less-than-expected-in-2024-but-more-schools-move-into-low-enrollment-advisory-status,Boulder Valley School District,Plain-text extraction of bvsd_news_2024_enrollment_drop_less_than_expected_dashboard_births.html,BVSD,2024,2026-09-04T02:32:34Z,0c0a2a0578695e272b156c54e76ddbb6,Derived by this session (tags stripped),45626
bvsd_news_enrollment_drops_more_than_expected_kindergarten_93pct_of_births.html,https://www.bvsd.org/about/news/news-article/~board/district-news/post/enrollment-drops-more-than-expected-board-expresses-desire-to-take-action-to-respond,Boulder Valley School District,"District news article stating kindergarten entrants were 93% of births five years prior for the second year running, and that births in Boulder 'seem to be leveling after a steep decline until 2019'",BVSD,fall 2024 October count (article undated in HTML),2026-09-04T02:32:33Z,9a8f6da3a9f50d22b10f534e5ea2529f,Item 4: BVSD's own births-to-kindergarten ratio. Text sibling extracted from HTML,220060
bvsd_news_enrollment_drops_more_than_expected_kindergarten_93pct_of_births.txt,https://www.bvsd.org/about/news/news-article/~board/district-news/post/enrollment-drops-more-than-expected-board-expresses-desire-to-take-action-to-respond,Boulder Valley School District,Plain-text extraction of bvsd_news_enrollment_drops_more_than_expected_kindergarten_93pct_of_births.html,BVSD,fall 2024 October count (article undated in HTML),2026-09-04T02:32:33Z,b7dc5c210a2ae7eccf934c6917fe8bac,Derived by this session (tags stripped),43470
casb_2025_state_demographer_school_age_population.pdf,https://www.casb.org/docs/default-source/presentations/fall-conference/2025/state-demographer.pdf?sfvrsn=439b817c_1,Colorado State Demography Office (deck presented at CASB Fall Conference 2025),"Slide deck on Colorado's school-age population: births falling / deaths rising, birth rates, births per woman, school-age forecasts",Colorado statewide and regional,"historical through 2024, forecasts to 2050",2026-09-04T02:24:37Z,c7172325480bf04750e50f50b3132851,Item 4 (kindergarten-relevant): SDO publication linking births to school-age population. Text sibling via pdfplumber,1664348
casb_2025_state_demographer_school_age_population.txt,https://www.casb.org/docs/default-source/presentations/fall-conference/2025/state-demographer.pdf?sfvrsn=439b817c_1,Colorado State Demography Office (deck presented at CASB Fall Conference 2025),pdfplumber text extraction of casb_2025_state_demographer_school_age_population.pdf,Colorado statewide and regional,"historical through 2024, forecasts to 2050",2026-09-04T02:24:37Z,80ff2d5ea4ec0748eb6658100f0bdd08,Derived by this session (pdfplumber extract_text; page markers '--- page N ---'),8135
cdphe_live_births_by_birth_order_maternal_demographics.xlsx,https://docs.google.com/spreadsheets/d/1mg9Bpfkg3fMKxp9W2RNfLcnCKCwe2NNZ/export?format=xlsx,"Colorado Dept. of Public Health & Environment, Vital Statistics Program","Live births by birth order and selected maternal characteristics, Colorado residents 2025",Colorado statewide,2025,2026-09-04T02:27:32Z,c8401e8f76c8483237dabf6167f3ba21,Linked from the Vital Statistics Program page; statewide only,15938
cdphe_live_births_fertility_rates_by_maternal_race_ethnicity.xlsx,https://docs.google.com/spreadsheets/d/13DG0ZV7iykbhqBK_BWV439JRitmO7I38/export?format=xlsx,"Colorado Dept. of Public Health & Environment, Vital Statistics Program","Female population, live births, and fertility rates by age group and race/ethnicity of mother, Colorado residents 2025",Colorado statewide,2025,2026-09-04T02:27:31Z,150a3e5c6da17c74566ea7cf4e81e0c0,Linked from the Vital Statistics Program page; statewide only,13092
