B01001_024E,B01001_012E,B01001_048E,B01001_031MA,B01001_036E,B01001_035EA,B01001_024M,B01001_012M,B01001_016MA,B01001_048M,B01001_036M,B01001_039MA,B01001_012EA,B01001_009EA,B01001_011E,B01001_020MA,B01001_035E,B01001_023E,B01001_047E,B01001_043MA,B01001_011M,B01001_005MA,B01001_028MA,B01001_035M,B01001_047EA,B01001_023M,B01001_047M,B01001_001EA,B01001_024EA,B01001_002E,B01001_015MA,B01001_026E,B01001_030MA,B01001_014E,B01001_038E,B01001_011EA,B01001_034EA,B01001_002M,B01001_026M,B01001_038MA,B01001_014M,B01001_038M,B01001_008EA,B01001_013E,B01001_001E,B01001_037E,B01001_004MA,B01001_025E,B01001_042MA,B01001_049E,B01001_046EA,B01001_013M,B01001_001M,B01001_027MA,B01001_037M,B01001_025M,B01001_023EA,B01001_049M,B01001_010MA,B01001_004E,B01001_028E,B01001_016E,B01001_033MA,B01001_018MA,B01001_037EA,B01001_004M,B01001_014EA,B01001_028M,B01001_016M,B01001_049EA,B01001_029E,B01001_022MA,B01001_045MA,B01001_015E,B01001_003E,B01001_039E,B01001_027E,B01001_007MA,B01001_003EA,B01001_015M,B01001_026EA,B01001_041EA,B01001_003M,B01001_039M,B01001_027M,NAME,B01001_038EA,B01001_018M,B01001_006E,B01001_032MA,B01001_017MA,B01001_036EA,B01001_006M,B01001_013EA,B01001_019E,B01001_007E,B01001_021MA,B01001_029M,B01001_040EA,B01001_017E,B01001_005E,B01001_044MA,B01001_029MA,B01001_006MA,B01001_048EA,B01001_025EA,B01001_017M,B01001_002EA,B01001_005M,B01001_018E,B01001_008M,B01001_035MA,B01001_012MA,B01001_040E,B01001_031EA,B01001_005EA,B01001_028EA,B01001_040M,B01001_009E,B01001_019M,B01001_007M,B01001_047MA,B01001_001MA,B01001_024MA,B01001_020EA,B01001_009MA,B01001_043EA,B01001_017EA,B01001_008E,B01001_011MA,B01001_034MA,B01001_019MA,B01001_015EA,B01001_030EA,B01001_042E,B01001_030E,B01001_027EA,B01001_042M,B01001_030M,B01001_046MA,B01001_009M,B01001_023MA,B01001_008MA,B01001_004EA,B01001_042EA,B01001_041E,B01001_016EA,B01001_039EA,B01001_041M,B01001_044E,B01001_032E,B01001_037MA,B01001_014MA,B01001_044M,B01001_010EA,B01001_032M,B01001_020E,B01001_033EA,B01001_007EA,B01001_020M,B01001_043E,B01001_003MA,B01001_026MA,B01001_041MA,B01001_022EA,B01001_045EA,B01001_043M,B01001_049MA,B01001_031E,B01001_019EA,B01001_031M,B01001_022E,B01001_010E,B01001_036MA,B01001_046E,B01001_034E,B01001_013MA,B01001_022M,B01001_010M,B01001_046M,B01001_034M,B01001_032EA,B01001_029EA,B01001_006EA,B01001_033E,B01001_021E,B01001_045E,B01001_048MA,B01001_025MA,B01001_002MA,B01001_033M,B01001_021EA,B01001_021M,B01001_045M,B01001_044EA,GEO_ID,B01001_018EA,B01001_040MA
11,40,10,,30,,18,38,,17,33,,,,43,,68,13,104,,55,,,72,,18,106,,,652,,777,,122,108,,,255,253,,101,89,,0,1429,26,,84,,0,,14,449,,32,128,,14,,56,106,33,,,,56,,145,41,,43,,,0,0,38,0,,,14,,,14,43,14,Block Group 1; Census Tract 121.01; Boulder County; Colorado,,31,74,,,,74,,0,73,,68,,45,0,,,,,,43,,14,20,14,,,136,,,,105,0,14,82,,,,,,,,0,,,,,,36,0,,55,14,,14,,,,,42,,,42,0,0,,,14,,14,0,,,14,17,,,,,,28,,0,,14,0,22,,13,0,,14,30,22,14,,,,0,16,0,,,,14,,25,14,,1500000US080130121011,,
8,10,14,,45,,17,16,,23,44,,,,22,,24,27,28,,34,,,38,,31,32,,,699,,667,,32,26,,,202,191,,35,31,,29,1366,93,,15,,12,,33,339,,57,24,,21,,57,60,32,,,,55,,79,36,,72,,,82,24,48,23,,,60,,,29,45,33,Block Group 2; Census Tract 121.01; Boulder County; Colorado,,24,12,,,,20,,26,0,,75,,60,106,,,,,,50,,77,18,14,,,32,,,,38,20,31,14,,,,,,,,0,,,,,,16,23,,26,37,,32,,,,,39,,,43,0,0,,,14,,14,0,,,14,39,,,,,,43,,0,,14,52,41,,39,10,,47,56,38,22,,,,0,26,24,,,,14,,30,29,,1500000US080130121012,,
0,0,0,,9,,14,14,,14,20,,,,29,,9,0,0,,34,,,17,,14,14,,,422,,409,,15,10,,,153,139,,23,20,,33,831,23,,0,,0,,42,254,,36,14,,14,,19,27,95,,,,33,,38,69,,26,,,10,9,21,0,,,20,,,20,31,14,Block Group 3; Census Tract 121.01; Boulder County; Colorado,,14,37,,,,36,,0,0,,40,,47,19,,,,,,51,,30,0,14,,,23,,,,35,0,14,14,,,,,,,,0,,,,,,0,25,,14,38,,14,,,,,51,,,49,69,0,,,59,,14,9,,,17,23,,,,,,34,,0,,14,29,26,,12,11,,35,31,21,19,,,,0,45,70,,,,14,,51,69,,1500000US080130121013,,
20,69,43,,0,,31,76,,44,14,,,,7,,8,13,64,,15,,,16,,23,43,,,663,,511,,0,70,,,353,224,,14,64,,64,1174,67,,13,,0,,89,447,,96,21,,14,,42,0,279,,,,57,,14,315,,0,,,14,0,0,13,,,21,,,14,14,20,Block Group 4; Census Tract 121.01; Boulder County; Colorado,,14,10,,,,16,,0,0,,14,,13,52,,,,,,22,,57,0,14,,,12,,,,19,0,14,14,,,,,,,,0,,,,,,0,0,,14,14,,14,,,,,65,,,77,0,120,,,14,,180,54,,,62,10,,,,,,18,,0,,14,0,0,,8,0,,14,14,13,14,,,,0,13,31,,,,14,,20,36,,1500000US080130121014,,
18,6,8,,0,,20,9,,13,14,,,,35,,17,26,39,,29,,,17,,17,24,,,451,,417,,21,22,,,131,114,,24,24,,9,868,19,,0,,4,,16,218,,23,14,,7,,31,9,35,,,,29,,15,23,,45,,,64,0,56,13,,,44,,,14,40,18,Block Group 1; Census Tract 121.03; Boulder County; Colorado,,14,48,,,,49,,10,0,,33,,15,70,,,,,,18,,47,0,14,,,47,,,,32,0,10,14,,,,,,,,0,,,,,,0,24,,14,24,,14,,,,,54,,,46,14,0,,,17,,14,0,,,14,21,,,,,,24,,0,,14,48,7,,6,0,,34,12,10,14,,,,7,8,12,,,,12,,12,13,,1500000US080130121031,,
0,48,7,,45,,14,44,,11,34,,,,0,,25,28,9,,14,,,27,,16,14,,,443,,558,,24,62,,,135,153,,38,59,,34,1001,36,,18,,8,,23,275,,37,21,,15,,42,14,27,,,,49,,15,23,,55,,,84,16,0,37,,,67,,,19,14,36,Block Group 2; Census Tract 121.03; Boulder County; Colorado,,13,0,,,,14,,26,0,,46,,42,8,,,,,,60,,13,12,14,,,63,,,,41,0,30,14,,,,,,,,0,,,,,,0,67,,14,74,,14,,,,,36,,,28,12,0,,,18,,14,19,,,21,7,,,,,,11,,9,,15,15,0,,58,0,,11,14,29,14,,,,0,0,8,,,,14,,14,12,,1500000US080130121032,,
15,163,8,,159,,17,85,,14,101,,,,85,,80,12,22,,49,,,40,,15,18,,,731,,718,,43,47,,,166,134,,31,34,,82,1449,44,,33,,16,,116,236,,30,8,,18,,21,0,27,,,,26,,14,24,,18,,,0,16,11,0,,,14,,,19,16,14,Block Group 3; Census Tract 121.03; Boulder County; Colorado,,23,18,,,,28,,42,0,,19,,30,18,,,,,,22,,20,25,14,,,70,,,,47,0,39,14,,,,,,,,0,,,,,,30,17,,24,19,,14,,,,,55,,,34,0,0,,,14,,14,27,,,24,7,,,,,,12,,13,,21,29,37,,51,33,,31,32,37,31,,,,37,8,0,,,,50,,14,14,,1500000US080130121033,,
7,0,13,,12,,12,14,,17,19,,,,35,,28,41,0,,34,,,28,,25,14,,,458,,600,,47,47,,,144,146,,44,30,,20,1058,32,,0,,5,,24,271,,34,14,,10,,34,11,29,,,,37,,18,29,,78,,,30,9,16,34,,,26,,,15,19,28,Block Group 1; Census Tract 121.04; Boulder County; Colorado,,18,36,,,,34,,17,0,,44,,3,12,,,,,,6,,18,12,14,,,22,,,,25,0,24,14,,,,,,,,0,,,,,,15,19,,25,31,,14,,,,,55,,,48,18,35,,,20,,38,48,,,51,41,,,,,,31,,0,,14,53,0,,60,0,,37,14,41,14,,,,0,25,59,,,,14,,23,40,,1500000US080130121041,,
34,0,17,,0,,27,14,,20,14,,,,11,,24,54,43,,19,,,26,,35,34,,,569,,680,,40,38,,,135,143,,30,28,,22,1249,39,,6,,34,,34,235,,39,11,,52,,8,8,57,,,,14,,12,34,,16,,,0,39,15,0,,,14,,,39,20,14,Block Group 2; Census Tract 121.04; Boulder County; Colorado,,21,61,,,,50,,0,25,,20,,47,23,,,,,,42,,30,12,14,,,109,,,,56,0,14,29,,,,,,,,0,,,,,,19,49,,17,37,,14,,,,,47,,,45,53,0,,,36,,14,9,,,14,0,,,,,,14,,0,,14,33,5,,98,35,,30,10,51,49,,,,18,83,18,,,,25,,56,21,,1500000US080130121042,,
8,12,16,,43,,13,20,,19,37,,,,0,,21,63,18,,14,,,35,,94,21,,,645,,773,,31,85,,,235,259,,42,91,,185,1418,65,,0,,0,,97,431,,63,14,,14,,54,37,25,,,,79,,47,34,,139,,,63,20,106,22,,,51,,,32,85,31,Block Group 1; Census Tract 121.05; Boulder County; Colorado,,14,48,,,,79,,0,15,,159,,85,0,,,,,,99,,14,0,20,,,33,,,,44,0,14,28,,,,,,,,12,,,,,,0,36,,14,58,,14,,,,,84,,,86,25,0,,,40,,14,11,,,19,20,,,,,,22,,0,,14,13,0,,0,19,,22,14,14,32,,,,0,0,4,,,,14,,14,9,,1500000US080130121051,,
0,68,10,,277,,14,65,,16,113,,,,83,,48,0,21,,100,,,48,,14,24,,,1026,,941,,46,21,,,359,211,,82,39,,91,1967,21,,0,,9,,100,516,,53,14,,14,,130,0,192,,,,122,,14,166,,49,,,109,68,78,0,,,57,,,102,103,14,Block Group 2; Census Tract 121.05; Boulder County; Colorado,,67,0,,,,14,,0,0,,70,,28,70,,,,,,43,,76,69,14,,,109,,,,87,0,14,14,,,,,,,,0,,,,,,12,101,,20,137,,14,,,,,104,,,63,10,0,,,16,,14,0,,,14,20,,,,,,24,,0,,14,26,36,,0,51,,45,44,14,66,,,,0,10,0,,,,14,,17,14,,1500000US080130121052,,
