B01002_001EA,B01002_002EA,B01002_003EA,B01002_001MA,B01002_002MA,B01002_003MA,NAME,B01002_002M,GEO_ID,B01002_003M,B01002_001M,B01002_002E,B01002_003E,B01002_001E
,,,,,,Census Tract 121.01; Boulder County; Colorado,9.2,1400000US08013012101,7.6,6.0,45.1,45.4,45.2
,,,,,,Census Tract 121.03; Boulder County; Colorado,5.9,1400000US08013012103,2.8,2.8,40.5,40.4,40.4
,,,,,,Census Tract 121.04; Boulder County; Colorado,4.4,1400000US08013012104,3.3,2.7,54.3,53.3,53.7
,,,,,,Census Tract 121.05; Boulder County; Colorado,5.5,1400000US08013012105,4.0,3.2,41.1,42.9,42.2
,,,,,,Census Tract 121.06; Boulder County; Colorado,13.9,1400000US08013012106,6.8,5.5,46.2,50.6,48.0
,,,,,,Census Tract 121.07; Boulder County; Colorado,7.7,1400000US08013012107,7.1,6.7,31.3,35.9,34.9
,,,,,,Census Tract 122.01; Boulder County; Colorado,3.9,1400000US08013012201,8.9,5.6,40.6,31.2,37.5
,,,,,,Census Tract 122.04; Boulder County; Colorado,4.0,1400000US08013012204,4.1,5.9,24.0,29.5,25.7
,,,,,,Census Tract 122.05; Boulder County; Colorado,3.4,1400000US08013012205,17.8,2.8,27.5,35.8,27.9
,,,,,,Census Tract 122.06; Boulder County; Colorado,5.3,1400000US08013012206,2.1,2.1,26.9,23.0,24.1
,,,,,,Census Tract 122.07; Boulder County; Colorado,6.0,1400000US08013012207,5.3,3.8,35.8,32.1,33.6
,,,,,,Census Tract 122.08; Boulder County; Colorado,4.3,1400000US08013012208,2.4,2.9,34.2,32.4,33.0
,,,,,,Census Tract 123; Boulder County; Colorado,0.2,1400000US08013012300,0.2,0.2,19.5,19.4,19.5
,,,,,,Census Tract 124.01; Boulder County; Colorado,0.6,1400000US08013012401,0.5,0.4,21.1,20.9,21.0
,,,,,,Census Tract 125.01; Boulder County; Colorado,9.6,1400000US08013012501,3.2,4.0,34.2,27.8,30.0
,,,,,,Census Tract 125.05; Boulder County; Colorado,4.6,1400000US08013012505,11.6,4.1,44.9,37.0,41.7
,,,,,,Census Tract 125.07; Boulder County; Colorado,2.8,1400000US08013012507,4.7,2.4,25.9,24.7,25.4
,,,,,,Census Tract 125.08; Boulder County; Colorado,1.9,1400000US08013012508,3.1,1.4,33.4,32.5,33.0
,,,,,,Census Tract 125.09; Boulder County; Colorado,7.1,1400000US08013012509,5.1,2.0,40.3,44.9,43.5
,,,,,,Census Tract 125.10; Boulder County; Colorado,4.6,1400000US08013012510,3.9,3.4,47.5,49.7,48.7
,,,,,,Census Tract 125.11; Boulder County; Colorado,1.6,1400000US08013012511,2.4,1.4,22.2,21.7,22.1
