B09001_003E,B09001_005E,B09001_007M,B09001_001E,B09001_009M,B09001_010EA,B09001_007E,B09001_009E,B09001_010MA,B09001_003M,B09001_005M,B09001_001M,B09001_004E,B09001_006E,B09001_009EA,B09001_007EA,B09001_008M,B09001_008EA,B09001_010E,B09001_002E,B09001_005EA,B09001_006EA,B09001_003EA,B09001_004EA,B09001_001EA,B09001_009MA,B09001_002EA,B09001_007MA,B09001_008E,B09001_008MA,B09001_005MA,B09001_006MA,NAME,B09001_003MA,GEO_ID,B09001_004MA,B09001_001MA,B09001_002MA,B09001_004M,B09001_006M,B09001_010M,B09001_002M
43,104,117,935,109,,257,181,,39,87,218,26,167,,,85,,0,935,,,,,,,,,157,,,,Census Tract 121.01; Boulder County; Colorado,,1400000US08013012101,,,,32,109,14,218
35,9,60,587,91,,124,174,,28,14,180,47,65,,,70,,0,587,,,,,,,,,133,,,,Census Tract 121.03; Boulder County; Colorado,,1400000US08013012103,,,,40,45,14,180
52,0,41,437,82,,81,165,,46,14,95,30,19,,,42,,0,437,,,,,,,,,90,,,,Census Tract 121.04; Boulder County; Colorado,,1400000US08013012104,,,,24,20,14,95
196,47,134,1244,199,,204,284,,130,55,333,88,119,,,208,,0,1244,,,,,,,,,306,,,,Census Tract 121.05; Boulder County; Colorado,,1400000US08013012105,,,,85,114,19,333
27,52,60,460,63,,64,131,,29,61,116,48,87,,,46,,1,459,,,,,,,,,50,,,,Census Tract 121.06; Boulder County; Colorado,,1400000US08013012106,,,,53,51,1,117
68,41,74,617,82,,101,148,,46,35,129,33,144,,,81,,0,617,,,,,,,,,82,,,,Census Tract 121.07; Boulder County; Colorado,,1400000US08013012107,,,,39,102,14,129
59,0,67,358,71,,58,75,,48,14,218,36,10,,,127,,0,358,,,,,,,,,120,,,,Census Tract 122.01; Boulder County; Colorado,,1400000US08013012201,,,,35,16,14,218
0,34,33,120,14,,21,15,,14,65,94,0,16,,,40,,0,120,,,,,,,,,34,,,,Census Tract 122.04; Boulder County; Colorado,,1400000US08013012204,,,,14,15,14,94
38,0,62,137,77,,42,53,,38,14,111,0,0,,,11,,0,137,,,,,,,,,4,,,,Census Tract 122.05; Boulder County; Colorado,,1400000US08013012205,,,,14,14,14,111
8,0,14,8,14,,0,0,,14,14,14,0,0,,,14,,0,8,,,,,,,,,0,,,,Census Tract 122.06; Boulder County; Colorado,,1400000US08013012206,,,,14,14,14,14
79,0,186,980,97,,180,133,,80,14,340,355,114,,,130,,0,980,,,,,,,,,119,,,,Census Tract 122.07; Boulder County; Colorado,,1400000US08013012207,,,,123,116,14,340
0,0,57,114,14,,59,0,,14,14,19,0,10,,,64,,0,114,,,,,,,,,45,,,,Census Tract 122.08; Boulder County; Colorado,,1400000US08013012208,,,,14,15,14,19
71,3,20,217,19,,18,0,,49,6,93,7,64,,,6,,51,166,,,,,,,,,3,,,,Census Tract 123; Boulder County; Colorado,,1400000US08013012300,,,,8,31,60,74
23,3,19,149,61,,0,46,,31,17,101,34,3,,,64,,0,149,,,,,,,,,40,,,,Census Tract 124.01; Boulder County; Colorado,,1400000US08013012401,,,,38,18,19,101
99,55,84,456,38,,81,52,,64,77,268,55,13,,,95,,0,456,,,,,,,,,101,,,,Census Tract 125.01; Boulder County; Colorado,,1400000US08013012501,,,,39,17,14,268
52,26,72,773,179,,150,269,,32,24,211,49,135,,,52,,0,773,,,,,,,,,92,,,,Census Tract 125.05; Boulder County; Colorado,,1400000US08013012505,,,,33,60,14,211
57,20,49,427,47,,58,78,,45,21,130,39,103,,,40,,5,422,,,,,,,,,67,,,,Census Tract 125.07; Boulder County; Colorado,,1400000US08013012507,,,,35,54,7,130
43,27,50,341,31,,91,42,,39,37,56,21,41,,,45,,0,341,,,,,,,,,76,,,,Census Tract 125.08; Boulder County; Colorado,,1400000US08013012508,,,,22,34,14,56
111,0,128,995,70,,277,210,,79,14,250,17,169,,,78,,0,995,,,,,,,,,211,,,,Census Tract 125.09; Boulder County; Colorado,,1400000US08013012509,,,,18,115,14,250
41,10,108,563,56,,149,107,,32,16,128,7,83,,,67,,0,563,,,,,,,,,166,,,,Census Tract 125.10; Boulder County; Colorado,,1400000US08013012510,,,,11,55,14,128
6,33,24,334,51,,23,56,,9,28,70,41,101,,,47,,9,325,,,,,,,,,65,,,,Census Tract 125.11; Boulder County; Colorado,,1400000US08013012511,,,,36,54,14,68
49,19,101,546,45,,151,100,,31,18,182,44,75,,,74,,0,546,,,,,,,,,108,,,,Census Tract 126.03; Boulder County; Colorado,,1400000US08013012603,,,,36,33,14,182
24,21,38,125,11,,23,7,,38,30,175,37,6,,,11,,0,125,,,,,,,,,7,,,,Census Tract 126.05; Boulder County; Colorado,,1400000US08013012605,,,,57,11,14,175
52,6,31,315,20,,48,25,,30,9,114,53,51,,,40,,0,315,,,,,,,,,80,,,,Census Tract 126.08; Boulder County; Colorado,,1400000US08013012608,,,,53,37,14,114
