B11003_005EA,B11003_003EA,B11003_019E,B11003_009EA,B11003_007E,B11003_007EA,B11003_015E,B11003_002M,B11003_010MA,B11003_014M,B11003_012MA,B11003_010M,B11003_002E,B11003_010EA,B11003_014E,B11003_018MA,B11003_012EA,B11003_006M,B11003_010E,B11003_014MA,B11003_018M,B11003_016MA,B11003_017EA,B11003_008E,B11003_019EA,B11003_013EA,B11003_004E,B11003_015EA,B11003_016E,NAME,B11003_020MA,B11003_003M,B11003_011M,B11003_001MA,B11003_005MA,B11003_020EA,B11003_003E,B11003_003MA,B11003_011E,B11003_019M,B11003_009MA,B11003_001EA,B11003_007M,B11003_007MA,B11003_015M,B11003_004EA,B11003_008EA,B11003_002EA,B11003_009E,B11003_017E,B11003_005E,B11003_006EA,B11003_011MA,B11003_012M,B11003_020M,B11003_017MA,B11003_008M,B11003_011EA,B11003_019MA,B11003_012E,B11003_013MA,B11003_020E,B11003_004M,B11003_015MA,B11003_016M,B11003_018EA,B11003_006E,B11003_014EA,B11003_018E,B11003_016EA,B11003_013M,GEO_ID,B11003_001M,B11003_013E,B11003_004MA,B11003_008MA,B11003_001E,B11003_002MA,B11003_009M,B11003_017M,B11003_005M,B11003_006MA
,,71,,627,,163,205,,16,,45,997,,9,,,89,30,,71,,,202,,,43,,116,Census Tract 121.01; Boulder County; Colorado,,96,14,,,,370,,0,65,,,203,,110,,,,39,0,47,,,14,49,,118,,,0,,47,37,,100,,280,,45,,45,1400000US08013012101,225,30,,,1199,,46,14,44,
,,39,,473,,70,113,,28,,63,719,,23,,,71,67,,14,,,160,,,40,,39,Census Tract 121.03; Boulder County; Colorado,,86,14,,,,246,,0,41,,,90,,50,,,,90,0,22,,,14,28,,80,,,0,,31,42,,41,,184,,0,,63,1400000US08013012103,125,67,,,879,,70,14,21,
,,14,,379,,51,88,,14,,22,593,,0,,,57,20,,14,,,71,,,66,,14,Census Tract 121.04; Boulder County; Colorado,,53,14,,,,214,,0,23,,,77,,39,,,,20,0,6,,,13,36,,43,,,8,,37,50,,23,,142,,0,,18,1400000US08013012104,83,12,,,664,,22,14,9,
,,135,,587,,292,252,,65,,43,1200,,132,,,175,28,,19,,,452,,,147,,152,Census Tract 121.05; Boulder County; Colorado,,237,19,,,,613,,0,113,,,182,,168,,,,160,17,72,,,19,124,,186,,,0,,140,114,,123,,394,,0,,43,1400000US08013012105,274,28,,,1652,,76,26,72,
,,37,,364,,71,104,,14,,55,564,,9,,,63,48,,14,,,128,,,40,,51,Census Tract 121.06; Boulder County; Colorado,,52,53,,,,200,,35,46,,,95,,54,,,,57,14,21,,,14,24,,67,,,0,,20,35,,49,,139,,0,,21,1400000US08013012106,112,13,,,692,,57,23,20,
,,143,,381,,181,116,,88,,18,617,,118,,,81,12,,11,,,311,,,63,,150,Census Tract 121.07; Boulder County; Colorado,,66,14,,,,236,,0,105,,,101,,112,,,,130,0,34,,,14,46,,147,,,0,,31,45,,104,,139,,7,,18,1400000US08013012107,157,12,,,928,,89,14,27,
,,0,,403,,45,101,,38,,21,540,,40,,,75,17,,14,,,102,,,47,,0,Census Tract 122.01; Boulder County; Colorado,,79,16,,,,137,,10,14,,,75,,64,,,,57,0,0,,,14,64,,75,,,0,,45,38,,14,,90,,0,,13,1400000US08013012201,120,7,,,642,,42,14,14,
,,0,,229,,23,96,,12,,14,291,,8,,,37,0,,14,,,31,,,12,,0,Census Tract 122.04; Boulder County; Colorado,,42,14,,,,62,,0,14,,,90,,28,,,,8,0,0,,,14,28,,31,,,0,,23,20,,14,,50,,0,,14,1400000US08013012204,99,0,,,322,,12,14,14,
,,0,,203,,45,57,,14,,58,215,,0,,,14,39,,14,,,84,,,12,,24,Census Tract 122.05; Boulder County; Colorado,,16,14,,,,12,,0,14,,,62,,47,,,,39,24,0,,,14,30,,62,,,0,,21,16,,36,,0,,0,,58,1400000US08013012205,80,39,,,299,,58,36,14,
,,0,,195,,54,95,,22,,14,205,,14,,,14,0,,14,,,68,,,10,,0,Census Tract 122.06; Boulder County; Colorado,,15,14,,,,10,,0,14,,,96,,42,,,,14,0,0,,,14,42,,47,,,0,,54,15,,14,,0,,0,,14,1400000US08013012206,112,0,,,273,,22,14,14,
,,75,,321,,249,144,,29,,74,386,,19,,,49,63,,50,,,331,,,28,,249,Census Tract 122.07; Boulder County; Colorado,,68,63,,,,65,,41,82,,,124,,85,,,,82,43,0,,,14,14,,111,,,0,,0,35,,85,,37,,131,,38,1400000US08013012207,162,22,,,717,,80,57,14,
