B11005_008M,B11005_012E,B11005_004M,B11005_016M,B11005_011MA,B11005_013MA,B11005_012M,B11005_015MA,B11005_017MA,B11005_008MA,B11005_002EA,B11005_004EA,B11005_006EA,B11005_008EA,B11005_017E,B11005_009E,B11005_013E,B11005_005E,B11005_017M,B11005_001E,B11005_009M,B11005_013M,B11005_005M,B11005_002MA,B11005_001M,B11005_004MA,B11005_006MA,NAME,B11005_012EA,B11005_014EA,B11005_016EA,B11005_018EA,B11005_006E,B11005_018E,B11005_002E,B11005_014E,B11005_006M,B11005_010E,B11005_018M,B11005_002M,B11005_014M,B11005_010MA,B11005_010M,B11005_012MA,B11005_014MA,B11005_016MA,B11005_010EA,B11005_018MA,B11005_001EA,B11005_009MA,B11005_003EA,B11005_005EA,B11005_007EA,B11005_007E,B11005_009EA,B11005_019E,B11005_003E,B11005_015E,B11005_007M,B11005_011E,B11005_019M,B11005_003M,B11005_015M,B11005_001MA,B11005_011M,B11005_003MA,B11005_005MA,B11005_007MA,B11005_011EA,B11005_019MA,GEO_ID,B11005_013EA,B11005_015EA,B11005_017EA,B11005_019EA,B11005_008E,B11005_004E,B11005_016E
14,668,94,49,,,215,,,,,,,,1018,0,612,146,321,2217,14,202,110,,327,,,Census Tract 121.01; Boulder County; Colorado,,,,,30,470,531,56,45,0,304,111,52,,14,,,,,,,,,,,116,,548,531,9,100,1686,142,111,16,,334,,,,,,1400000US08013012101,,,,,0,385,47
36,519,89,28,,,96,,,,,,,,672,28,465,106,159,1579,36,90,72,,172,,,Census Tract 121.03; Boulder County; Colorado,,,,,67,325,388,54,63,0,152,120,39,,14,,,,,,,,,,,39,,347,360,23,41,1191,96,113,28,,172,,,,,,1400000US08013012103,,,,,28,254,31
14,416,53,36,,,71,,,,,,,,322,8,379,34,69,994,14,77,31,,86,,,Census Tract 121.04; Boulder County; Colorado,,,,,20,91,256,37,22,0,48,50,36,,14,,,,,,,,,,,14,,231,248,0,23,738,57,52,14,,81,,,,,,1400000US08013012104,,,,,8,214,37
22,859,237,124,,,231,,,,,,,,868,0,587,180,211,2532,19,182,135,,241,,,Census Tract 121.05; Boulder County; Colorado,,,,,28,256,805,272,43,12,127,241,143,,22,,,,,,,,,,,152,,612,793,132,123,1727,183,243,65,,274,,,,,,1400000US08013012105,,,,,12,613,140
14,393,52,24,,,98,,,,,,,,523,0,364,99,226,1215,14,95,70,,215,,,Census Tract 121.06; Boulder County; Colorado,,,,,48,122,299,29,55,0,48,79,28,,14,,,,,,,,,,,51,,401,299,9,49,916,224,79,14,,224,,,,,,1400000US08013012106,,,,,0,200,20
14,518,66,46,,,133,,,,,,,,924,0,381,174,166,1852,14,101,102,,180,,,Census Tract 121.07; Boulder County; Colorado,,,,,24,471,410,137,30,0,138,108,93,,14,,,,,,,,,,,150,,453,410,106,104,1442,112,108,85,,169,,,,,,1400000US08013012107,,,,,0,236,31
14,477,80,64,,,96,,,,,,,,842,0,392,17,99,1484,14,76,21,,104,,,Census Tract 122.01; Boulder County; Colorado,,,,,17,402,165,85,21,0,101,86,73,,14,,,,,,,,,,,0,,440,165,40,14,1319,96,86,38,,93,,,,,,1400000US08013012201,,,,,0,148,45
14,260,42,28,,,94,,,,,,,,1387,0,229,0,243,1709,14,90,14,,235,,,Census Tract 122.04; Boulder County; Colorado,,,,,0,732,62,31,14,0,219,42,31,,14,,,,,,,,,,,0,,655,62,8,14,1647,144,42,12,,241,,,,,,1400000US08013012204,,,,,0,62,23
127,220,16,28,,,72,,,,,,,,1706,85,203,67,389,2090,127,62,67,,371,,,Census Tract 122.05; Boulder County; Colorado,,,,,39,913,164,17,58,0,298,151,28,,14,,,,,,,,,,,28,,793,79,0,38,1926,284,69,14,,385,,,,,,1400000US08013012205,,,,,85,12,17
14,263,15,42,,,113,,,,,,,,1318,0,195,0,301,1591,14,96,14,,266,,,Census Tract 122.06; Boulder County; Colorado,,,,,0,648,10,68,14,0,198,15,47,,14,,,,,,,,,,,0,,670,10,14,14,1581,230,15,22,,266,,,,,,1400000US08013012206,,,,,0,10,54
14,340,68,14,,,123,,,,,,,,1673,0,321,312,291,2390,14,124,107,,297,,,Census Tract 122.07; Boulder County; Colorado,,,,,63,1156,377,19,74,0,276,109,29,,14,,,,,,,,,,,249,,517,377,19,85,2013,192,109,29,,278,,,,,,1400000US08013012207,,,,,0,65,0
14,272,17,31,,,98,,,,,,,,1237,0,234,71,192,1590,14,103,23,,184,,,Census Tract 122.08; Boulder County; Colorado,,,,,20,796,81,38,21,0,199,26,35,,14,,,,,,,,,,,51,,441,81,10,44,1509,137,26,17,,188,,,,,,1400000US08013012208,,,,,0,10,28
19,64,41,19,,,32,,,,,,,,406,0,64,43,81,610,19,32,55,,102,,,Census Tract 123; Boulder County; Colorado,,,,,0,275,140,0,19,0,69,67,19,,19,,,,,,,,,,,43,,131,140,0,55,470,59,67,19,,85,,,,,,1400000US08013012300,,,,,0,97,0
62,163,92,61,,,79,,,,,,,,1732,37,126,0,335,2042,62,61,19,,330,,,Census Tract 124.01; Boulder County; Colorado,,,,,0,834,147,37,19,0,204,95,61,,19,,,,,,,,,,,0,,898,110,0,19,1895,319,92,19,,330,,,,,,1400000US08013012401,,,,,37,110,37
14,308,156,14,,,100,,,,,,,,627,0,240,19,141,1226,14,71,19,,159,,,Census Tract 125.01; Boulder County; Colorado,,,,,19,404,291,68,19,0,121,157,75,,14,,,,,,,,,,,0,,223,291,59,14,935,78,157,74,,103,,,,,,1400000US08013012501,,,,,0,272,9
14,488,137,14,,,102,,,,,,,,638,0,488,97,96,1639,14,102,48,,124,,,Census Tract 125.05; Boulder County; Colorado,,,,,28,279,513,0,27,0,87,123,14,,14,,,,,,,,,,,69,,359,513,0,43,1126,98,123,14,,100,,,,,,1400000US08013012505,,,,,0,416,0
13,321,71,68,,,103,,,,,,,,1238,8,239,73,219,1832,13,81,44,,238,,,Census Tract 125.07; Boulder County; Colorado,,,,,21,727,273,82,24,0,208,74,70,,14,,,,,,,,,,,52,,511,265,8,37,1559,166,78,13,,231,,,,,,1400000US08013012507,,,,,8,192,74
14,279,34,50,,,104,,,,,,,,739,0,220,77,91,1195,14,89,44,,104,,,Census Tract 125.08; Boulder County; Colorado,,,,,8,452,177,59,13,0,103,42,50,,14,,,,,,,,,,,69,,287,177,0,44,1018,78,42,14,,105,,,,,,1400000US08013012508,,,,,0,100,59
14,422,115,33,,,99,,,,,,,,233,0,380,61,68,1185,14,88,43,,129,,,Census Tract 125.09; Boulder County; Colorado,,,,,19,95,530,42,20,0,51,108,41,,14,,,,,,,,,,,42,,138,530,16,32,655,50,108,26,,100,,,,,,1400000US08013012509,,,,,0,469,26
14,594,50,28,,,115,,,,,,,,905,0,538,74,156,1821,14,109,60,,163,,,Census Tract 125.10; Boulder County; Colorado,,,,,14,318,322,56,24,0,118,70,35,,14,,,,,,,,,,,60,,587,322,21,54,1499,153,70,20,,161,,,,,,1400000US08013012510,,,,,0,248,35
19,415,41,17,,,89,,,,,,,,1127,0,360,53,249,1789,19,80,53,,259,,,Census Tract 125.11; Boulder County; Colorado,,,,,53,477,247,55,53,0,105,67,34,,19,,,,,,,,,,,0,,650,247,39,19,1542,228,67,31,,245,,,,,,1400000US08013012511,,,,,0,194,16
14,563,99,62,,,118,,,,,,,,598,0,468,14,101,1487,14,93,18,,149,,,Census Tract 126.03; Boulder County; Colorado,,,,,6,239,326,95,12,0,86,101,86,,14,,,,,,,,,,,8,,359,326,43,12,1161,96,101,57,,119,,,,,,1400000US08013012603,,,,,0,312,52
14,109,47,19,,,42,,,,,,,,656,0,78,0,129,803,14,34,14,,135,,,Census Tract 126.05; Boulder County; Colorado,,,,,0,407,38,31,14,0,130,47,28,,14,,,,,,,,,,,0,,249,38,18,14,765,65,47,21,,124,,,,,,1400000US08013012605,,,,,0,38,13
14,295,44,108,,,122,,,,,,,,493,0,195,25,105,970,14,56,29,,164,,,Census Tract 126.08; Boulder County; Colorado,,,,,0,205,182,100,14,0,59,42,109,,14,,,,,,,,,,,25,,288,182,11,29,788,84,42,13,,160,,,,,,1400000US08013012608,,,,,0,157,89
14,52,19,25,,,37,,,,,,,,703,0,29,0,186,782,14,25,14,,184,,,Census Tract 126.09; Boulder County; Colorado,,,,,0,393,27,23,14,0,178,19,25,,14,,,,,,,,,,,0,,310,27,0,14,755,121,19,14,,184,,,,,,1400000US08013012609,,,,,0,27,23
19,97,32,91,,,94,,,,,,,,2454,0,17,0,287,2571,19,28,19,,269,,,Census Tract 126.10; Boulder County; Colorado,,,,,0,1592,20,80,19,0,325,32,91,,19,,,,,,,,,,,0,,862,20,0,19,2551,228,32,19,,269,,,,,,1400000US08013012610,,,,,0,20,80
19,982,150,112,,,199,,,,,,,,1025,0,769,175,265,2702,19,180,92,,251,,,Census Tract 127.01; Boulder County; Colorado,,,,,145,290,695,213,85,0,103,156,134,,19,,,,,,,,,,,30,,735,695,98,33,2007,258,156,102,,255,,,,,,1400000US08013012701,,,,,0,520,115
19,708,225,78,,,252,,,,,,,,1838,0,472,84,234,2922,19,221,81,,358,,,Census Tract 127.05; Boulder County; Colorado,,,,,0,1025,376,236,19,0,240,221,133,,19,,,,,,,,,,,84,,813,376,126,81,2546,202,221,110,,304,,,,,,1400000US08013012705,,,,,0,292,110
14,296,50,64,,,88,,,,,,,,267,0,216,41,74,762,14,62,46,,113,,,Census Tract 127.07; Boulder County; Colorado,,,,,10,125,199,80,17,0,51,70,67,,14,,,,,,,,,,,31,,142,199,17,46,563,62,70,16,,96,,,,,,1400000US08013012707,,,,,0,158,63
