B19013_001M,GEO_ID,B19013_001EA,B19013_001E,B19013_001MA,NAME
26218,1400000US08013012101,,244179,,Census Tract 121.01; Boulder County; Colorado
41032,1400000US08013012103,,118750,,Census Tract 121.03; Boulder County; Colorado
26404,1400000US08013012104,,155313,,Census Tract 121.04; Boulder County; Colorado
10353,1400000US08013012105,,102112,,Census Tract 121.05; Boulder County; Colorado
50264,1400000US08013012106,,132227,,Census Tract 121.06; Boulder County; Colorado
20088,1400000US08013012107,,99948,,Census Tract 121.07; Boulder County; Colorado
21384,1400000US08013012201,,123250,,Census Tract 122.01; Boulder County; Colorado
16261,1400000US08013012204,,51583,,Census Tract 122.04; Boulder County; Colorado
36154,1400000US08013012205,,52262,,Census Tract 122.05; Boulder County; Colorado
6002,1400000US08013012206,,34183,,Census Tract 122.06; Boulder County; Colorado
25927,1400000US08013012207,,77965,,Census Tract 122.07; Boulder County; Colorado
34745,1400000US08013012208,,95671,,Census Tract 122.08; Boulder County; Colorado
3691,1400000US08013012300,,33750,,Census Tract 123; Boulder County; Colorado
11249,1400000US08013012401,,38961,,Census Tract 124.01; Boulder County; Colorado
24178,1400000US08013012501,,110500,,Census Tract 125.01; Boulder County; Colorado
44030,1400000US08013012505,,184353,,Census Tract 125.05; Boulder County; Colorado
22789,1400000US08013012507,,53971,,Census Tract 125.07; Boulder County; Colorado
13755,1400000US08013012508,,97019,,Census Tract 125.08; Boulder County; Colorado
14616,1400000US08013012509,,184116,,Census Tract 125.09; Boulder County; Colorado
23475,1400000US08013012510,,145625,,Census Tract 125.10; Boulder County; Colorado
8534,1400000US08013012511,,79385,,Census Tract 125.11; Boulder County; Colorado
21351,1400000US08013012603,,136576,,Census Tract 126.03; Boulder County; Colorado
16517,1400000US08013012605,,40038,,Census Tract 126.05; Boulder County; Colorado
32307,1400000US08013012608,,113125,,Census Tract 126.08; Boulder County; Colorado
4957,1400000US08013012609,,30119,,Census Tract 126.09; Boulder County; Colorado
5379,1400000US08013012610,,23590,,Census Tract 126.10; Boulder County; Colorado
