NAME,B25003_001E,B25003_003EA,GEO_ID,B25003_002E,B25003_001EA,B25003_002EA,B25003_003E,B25003_001M,B25003_003MA,B25003_002M,B25003_001MA,B25003_002MA,B25003_003M
Census Tract 121.01; Boulder County; Colorado,2217,,1400000US08013012101,1650,,,567,327,,369,,,106
Census Tract 121.03; Boulder County; Colorado,1579,,1400000US08013012103,1062,,,517,172,,161,,,103
Census Tract 121.04; Boulder County; Colorado,994,,1400000US08013012104,848,,,146,86,,109,,,66
Census Tract 121.05; Boulder County; Colorado,2532,,1400000US08013012105,1897,,,635,241,,283,,,170
Census Tract 121.06; Boulder County; Colorado,1215,,1400000US08013012106,901,,,314,215,,216,,,96
Census Tract 121.07; Boulder County; Colorado,1852,,1400000US08013012107,1097,,,755,180,,153,,,165
Census Tract 122.01; Boulder County; Colorado,1484,,1400000US08013012201,742,,,742,104,,139,,,118
Census Tract 122.04; Boulder County; Colorado,1709,,1400000US08013012204,272,,,1437,235,,79,,,238
Census Tract 122.05; Boulder County; Colorado,2090,,1400000US08013012205,528,,,1562,371,,131,,,375
Census Tract 122.06; Boulder County; Colorado,1591,,1400000US08013012206,224,,,1367,266,,90,,,260
Census Tract 122.07; Boulder County; Colorado,2390,,1400000US08013012207,1100,,,1290,297,,268,,,244
Census Tract 122.08; Boulder County; Colorado,1590,,1400000US08013012208,496,,,1094,184,,188,,,141
Census Tract 123; Boulder County; Colorado,610,,1400000US08013012300,8,,,602,102,,9,,,103
Census Tract 124.01; Boulder County; Colorado,2042,,1400000US08013012401,306,,,1736,330,,96,,,328
Census Tract 125.01; Boulder County; Colorado,1226,,1400000US08013012501,653,,,573,159,,163,,,133
Census Tract 125.05; Boulder County; Colorado,1639,,1400000US08013012505,1160,,,479,124,,140,,,88
Census Tract 125.07; Boulder County; Colorado,1832,,1400000US08013012507,673,,,1159,238,,133,,,221
Census Tract 125.08; Boulder County; Colorado,1195,,1400000US08013012508,482,,,713,104,,115,,,89
Census Tract 125.09; Boulder County; Colorado,1185,,1400000US08013012509,974,,,211,129,,134,,,83
Census Tract 125.10; Boulder County; Colorado,1821,,1400000US08013012510,1493,,,328,163,,171,,,97
Census Tract 125.11; Boulder County; Colorado,1789,,1400000US08013012511,920,,,869,259,,240,,,137
Census Tract 126.03; Boulder County; Colorado,1487,,1400000US08013012603,995,,,492,149,,154,,,84
Census Tract 126.05; Boulder County; Colorado,803,,1400000US08013012605,95,,,708,135,,37,,,144
Census Tract 126.08; Boulder County; Colorado,970,,1400000US08013012608,492,,,478,164,,80,,,145
Census Tract 126.09; Boulder County; Colorado,782,,1400000US08013012609,138,,,644,184,,56,,,191
Census Tract 126.10; Boulder County; Colorado,2571,,1400000US08013012610,88,,,2483,269,,87,,,263
Census Tract 127.01; Boulder County; Colorado,2702,,1400000US08013012701,2206,,,496,251,,254,,,182
Census Tract 127.05; Boulder County; Colorado,2922,,1400000US08013012705,933,,,1989,358,,197,,,321
Census Tract 127.07; Boulder County; Colorado,762,,1400000US08013012707,652,,,110,113,,113,,,58
Census Tract 127.08; Boulder County; Colorado,2142,,1400000US08013012708,1694,,,448,125,,176,,,152
Census Tract 127.09; Boulder County; Colorado,843,,1400000US08013012709,670,,,173,104,,109,,,70
Census Tract 127.10; Boulder County; Colorado,1355,,1400000US08013012710,1073,,,282,162,,129,,,115
Census Tract 128.01; Boulder County; Colorado,3407,,1400000US08013012801,2842,,,565,298,,323,,,244
Census Tract 128.02; Boulder County; Colorado,2411,,1400000US08013012802,2074,,,337,268,,306,,,153
Census Tract 129.03; Boulder County; Colorado,1008,,1400000US08013012903,875,,,133,149,,111,,,91
Census Tract 129.04; Boulder County; Colorado,2520,,1400000US08013012904,1937,,,583,371,,341,,,197
Census Tract 129.05; Boulder County; Colorado,1349,,1400000US08013012905,606,,,743,250,,123,,,270
Census Tract 129.07; Boulder County; Colorado,1418,,1400000US08013012907,944,,,474,110,,117,,,119
Census Tract 130.03; Boulder County; Colorado,3145,,1400000US08013013003,2276,,,869,243,,208,,,212
Census Tract 130.04; Boulder County; Colorado,1054,,1400000US08013013004,939,,,115,120,,132,,,81
Census Tract 130.05; Boulder County; Colorado,1280,,1400000US08013013005,861,,,419,128,,118,,,99
Census Tract 130.06; Boulder County; Colorado,2011,,1400000US08013013006,1582,,,429,206,,230,,,146
Census Tract 132.01; Boulder County; Colorado,961,,1400000US08013013201,599,,,362,97,,74,,,93
Census Tract 132.02; Boulder County; Colorado,584,,1400000US08013013202,501,,,83,84,,77,,,57
Census Tract 132.05; Boulder County; Colorado,2027,,1400000US08013013205,1685,,,342,192,,190,,,126
Census Tract 132.07; Boulder County; Colorado,1802,,1400000US08013013207,1150,,,652,158,,105,,,129
Census Tract 132.08; Boulder County; Colorado,2503,,1400000US08013013208,1767,,,736,241,,229,,,127
Census Tract 132.10; Boulder County; Colorado,2286,,1400000US08013013210,1602,,,684,221,,178,,,197
Census Tract 132.11; Boulder County; Colorado,2835,,1400000US08013013211,2297,,,538,325,,357,,,175
Census Tract 132.12; Boulder County; Colorado,2290,,1400000US08013013212,1430,,,860,205,,224,,,136
Census Tract 132.14; Boulder County; Colorado,2452,,1400000US08013013214,1287,,,1165,341,,346,,,224
Census Tract 132.15; Boulder County; Colorado,2260,,1400000US08013013215,1030,,,1230,255,,233,,,219
Census Tract 133.02; Boulder County; Colorado,2687,,1400000US08013013302,1542,,,1145,369,,358,,,177
Census Tract 133.05; Boulder County; Colorado,2024,,1400000US08013013305,1371,,,653,179,,246,,,192
Census Tract 133.06; Boulder County; Colorado,1719,,1400000US08013013306,1191,,,528,280,,241,,,160
Census Tract 133.07; Boulder County; Colorado,1542,,1400000US08013013307,967,,,575,148,,172,,,125
Census Tract 133.08; Boulder County; Colorado,1797,,1400000US08013013308,1127,,,670,140,,127,,,145
Census Tract 134.01; Boulder County; Colorado,1898,,1400000US08013013401,549,,,1349,134,,102,,,147
Census Tract 134.02; Boulder County; Colorado,3303,,1400000US08013013402,2539,,,764,341,,405,,,188
Census Tract 135.03; Boulder County; Colorado,1950,,1400000US08013013503,1048,,,902,156,,177,,,182
Census Tract 135.05; Boulder County; Colorado,1903,,1400000US08013013505,783,,,1120,277,,193,,,263
Census Tract 135.06; Boulder County; Colorado,1963,,1400000US08013013506,1635,,,328,190,,218,,,116
Census Tract 135.07; Boulder County; Colorado,1363,,1400000US08013013507,1023,,,340,164,,204,,,125
Census Tract 135.08; Boulder County; Colorado,3219,,1400000US08013013508,2544,,,675,290,,308,,,224
Census Tract 136.01; Boulder County; Colorado,1493,,1400000US08013013601,1274,,,219,175,,176,,,72
Census Tract 136.02; Boulder County; Colorado,607,,1400000US08013013602,522,,,85,136,,122,,,65
Census Tract 137.03; Boulder County; Colorado,668,,1400000US08013013703,587,,,81,128,,125,,,72
Census Tract 137.04; Boulder County; Colorado,2284,,1400000US08013013704,1797,,,487,298,,320,,,146
Census Tract 137.05; Boulder County; Colorado,1131,,1400000US08013013705,667,,,464,233,,99,,,235
Census Tract 137.06; Boulder County; Colorado,1674,,1400000US08013013706,1488,,,186,154,,157,,,113
Census Tract 606.01; Boulder County; Colorado,2387,,1400000US08013060601,872,,,1515,182,,231,,,231
Census Tract 606.02; Boulder County; Colorado,281,,1400000US08013060602,236,,,45,105,,102,,,29
Census Tract 607; Boulder County; Colorado,1175,,1400000US08013060700,954,,,221,132,,121,,,74
Census Tract 608.01; Boulder County; Colorado,1818,,1400000US08013060801,699,,,1119,258,,125,,,268
Census Tract 608.02; Boulder County; Colorado,2005,,1400000US08013060802,1015,,,990,262,,279,,,211
Census Tract 609; Boulder County; Colorado,2150,,1400000US08013060900,1645,,,505,209,,229,,,144
Census Tract 613; Boulder County; Colorado,993,,1400000US08013061300,862,,,131,102,,111,,,53
Census Tract 614; Boulder County; Colorado,1450,,1400000US08013061400,1157,,,293,173,,171,,,105
