B25008_002E,B25008_003E,B25008_001EA,B25008_003EA,B25008_002EA,NAME,GEO_ID,B25008_001MA,B25008_001M,B25008_003MA,B25008_002MA,B25008_002M,B25008_003M,B25008_001E
3683,1101,,,,Census Tract 121.01; Boulder County; Colorado,1400000US08013012101,,610,,,666,299,4784
2440,849,,,,Census Tract 121.03; Boulder County; Colorado,1400000US08013012103,,386,,,357,208,3289
1918,379,,,,Census Tract 121.04; Boulder County; Colorado,1400000US08013012104,,222,,,261,231,2297
4960,1198,,,,Census Tract 121.05; Boulder County; Colorado,1400000US08013012105,,773,,,851,433,6158
2054,549,,,,Census Tract 121.06; Boulder County; Colorado,1400000US08013012106,,319,,,332,175,2603
2434,1804,,,,Census Tract 121.07; Boulder County; Colorado,1400000US08013012107,,626,,,469,512,4238
1748,1654,,,,Census Tract 122.01; Boulder County; Colorado,1400000US08013012201,,534,,,456,433,3402
560,2589,,,,Census Tract 122.04; Boulder County; Colorado,1400000US08013012204,,621,,,184,608,3149
788,2471,,,,Census Tract 122.05; Boulder County; Colorado,1400000US08013012205,,632,,,164,645,3259
356,2431,,,,Census Tract 122.06; Boulder County; Colorado,1400000US08013012206,,434,,,152,437,2787
1808,3060,,,,Census Tract 122.07; Boulder County; Colorado,1400000US08013012207,,574,,,509,480,4868
713,1631,,,,Census Tract 122.08; Boulder County; Colorado,1400000US08013012208,,278,,,261,235,2344
25,1209,,,,Census Tract 123; Boulder County; Colorado,1400000US08013012300,,203,,,32,202,1234
641,5860,,,,Census Tract 124.01; Boulder County; Colorado,1400000US08013012401,,1039,,,229,1042,6501
1622,1016,,,,Census Tract 125.01; Boulder County; Colorado,1400000US08013012501,,569,,,566,252,2638
2981,1107,,,,Census Tract 125.05; Boulder County; Colorado,1400000US08013012505,,437,,,431,319,4088
1610,2398,,,,Census Tract 125.07; Boulder County; Colorado,1400000US08013012507,,522,,,310,493,4008
1038,1599,,,,Census Tract 125.08; Boulder County; Colorado,1400000US08013012508,,262,,,248,265,2637
2711,603,,,,Census Tract 125.09; Boulder County; Colorado,1400000US08013012509,,466,,,482,290,3314
3080,708,,,,Census Tract 125.10; Boulder County; Colorado,1400000US08013012510,,351,,,319,217,3788
1834,1378,,,,Census Tract 125.11; Boulder County; Colorado,1400000US08013012511,,329,,,295,232,3212
2559,891,,,,Census Tract 126.03; Boulder County; Colorado,1400000US08013012603,,424,,,439,173,3450
160,1653,,,,Census Tract 126.05; Boulder County; Colorado,1400000US08013012605,,468,,,70,476,1813
1133,1035,,,,Census Tract 126.08; Boulder County; Colorado,1400000US08013012608,,303,,,170,266,2168
217,1145,,,,Census Tract 126.09; Boulder County; Colorado,1400000US08013012609,,294,,,77,307,1362
88,4485,,,,Census Tract 126.10; Boulder County; Colorado,1400000US08013012610,,624,,,87,627,4573
4962,871,,,,Census Tract 127.01; Boulder County; Colorado,1400000US08013012701,,564,,,559,322,5833
1633,3567,,,,Census Tract 127.05; Boulder County; Colorado,1400000US08013012705,,827,,,364,813,5200
1860,221,,,,Census Tract 127.07; Boulder County; Colorado,1400000US08013012707,,426,,,427,137,2081
3521,881,,,,Census Tract 127.08; Boulder County; Colorado,1400000US08013012708,,333,,,406,332,4402
1791,322,,,,Census Tract 127.09; Boulder County; Colorado,1400000US08013012709,,365,,,360,131,2113
2697,517,,,,Census Tract 127.10; Boulder County; Colorado,1400000US08013012710,,311,,,274,194,3214
8003,1473,,,,Census Tract 128.01; Boulder County; Colorado,1400000US08013012801,,573,,,798,608,9476
6203,865,,,,Census Tract 128.02; Boulder County; Colorado,1400000US08013012802,,1019,,,1045,459,7068
2018,299,,,,Census Tract 129.03; Boulder County; Colorado,1400000US08013012903,,314,,,227,203,2317
4730,1244,,,,Census Tract 129.04; Boulder County; Colorado,1400000US08013012904,,671,,,697,398,5974
1491,1285,,,,Census Tract 129.05; Boulder County; Colorado,1400000US08013012905,,410,,,398,372,2776
2413,944,,,,Census Tract 129.07; Boulder County; Colorado,1400000US08013012907,,325,,,353,271,3357
5860,1670,,,,Census Tract 130.03; Boulder County; Colorado,1400000US08013013003,,604,,,588,397,7530
3180,248,,,,Census Tract 130.04; Boulder County; Colorado,1400000US08013013004,,494,,,553,156,3428
2292,757,,,,Census Tract 130.05; Boulder County; Colorado,1400000US08013013005,,353,,,290,279,3049
4547,1195,,,,Census Tract 130.06; Boulder County; Colorado,1400000US08013013006,,681,,,769,415,5742
1319,721,,,,Census Tract 132.01; Boulder County; Colorado,1400000US08013013201,,259,,,211,232,2040
1267,327,,,,Census Tract 132.02; Boulder County; Colorado,1400000US08013013202,,292,,,199,263,1594
4341,395,,,,Census Tract 132.05; Boulder County; Colorado,1400000US08013013205,,496,,,547,145,4736
2695,1214,,,,Census Tract 132.07; Boulder County; Colorado,1400000US08013013207,,380,,,335,222,3909
4308,1666,,,,Census Tract 132.08; Boulder County; Colorado,1400000US08013013208,,526,,,595,423,5974
4181,1702,,,,Census Tract 132.10; Boulder County; Colorado,1400000US08013013210,,810,,,498,727,5883
6080,1019,,,,Census Tract 132.11; Boulder County; Colorado,1400000US08013013211,,846,,,873,387,7099
3295,1536,,,,Census Tract 132.12; Boulder County; Colorado,1400000US08013013212,,481,,,542,285,4831
3668,2574,,,,Census Tract 132.14; Boulder County; Colorado,1400000US08013013214,,1030,,,1058,671,6242
2641,2551,,,,Census Tract 132.15; Boulder County; Colorado,1400000US08013013215,,545,,,570,491,5192
3103,1942,,,,Census Tract 133.02; Boulder County; Colorado,1400000US08013013302,,615,,,576,259,5045
4335,1297,,,,Census Tract 133.05; Boulder County; Colorado,1400000US08013013305,,851,,,1055,563,5632
3120,1028,,,,Census Tract 133.06; Boulder County; Colorado,1400000US08013013306,,799,,,646,476,4148
2342,1176,,,,Census Tract 133.07; Boulder County; Colorado,1400000US08013013307,,470,,,467,342,3518
1982,1605,,,,Census Tract 133.08; Boulder County; Colorado,1400000US08013013308,,435,,,227,400,3587
1398,2251,,,,Census Tract 134.01; Boulder County; Colorado,1400000US08013013401,,384,,,275,348,3649
5785,2011,,,,Census Tract 134.02; Boulder County; Colorado,1400000US08013013402,,801,,,977,586,7796
2584,2502,,,,Census Tract 135.03; Boulder County; Colorado,1400000US08013013503,,612,,,540,640,5086
2171,2401,,,,Census Tract 135.05; Boulder County; Colorado,1400000US08013013505,,1002,,,768,819,4572
