B25010_001EA,B25010_002EA,B25010_003EA,B25010_001MA,B25010_002M,B25010_001M,B25010_002MA,B25010_003MA,NAME,GEO_ID,B25010_003M,B25010_002E,B25010_001E,B25010_003E
,,,,0.29,0.21,,,Census Tract 121.01; Boulder County; Colorado,1400000US08013012101,0.33,2.23,2.16,1.94
,,,,0.21,0.16,,,Census Tract 121.03; Boulder County; Colorado,1400000US08013012103,0.21,2.30,2.08,1.64
,,,,0.16,0.15,,,Census Tract 121.04; Boulder County; Colorado,1400000US08013012104,0.98,2.26,2.31,2.60
,,,,0.22,0.19,,,Census Tract 121.05; Boulder County; Colorado,1400000US08013012105,0.46,2.61,2.43,1.89
,,,,0.32,0.22,,,Census Tract 121.06; Boulder County; Colorado,1400000US08013012106,0.23,2.28,2.14,1.75
,,,,0.30,0.23,,,Census Tract 121.07; Boulder County; Colorado,1400000US08013012107,0.40,2.22,2.29,2.39
,,,,0.35,0.27,,,Census Tract 122.01; Boulder County; Colorado,1400000US08013012201,0.41,2.36,2.29,2.23
,,,,0.34,0.17,,,Census Tract 122.04; Boulder County; Colorado,1400000US08013012204,0.20,2.06,1.84,1.80
,,,,0.19,0.14,,,Census Tract 122.05; Boulder County; Colorado,1400000US08013012205,0.18,1.49,1.56,1.58
,,,,0.35,0.16,,,Census Tract 122.06; Boulder County; Colorado,1400000US08013012206,0.19,1.59,1.75,1.78
,,,,0.19,0.16,,,Census Tract 122.07; Boulder County; Colorado,1400000US08013012207,0.31,1.64,2.04,2.37
,,,,0.18,0.09,,,Census Tract 122.08; Boulder County; Colorado,1400000US08013012208,0.11,1.44,1.47,1.49
,,,,3.15,0.20,,,Census Tract 123; Boulder County; Colorado,1400000US08013012300,0.21,3.13,2.02,2.01
,,,,0.38,0.39,,,Census Tract 124.01; Boulder County; Colorado,1400000US08013012401,0.44,2.09,3.18,3.38
,,,,0.36,0.25,,,Census Tract 125.01; Boulder County; Colorado,1400000US08013012501,0.25,2.48,2.15,1.77
,,,,0.17,0.16,,,Census Tract 125.05; Boulder County; Colorado,1400000US08013012505,0.42,2.57,2.49,2.31
,,,,0.27,0.17,,,Census Tract 125.07; Boulder County; Colorado,1400000US08013012507,0.23,2.39,2.19,2.07
,,,,0.25,0.18,,,Census Tract 125.08; Boulder County; Colorado,1400000US08013012508,0.29,2.15,2.21,2.24
,,,,0.24,0.20,,,Census Tract 125.09; Boulder County; Colorado,1400000US08013012509,0.49,2.78,2.80,2.86
,,,,0.14,0.13,,,Census Tract 125.10; Boulder County; Colorado,1400000US08013012510,0.29,2.06,2.08,2.16
,,,,0.31,0.17,,,Census Tract 125.11; Boulder County; Colorado,1400000US08013012511,0.16,1.99,1.80,1.59
,,,,0.25,0.16,,,Census Tract 126.03; Boulder County; Colorado,1400000US08013012603,0.21,2.57,2.32,1.81
,,,,0.26,0.33,,,Census Tract 126.05; Boulder County; Colorado,1400000US08013012605,0.38,1.68,2.26,2.33
,,,,0.27,0.18,,,Census Tract 126.08; Boulder County; Colorado,1400000US08013012608,0.26,2.30,2.24,2.17
,,,,0.27,0.21,,,Census Tract 126.09; Boulder County; Colorado,1400000US08013012609,0.25,1.57,1.74,1.78
,-,,,-222222222.00,0.20,**,,Census Tract 126.10; Boulder County; Colorado,1400000US08013012610,0.21,-666666666.00,1.78,1.81
,,,,0.19,0.15,,,Census Tract 127.01; Boulder County; Colorado,1400000US08013012701,0.19,2.25,2.16,1.76
,,,,0.16,0.13,,,Census Tract 127.05; Boulder County; Colorado,1400000US08013012705,0.20,1.75,1.78,1.79
,,,,0.44,0.38,,,Census Tract 127.07; Boulder County; Colorado,1400000US08013012707,0.88,2.85,2.73,2.01
,,,,0.13,0.11,,,Census Tract 127.08; Boulder County; Colorado,1400000US08013012708,0.37,2.08,2.06,1.97
,,,,0.26,0.21,,,Census Tract 127.09; Boulder County; Colorado,1400000US08013012709,0.37,2.67,2.51,1.86
,,,,0.17,0.16,,,Census Tract 127.10; Boulder County; Colorado,1400000US08013012710,0.38,2.51,2.37,1.83
,,,,0.17,0.17,,,Census Tract 128.01; Boulder County; Colorado,1400000US08013012801,0.56,2.82,2.78,2.61
,,,,0.22,0.20,,,Census Tract 128.02; Boulder County; Colorado,1400000US08013012802,0.47,2.99,2.93,2.57
,,,,0.19,0.17,,,Census Tract 129.03; Boulder County; Colorado,1400000US08013012903,0.41,2.31,2.30,2.25
,,,,0.35,0.27,,,Census Tract 129.04; Boulder County; Colorado,1400000US08013012904,0.48,2.44,2.37,2.13
,,,,0.33,0.27,,,Census Tract 129.05; Boulder County; Colorado,1400000US08013012905,0.29,2.46,2.06,1.73
,,,,0.20,0.15,,,Census Tract 129.07; Boulder County; Colorado,1400000US08013012907,0.20,2.56,2.37,1.99
,,,,0.17,0.14,,,Census Tract 130.03; Boulder County; Colorado,1400000US08013013003,0.26,2.57,2.39,1.92
,,,,0.41,0.40,,,Census Tract 130.04; Boulder County; Colorado,1400000US08013013004,0.46,3.39,3.25,2.16
,,,,0.22,0.19,,,Census Tract 130.05; Boulder County; Colorado,1400000US08013013005,0.42,2.66,2.38,1.81
,,,,0.26,0.20,,,Census Tract 130.06; Boulder County; Colorado,1400000US08013013006,0.45,2.87,2.86,2.79
,,,,0.21,0.17,,,Census Tract 132.01; Boulder County; Colorado,1400000US08013013201,0.37,2.20,2.12,1.99
,,,,0.26,0.33,,,Census Tract 132.02; Boulder County; Colorado,1400000US08013013202,1.09,2.53,2.73,3.94
,,,,0.16,0.18,,,Census Tract 132.05; Boulder County; Colorado,1400000US08013013205,0.16,2.58,2.34,1.15
,,,,0.17,0.13,,,Census Tract 132.07; Boulder County; Colorado,1400000US08013013207,0.24,2.34,2.17,1.86
,,,,0.31,0.22,,,Census Tract 132.08; Boulder County; Colorado,1400000US08013013208,0.37,2.44,2.39,2.26
,,,,0.24,0.21,,,Census Tract 132.10; Boulder County; Colorado,1400000US08013013210,0.59,2.61,2.57,2.49
,,,,0.29,0.25,,,Census Tract 132.11; Boulder County; Colorado,1400000US08013013211,0.38,2.65,2.50,1.89
,,,,0.17,0.13,,,Census Tract 132.12; Boulder County; Colorado,1400000US08013013212,0.23,2.30,2.11,1.79
,,,,0.27,0.21,,,Census Tract 132.14; Boulder County; Colorado,1400000US08013013214,0.33,2.85,2.55,2.21
