P12_005NA,P12_009NA,P12_047NA,P12_019N,P12_007N,P12_028NA,P12_035N,P12_023N,P12_043NA,P12_047N,P12_024NA,P12_001NA,P12_011N,P12_020NA,P12_040N,P12_016NA,P12_008N,P12_039NA,P12_024N,P12_012N,P12_035NA,P12_036N,P12_048N,P12_012NA,P12_031NA,P12_006NA,P12_029NA,P12_009N,P12_025NA,P12_048NA,P12_049N,P12_013N,P12_021NA,P12_044NA,P12_001N,P12_037N,P12_025N,P12_002NA,P12_040NA,P12_041N,P12_017NA,P12_036NA,P12_038N,P12_002N,P12_032NA,P12_026N,P12_014N,P12_013NA,P12_030N,P12_042N,P12_003NA,P12_039N,P12_026NA,P12_027N,P12_007NA,P12_049NA,P12_022NA,P12_015N,P12_003N,P12_045NA,P12_031N,P12_043N,P12_041NA,NAME,P12_014NA,P12_028N,P12_016N,P12_037NA,P12_018NA,P12_033NA,P12_004N,P12_020N,P12_010NA,P12_032N,P12_044N,P12_004NA,P12_017N,P12_005N,P12_008NA,P12_027NA,P12_029N,P12_045N,P12_023NA,P12_046NA,P12_033N,P12_042NA,P12_021N,GEO_ID,P12_015NA,P12_006N,P12_019NA,P12_038NA,P12_018N,P12_034N,P12_046N,P12_034NA,P12_011NA,P12_022N,P12_030NA,P12_010N
,,,21,10,,50,18,,17,,,54,,46,,11,,16,41,,40,1,,,,,5,,,5,24,,,1090,39,5,,,31,,,42,524,,566,29,,18,7,,38,,32,,,,35,18,,3,33,,Block Group 1; Census Tract 121.01; Boulder County; Colorado,,34,40,,,,24,12,,14,17,,38,27,,,25,15,,,7,,15,1500000US080130121011,,24,,,16,21,31,,,21,,20
,,,24,22,,26,25,,37,,,29,,73,,3,,9,35,,32,17,,,,,7,,,18,45,,,1647,49,13,,,52,,,65,806,,841,47,,42,29,,55,,31,,,,66,25,,17,36,,Block Group 2; Census Tract 121.01; Boulder County; Colorado,,51,82,,,,67,23,,14,25,,54,69,,,66,37,,,11,,25,1500000US080130121012,,44,,,28,12,46,,,43,,21
,,,33,8,,29,18,,15,,,45,,44,,1,,8,34,,32,6,,,,,4,,,4,46,,,1154,39,2,,,46,,,39,570,,584,26,,26,19,,53,,26,,,,43,22,,7,22,,Block Group 3; Census Tract 121.01; Boulder County; Colorado,,22,41,,,,31,18,,3,17,,41,47,,,43,27,,,5,,18,1500000US080130121013,,22,,,21,28,32,,,28,,13
,,,13,9,,35,10,,10,,,34,,42,,4,,4,22,,28,11,,,,,8,,,12,18,,,902,14,9,,,30,,,27,446,,456,27,,15,10,,40,,11,,,,34,14,,8,21,,Block Group 4; Census Tract 121.01; Boulder County; Colorado,,17,40,,,,19,3,,1,13,,38,40,,,26,21,,,10,,20,1500000US080130121014,,23,,,4,17,37,,,44,,9
,,,29,4,,14,26,,35,,,12,,39,,1,,16,18,,23,11,,,,,3,,,0,27,,,940,23,5,,,26,,,27,470,,470,21,,23,30,,39,,11,,,,39,9,,10,32,,Block Group 1; Census Tract 121.03; Boulder County; Colorado,,18,32,,,,26,14,,2,11,,42,36,,,25,20,,,4,,20,1500000US080130121031,,15,,,21,4,43,,,37,,17
,,,33,7,,18,11,,13,,,34,,54,,6,,10,24,,13,11,,,,,1,,,7,20,,,1032,21,7,,,28,,,37,511,,521,30,,36,10,,38,,20,,,,38,17,,15,25,,Block Group 2; Census Tract 121.03; Boulder County; Colorado,,25,46,,,,25,20,,3,14,,14,38,,,49,18,,,5,,21,1500000US080130121032,,31,,,18,18,43,,,44,,16
,,,31,21,,125,20,,26,,,137,,42,,16,,12,98,,90,16,,,,,5,,,62,79,,,1838,60,18,,,51,,,70,907,,931,58,,18,18,,52,,24,,,,41,32,,17,36,,Block Group 3; Census Tract 121.03; Boulder County; Colorado,,37,53,,,,39,14,,11,14,,38,41,,,31,42,,,11,,28,1500000US080130121033,,19,,,12,40,38,,,39,,56
,,,28,17,,17,18,,16,,,26,,44,,11,,10,35,,29,8,,,,,1,,,4,31,,,1369,45,7,,,54,,,55,666,,703,31,,40,29,,50,,29,,,,62,30,,15,40,,Block Group 1; Census Tract 121.04; Boulder County; Colorado,,31,46,,,,43,23,,10,13,,53,47,,,59,42,,,6,,29,1500000US080130121041,,38,,,19,12,55,,,48,,13
,,,31,10,,12,39,,33,,,25,,56,,6,,15,20,,15,14,,,,,3,,,15,24,,,1297,30,9,,,56,,,39,630,,667,25,,25,18,,44,,19,,,,36,27,,10,49,,Block Group 2; Census Tract 121.04; Boulder County; Colorado,,42,53,,,,29,22,,5,25,,38,40,,,24,49,,,8,,39,1500000US080130121042,,28,,,15,11,68,,,73,,23
,,,22,14,,53,3,,13,,,39,,60,,2,,7,55,,59,2,,,,,4,,,8,52,,,1410,44,8,,,53,,,51,683,,727,54,,24,23,,84,,35,,,,67,47,,9,26,,Block Group 1; Census Tract 121.05; Boulder County; Colorado,,43,46,,,,57,8,,7,17,,51,46,,,49,14,,,2,,10,1500000US080130121051,,41,,,12,18,33,,,16,,22
,,,21,44,,104,24,,23,,,124,,70,,20,,6,113,,135,9,,,,,27,,,4,123,,,2773,96,3,,,66,,,96,1438,,1335,107,,65,30,,103,,77,,,,98,89,,38,34,,Block Group 2; Census Tract 121.05; Boulder County; Colorado,,92,86,,,,104,13,,16,23,,79,117,,,94,29,,,21,,34,1500000US080130121052,,58,,,30,70,40,,,40,,78
,,,32,19,,22,15,,10,,,25,,55,,1,,8,29,,25,4,,,,,4,,,3,31,,,1257,37,0,,,46,,,44,628,,629,37,,38,15,,60,,24,,,,44,27,,9,28,,Block Group 3; Census Tract 121.05; Boulder County; Colorado,,43,62,,,,56,9,,9,27,,48,48,,,40,30,,,8,,26,1500000US080130121053,,29,,,20,14,38,,,40,,18
,,,31,9,,33,22,,21,,,36,,56,,8,,16,39,,27,11,,,,,2,,,8,31,,,1195,37,6,,,50,,,46,570,,625,40,,15,17,,37,,18,,,,44,15,,10,34,,Block Group 4; Census Tract 121.05; Boulder County; Colorado,,32,48,,,,17,22,,3,20,,48,28,,,40,30,,,11,,19,1500000US080130121054,,28,,,14,32,37,,,27,,20
,,,20,9,,50,13,,11,,,63,,41,,3,,1,39,,44,6,,,,,10,,,15,31,,,1069,35,8,,,35,,,48,501,,568,32,,15,18,,46,,19,,,,36,23,,6,27,,Block Group 1; Census Tract 121.06; Boulder County; Colorado,,35,40,,,,11,11,,9,12,,36,23,,,24,11,,,7,,21,1500000US080130121061,,14,,,14,27,27,,,25,,18
,,,24,21,,47,29,,31,,,47,,71,,21,,14,59,,54,14,,,,,11,,,9,51,,,1731,63,8,,,58,,,60,877,,854,53,,27,15,,65,,43,,,,64,50,,21,36,,Block Group 2; Census Tract 121.06; Boulder County; Colorado,,41,72,,,,43,24,,8,32,,48,67,,,57,35,,,10,,22,1500000US080130121062,,48,,,19,19,38,,,55,,27
,,,27,6,,131,17,,18,,,166,,46,,8,,2,133,,87,11,,,,,11,,,9,97,,,1861,80,4,,,37,,,62,973,,888,60,,25,17,,50,,36,,,,57,31,,19,21,,Block Group 1; Census Tract 121.07; Boulder County; Colorado,,56,48,,,,54,8,,10,12,,40,52,,,35,34,,,7,,27,1500000US080130121071,,18,,,13,54,31,,,29,,65
,,,31,17,,53,29,,37,,,58,,61,,12,,14,56,,64,12,,,,,9,,,13,48,,,1463,50,13,,,42,,,34,743,,720,36,,22,20,,58,,23,,,,47,32,,6,34,,Block Group 2; Census Tract 121.07; Boulder County; Colorado,,33,58,,,,25,26,,5,15,,49,43,,,42,29,,,7,,27,1500000US080130121072,,21,,,24,24,36,,,52,,16
,,,12,1,,20,9,,12,,,24,,47,,6,,13,33,,12,15,,,,,1,,,13,17,,,876,28,7,,,35,,,41,411,,465,35,,22,17,,40,,22,,,,37,16,,9,9,,Block Group 3; Census Tract 121.07; Boulder County; Colorado,,26,37,,,,33,6,,3,9,,33,30,,,31,11,,,3,,11,1500000US080130121073,,21,,,10,9,31,,,15,,4
,,,15,4,,37,19,,28,,,38,,21,,5,,9,40,,22,12,,,,,5,,,15,27,,,735,34,15,,,7,,,13,372,,363,16,,7,20,,26,,8,,,,27,16,,4,10,,Block Group 1; Census Tract 122.01; Boulder County; Colorado,,6,20,,,,8,4,,8,3,,27,7,,,5,11,,,8,,8,1500000US080130122011,,3,,,8,28,30,,,31,,20
,,,21,19,,83,17,,13,,,95,,31,,26,,5,56,,43,11,,,,,60,,,8,29,,,1260,19,7,,,31,,,24,702,,558,20,,9,12,,27,,12,,,,28,20,,8,25,,Block Group 2; Census Tract 122.01; Boulder County; Colorado,,14,26,,,,12,4,,14,11,,34,19,,,21,4,,,57,,14,1500000US080130122012,,16,,,21,66,15,,,26,,127
,,,23,14,,47,39,,28,,,40,,57,,25,,18,31,,39,24,,,,,19,,,10,25,,,1487,48,13,,,61,,,32,714,,773,47,,24,26,,45,,24,,,,40,28,,16,28,,Block Group 3; Census Tract 122.01; Boulder County; Colorado,,29,33,,,,39,35,,21,23,,55,38,,,37,51,,,31,,40,1500000US080130122013,,21,,,20,19,53,,,48,,23
,,,15,5,,83,5,,17,,,67,,24,,5,,4,73,,69,4,,,,,9,,,5,44,,,934,41,3,,,25,,,21,458,,476,21,,2,8,,24,,12,,,,27,3,,6,14,,Block Group 1; Census Tract 122.04; Boulder County; Colorado,,8,30,,,,6,11,,5,10,,15,5,,,13,15,,,16,,18,1500000US080130122041,,8,,,18,40,14,,,15,,51
,,,6,20,,13,13,,23,,,52,,11,,114,,0,11,,18,19,,,,,186,,,13,18,,,1473,14,8,,,10,,,13,753,,720,8,,4,1,,12,,20,,,,6,23,,48,6,,Block Group 2; Census Tract 122.04; Boulder County; Colorado,,2,11,,,,12,3,,132,2,,9,11,,,14,10,,,155,,10,1500000US080130122042,,10,,,3,158,22,,,7,,212
,,,13,7,,71,25,,22,,,47,,20,,26,,21,80,,50,9,,,,,22,,,5,42,,,1055,38,3,,,17,,,19,553,,502,32,,7,16,,20,,12,,,,24,17,,10,13,,Block Group 3; Census Tract 122.04; Boulder County; Colorado,,10,45,,,,8,7,,23,9,,31,8,,,11,11,,,18,,9,1500000US080130122043,,7,,,15,59,32,,,17,,47
,,,24,7,,87,7,,11,,,131,,29,,24,,1,81,,70,11,,,,,10,,,2,40,,,1193,33,4,,,39,,,32,618,,575,33,,7,11,,35,,12,,,,29,17,,12,17,,Block Group 1; Census Tract 122.05; Boulder County; Colorado,,14,39,,,,13,7,,18,13,,34,18,,,13,8,,,30,,9,1500000US080130122051,,7,,,19,56,15,,,11,,53
,,,19,23,,132,8,,10,,,220,,31,,35,,0,117,,82,1,,,,,62,,,5,53,,,1745,34,4,,,24,,,26,1013,,732,36,,13,12,,28,,15,,,,27,19,,31,18,,Block Group 2; Census Tract 122.05; Boulder County; Colorado,,2,31,,,,13,18,,38,9,,29,7,,,12,17,,,31,,22,1500000US080130122052,,13,,,13,147,14,,,25,,219
,,,14,46,,118,5,,4,,,183,,17,,103,,1,82,,59,7,,,,,127,,,7,34,,,1743,24,1,,,11,,,18,953,,790,31,,3,5,,15,,7,,,,26,19,,43,10,,Block Group 1; Census Tract 122.06; Boulder County; Colorado,,4,19,,,,6,7,,99,6,,17,6,,,5,7,,,130,,5,1500000US080130122061,,5,,,7,188,3,,,5,,204
,,,8,63,,88,14,,26,,,122,,11,,105,,21,49,,49,18,,,,,80,,,58,36,,,1576,26,28,,,18,,,30,856,,720,35,,5,7,,12,,15,,,,24,11,,66,4,,Block Group 2; Census Tract 122.06; Boulder County; Colorado,,8,33,,,,11,8,,47,5,,34,3,,,1,16,,,86,,12,1500000US080130122062,,6,,,10,95,29,,,15,,128
,,,12,28,,78,11,,9,,,89,,25,,6,,9,79,,86,9,,,,,9,,,8,68,,,1568,55,8,,,30,,,61,790,,778,48,,44,18,,41,,44,,,,41,64,,24,14,,Block Group 1; Census Tract 122.07; Boulder County; Colorado,,54,50,,,,48,11,,12,12,,31,72,,,86,16,,,15,,4,1500000US080130122071,,37,,,11,18,19,,,15,,39
,,,42,14,,68,22,,30,,,112,,65,,2,,5,115,,87,10,,,,,5,,,7,108,,,2228,105,9,,,78,,,77,1129,,1099,80,,41,26,,61,,66,,,,80,48,,26,42,,Block Group 2; Census Tract 122.07; Boulder County; Colorado,,49,68,,,,66,20,,12,21,,78,66,,,54,49,,,8,,24,1500000US080130122072,,43,,,18,55,62,,,50,,54
,,,27,11,,152,10,,20,,,203,,25,,9,,5,163,,120,24,,,,,17,,,59,96,,,1671,57,18,,,29,,,30,917,,754,38,,7,7,,32,,8,,,,38,17,,11,16,,Block Group 3; Census Tract 122.07; Boulder County; Colorado,,21,25,,,,23,7,,9,5,,32,20,,,21,9,,,16,,21,1500000US080130122073,,6,,,14,59,17,,,18,,99
,,,22,25,,178,2,,15,,,217,,62,,26,,7,195,,123,19,,,,,25,,,2,100,,,1999,70,5,,,40,,,55,1098,,901,72,,15,10,,47,,26,,,,61,25,,19,19,,Block Group 1; Census Tract 122.08; Boulder County; Colorado,,19,60,,,,21,12,,15,13,,49,26,,,26,14,,,13,,11,1500000US080130122081,,12,,,18,85,16,,,33,,74
,,,9,4,,35,15,,11,,,36,,13,,2,,3,20,,21,3,,,,,0,,,7,27,,,502,24,3,,,9,,,11,251,,251,21,,1,4,,13,,6,,,,20,3,,5,24,,Block Group 2; Census Tract 122.08; Boulder County; Colorado,,1,20,,,,1,6,,3,12,,26,4,,,0,18,,,2,,5,1500000US080130122082,,1,,,2,7,21,,,13,,10
,,,1,2271,,10,2,,0,,,4,,2,,209,,0,8,,4,1,,,,,45,,,1,4,,,4968,1,1,,,1,,,0,2604,,2364,1,,4,1,,1,,1,,,,0,3,,2147,1,,Block Group 1; Census Tract 123; Boulder County; Colorado,,1,2,,,,0,0,,112,0,,0,2,,,3,0,,,32,,0,1500000US080130123001,,12,,,0,40,1,,,0,,39
,,,1,25,,250,0,,0,,,409,,28,,34,,0,190,,174,3,,,,,37,,,0,105,,,2091,92,0,,,7,,,32,1211,,880,52,,6,5,,14,,15,,,,44,26,,18,6,,Block Group 2; Census Tract 123; Boulder County; Colorado,,8,14,,,,14,3,,36,0,,4,5,,,2,0,,,54,,2,1500000US080130123002,,9,,,5,129,1,,,0,,232
