P14_023NA,P14_025NA,P14_027NA,P14_029NA,P14_008NA,P14_006NA,P14_040NA,P14_004NA,P14_042NA,P14_002NA,P14_021NA,P14_020N,P14_040N,P14_024N,P14_012N,P14_032N,P14_028N,P14_016N,P14_004N,P14_036N,P14_008N,P14_013NA,P14_034NA,P14_015NA,P14_036NA,P14_017NA,P14_038NA,P14_019NA,P14_030NA,NAME,P14_011NA,P14_032NA,P14_031N,P14_035N,P14_023N,P14_011N,P14_043N,P14_039N,P14_027N,P14_015N,P14_003N,P14_019N,P14_007N,P14_024NA,P14_026NA,P14_028NA,P14_007NA,P14_005NA,P14_003NA,P14_020NA,P14_041NA,P14_001NA,P14_022NA,P14_043NA,P14_042N,P14_030N,P14_002N,P14_034N,P14_022N,P14_010N,P14_006N,P14_038N,P14_026N,P14_014N,P14_018N,P14_012NA,P14_035NA,P14_014NA,P14_037NA,P14_016NA,P14_039NA,P14_018NA,P14_031NA,P14_010NA,P14_033NA,GEO_ID,P14_041N,P14_013N,P14_001N,P14_033N,P14_009NA,P14_021N,P14_017N,P14_005N,P14_037N,P14_025N,P14_009N,P14_029N
,,,,,,,,,,,8,4,12,2,11,8,8,4,3,3,,,,,,,,,Block Group 1; Census Tract 121.01; Boulder County; Colorado,,,4,6,112,10,2,6,5,6,4,4,6,,,,,,,,,,,,1,8,103,7,3,3,3,3,5,3,12,,,,,,,,,,,1500000US080130121011,8,5,215,8,,7,5,1,6,2,6,3
,,,,,,,,,,,9,16,3,5,15,7,10,0,15,14,,,,,,,,,Block Group 2; Census Tract 121.01; Boulder County; Colorado,,,8,17,207,23,3,9,8,9,7,26,9,,,,,,,,,,,,14,7,227,12,9,13,3,16,6,11,9,,,,,,,,,,,1500000US080130121012,17,21,434,18,,13,18,6,6,7,12,3
,,,,,,,,,,,3,12,3,10,5,10,9,10,3,9,,,,,,,,,Block Group 3; Census Tract 121.01; Boulder County; Colorado,,,4,12,124,3,2,5,6,11,5,8,0,,,,,,,,,,,,5,5,130,9,8,1,4,9,1,13,11,,,,,,,,,,,1500000US080130121013,9,0,254,5,,0,14,3,10,6,8,3
,,,,,,,,,,,5,8,2,5,8,4,5,4,6,1,,,,,,,,,Block Group 4; Census Tract 121.01; Boulder County; Colorado,,,5,9,77,4,5,2,2,10,0,4,3,,,,,,,,,,,,3,0,105,4,6,7,6,4,0,8,14,,,,,,,,,,,1500000US080130121014,5,5,182,1,,3,12,1,3,3,2,3
,,,,,,,,,,,12,8,1,6,5,1,7,5,8,8,,,,,,,,,Block Group 1; Census Tract 121.03; Boulder County; Colorado,,,0,2,87,5,7,10,6,4,1,1,0,,,,,,,,,,,,3,6,90,6,0,3,3,5,0,1,2,,,,,,,,,,,1500000US080130121031,5,14,177,5,,4,10,0,4,3,4,2
,,,,,,,,,,,10,25,5,6,0,8,8,2,6,3,,,,,,,,,Block Group 2; Census Tract 121.03; Boulder County; Colorado,,,4,11,145,10,5,6,3,7,0,16,8,,,,,,,,,,,,10,8,118,5,3,6,5,14,3,7,5,,,,,,,,,,,1500000US080130121032,5,9,263,9,,4,7,2,13,1,0,4
,,,,,,,,,,,5,3,1,8,6,5,10,3,6,10,,,,,,,,,Block Group 3; Census Tract 121.03; Boulder County; Colorado,,,13,9,127,10,12,7,1,8,8,2,4,,,,,,,,,,,,5,10,152,9,5,5,6,6,13,7,12,,,,,,,,,,,1500000US080130121033,8,10,279,2,,16,6,11,1,4,6,6
,,,,,,,,,,,14,12,7,10,13,6,11,7,13,7,,,,,,,,,Block Group 1; Census Tract 121.04; Boulder County; Colorado,,,6,6,174,6,6,13,1,15,2,12,10,,,,,,,,,,,,9,1,175,14,11,12,8,14,11,6,12,,,,,,,,,,,1500000US080130121041,15,8,349,4,,6,7,3,12,4,8,7
,,,,,,,,,,,10,8,6,6,8,6,5,6,1,0,,,,,,,,,Block Group 2; Census Tract 121.04; Boulder County; Colorado,,,10,7,120,3,6,6,5,9,6,12,3,,,,,,,,,,,,4,13,134,5,3,12,8,1,0,12,6,,,,,,,,,,,1500000US080130121042,11,5,254,11,,7,9,4,10,2,8,0
,,,,,,,,,,,15,4,7,14,13,5,10,8,8,6,,,,,,,,,Block Group 1; Census Tract 121.05; Boulder County; Colorado,,,7,8,160,10,7,12,9,8,7,9,9,,,,,,,,,,,,2,11,205,12,4,17,12,9,8,3,17,,,,,,,,,,,1500000US080130121051,8,14,365,7,,10,11,11,12,6,10,5
,,,,,,,,,,,16,27,11,24,22,16,9,15,26,13,,,,,,,,,Block Group 2; Census Tract 121.05; Boulder County; Colorado,,,15,16,366,24,18,17,19,34,14,23,30,,,,,,,,,,,,20,23,412,22,20,24,12,15,19,23,19,,,,,,,,,,,1500000US080130121052,21,26,778,17,,24,25,18,15,12,19,15
,,,,,,,,,,,9,12,5,15,9,5,7,4,8,5,,,,,,,,,Block Group 3; Census Tract 121.05; Boulder County; Colorado,,,8,5,154,10,8,12,5,12,6,6,5,,,,,,,,,,,,1,12,179,12,7,11,8,3,6,5,14,,,,,,,,,,,1500000US080130121053,14,10,333,4,,12,14,4,12,3,15,10
,,,,,,,,,,,7,3,1,2,1,6,3,1,9,7,,,,,,,,,Block Group 4; Census Tract 121.05; Boulder County; Colorado,,,7,7,115,2,2,7,6,6,6,15,2,,,,,,,,,,,,8,7,97,4,3,4,3,14,2,9,6,,,,,,,,,,,1500000US080130121054,5,2,212,10,,6,8,3,6,3,2,7
,,,,,,,,,,,8,7,1,2,5,5,5,2,2,0,,,,,,,,,Block Group 1; Census Tract 121.06; Boulder County; Colorado,,,7,3,99,3,1,2,9,0,4,6,2,,,,,,,,,,,,5,6,80,2,2,5,8,5,1,6,0,,,,,,,,,,,1500000US080130121061,6,7,179,6,,7,5,7,12,3,1,11
,,,,,,,,,,,23,8,7,5,17,7,15,11,11,13,,,,,,,,,Block Group 2; Census Tract 121.06; Boulder County; Colorado,,,4,18,189,11,7,10,12,14,5,15,12,,,,,,,,,,,,14,9,229,9,6,2,10,18,9,15,10,,,,,,,,,,,1500000US080130121062,9,16,418,8,,15,7,12,1,8,12,3
,,,,,,,,,,,5,5,10,8,16,4,23,3,5,11,,,,,,,,,Block Group 1; Census Tract 121.07; Boulder County; Colorado,,,14,11,171,11,8,10,9,3,6,6,6,,,,,,,,,,,,11,6,161,9,3,12,10,4,10,11,7,,,,,,,,,,,1500000US080130121071,10,9,332,13,,3,6,6,6,3,12,7
,,,,,,,,,,,5,6,3,10,7,1,6,8,7,0,,,,,,,,,Block Group 2; Census Tract 121.07; Boulder County; Colorado,,,5,1,126,6,3,12,5,9,0,9,12,,,,,,,,,,,,3,3,138,9,11,5,5,13,6,8,7,,,,,,,,,,,1500000US080130121072,4,16,264,9,,6,4,7,12,8,4,9
,,,,,,,,,,,3,6,6,8,1,10,4,6,5,6,,,,,,,,,Block Group 3; Census Tract 121.07; Boulder County; Colorado,,,6,5,110,6,6,8,0,8,0,11,2,,,,,,,,,,,,3,5,101,6,1,7,6,8,2,5,7,,,,,,,,,,,1500000US080130121073,8,4,211,4,,0,9,2,7,4,6,10
,,,,,,,,,,,1,1,2,5,0,0,5,0,1,0,,,,,,,,,Block Group 1; Census Tract 122.01; Boulder County; Colorado,,,5,1,30,3,2,3,1,0,2,1,3,,,,,,,,,,,,2,1,38,0,2,0,6,0,3,2,1,,,,,,,,,,,1500000US080130122011,3,0,68,0,,2,0,5,3,2,0,0
,,,,,,,,,,,10,6,2,2,6,0,6,7,4,1,,,,,,,,,Block Group 2; Census Tract 122.01; Boulder County; Colorado,,,0,3,64,4,7,2,3,2,4,3,1,,,,,,,,,,,,1,3,86,8,14,2,4,0,2,9,3,,,,,,,,,,,1500000US080130122012,1,0,150,2,,5,2,4,6,5,3,3
,,,,,,,,,,,6,12,3,9,7,6,7,6,8,3,,,,,,,,,Block Group 3; Census Tract 122.01; Boulder County; Colorado,,,7,5,130,11,9,9,6,5,3,13,8,,,,,,,,,,,,7,6,140,11,10,9,4,9,4,7,2,,,,,,,,,,,1500000US080130122013,3,11,270,5,,4,8,7,4,5,7,4
,,,,,,,,,,,5,2,6,0,1,3,2,0,4,0,,,,,,,,,Block Group 1; Census Tract 122.04; Boulder County; Colorado,,,2,4,41,2,4,0,0,0,0,2,0,,,,,,,,,,,,2,1,27,1,5,2,0,4,2,1,1,,,,,,,,,,,1500000US080130122041,0,0,68,0,,0,2,3,0,1,2,4
,,,,,,,,,,,4,2,8,1,1,3,3,6,1,1,,,,,,,,,Block Group 2; Census Tract 122.04; Boulder County; Colorado,,,0,4,88,2,41,0,1,2,2,4,3,,,,,,,,,,,,7,1,76,5,17,3,8,3,3,1,2,,,,,,,,,,,1500000US080130122042,2,4,164,0,,3,1,4,1,5,5,0
,,,,,,,,,,,1,4,6,1,0,1,1,6,2,0,,,,,,,,,Block Group 3; Census Tract 122.04; Boulder County; Colorado,,,2,1,50,6,6,0,1,0,7,2,1,,,,,,,,,,,,4,2,47,4,5,0,2,2,1,3,4,,,,,,,,,,,1500000US080130122043,3,2,97,4,,2,2,1,2,3,1,2
,,,,,,,,,,,1,0,4,1,2,2,7,4,5,0,,,,,,,,,Block Group 1; Census Tract 122.05; Boulder County; Colorado,,,2,5,58,3,6,0,2,3,7,2,2,,,,,,,,,,,,6,3,62,1,4,6,3,0,2,2,4,,,,,,,,,,,1500000US080130122051,7,3,120,6,,3,3,1,2,2,3,1
,,,,,,,,,,,4,6,5,4,0,2,1,2,1,1,,,,,,,,,Block Group 2; Census Tract 122.05; Boulder County; Colorado,,,0,0,73,2,21,2,6,2,7,2,4,,,,,,,,,,,,10,2,75,2,20,1,2,2,1,0,7,,,,,,,,,,,1500000US080130122052,5,1,148,0,,3,3,4,7,1,5,0
,,,,,,,,,,,0,3,1,0,2,2,2,3,0,1,,,,,,,,,Block Group 1; Census Tract 122.06; Boulder County; Colorado,,,1,2,62,2,35,0,4,2,4,1,0,,,,,,,,,,,,8,1,82,1,40,3,3,2,0,2,4,,,,,,,,,,,1500000US080130122061,0,0,144,0,,6,0,9,0,0,0,0
,,,,,,,,,,,2,0,2,1,0,3,0,1,1,1,,,,,,,,,Block Group 2; Census Tract 122.06; Boulder County; Colorado,,,2,0,95,2,39,1,4,0,4,4,5,,,,,,,,,,,,27,6,94,0,47,2,1,0,2,1,0,,,,,,,,,,,1500000US080130122062,4,1,189,0,,16,1,0,0,4,5,0
