P14_023NA,P14_025NA,P14_027NA,P14_029NA,P14_008NA,P14_006NA,P14_040NA,P14_004NA,P14_042NA,P14_002NA,P14_021NA,P14_020N,P14_040N,P14_024N,P14_012N,P14_032N,P14_028N,P14_016N,P14_004N,P14_036N,P14_008N,P14_013NA,P14_034NA,P14_015NA,P14_036NA,P14_017NA,P14_038NA,P14_019NA,P14_030NA,NAME,P14_011NA,P14_032NA,P14_031N,P14_035N,P14_023N,P14_011N,P14_043N,P14_039N,P14_027N,P14_015N,P14_003N,P14_019N,P14_007N,P14_024NA,P14_026NA,P14_028NA,P14_007NA,P14_005NA,P14_003NA,P14_020NA,P14_041NA,P14_001NA,P14_022NA,P14_043NA,P14_042N,P14_030N,P14_002N,P14_034N,P14_022N,P14_010N,P14_006N,P14_038N,P14_026N,P14_014N,P14_018N,P14_012NA,P14_035NA,P14_014NA,P14_037NA,P14_016NA,P14_039NA,P14_018NA,P14_031NA,P14_010NA,P14_033NA,GEO_ID,P14_041N,P14_013N,P14_001N,P14_033N,P14_009NA,P14_021N,P14_017N,P14_005N,P14_037N,P14_025N,P14_009N,P14_029N
,,,,,,,,,,,25,40,20,22,39,29,32,18,27,27,,,,,,,,,Census Tract 121.01; Boulder County; Colorado,,,21,44,520,40,12,22,21,36,16,42,18,,,,,,,,,,,,23,20,565,32,26,24,16,32,12,35,46,,,,,,,,,,,1400000US08013012101,39,31,1085,32,,23,49,11,25,18,28,12
,,,,,,,,,,,27,36,7,20,11,14,25,10,20,21,,,,,,,,,Census Tract 121.03; Boulder County; Colorado,,,17,22,359,25,24,23,10,19,9,19,12,,,,,,,,,,,,18,24,360,20,8,14,14,25,16,15,19,,,,,,,,,,,1400000US08013012103,18,33,719,16,,24,23,13,18,8,10,12
,,,,,,,,,,,24,20,13,16,21,12,16,13,14,7,,,,,,,,,Census Tract 121.04; Boulder County; Colorado,,,16,13,294,9,12,19,6,24,8,24,13,,,,,,,,,,,,13,14,309,19,14,24,16,15,11,18,18,,,,,,,,,,,1400000US08013012104,26,13,603,15,,13,16,7,22,6,16,7
,,,,,,,,,,,47,46,24,55,45,32,29,28,51,31,,,,,,,,,Census Tract 121.05; Boulder County; Colorado,,,37,36,795,46,35,48,39,60,33,53,46,,,,,,,,,,,,31,53,893,50,34,56,35,41,35,40,56,,,,,,,,,,,1400000US08013012105,48,52,1688,38,,52,58,36,45,24,46,37
,,,,,,,,,,,31,15,8,7,22,12,20,13,13,13,,,,,,,,,Census Tract 121.06; Boulder County; Colorado,,,11,21,288,14,8,12,21,14,9,21,14,,,,,,,,,,,,19,15,309,11,8,7,18,23,10,21,10,,,,,,,,,,,1400000US08013012106,15,23,597,14,,22,12,19,13,11,13,14
,,,,,,,,,,,13,17,19,26,24,15,33,17,17,17,,,,,,,,,Census Tract 121.07; Boulder County; Colorado,,,25,17,407,23,17,30,14,20,6,26,20,,,,,,,,,,,,17,14,400,24,15,24,21,25,18,24,21,,,,,,,,,,,1400000US08013012107,22,29,807,26,,9,19,15,25,15,22,26
,,,,,,,,,,,17,19,7,16,13,6,18,13,13,4,,,,,,,,,Census Tract 122.01; Boulder County; Colorado,,,12,9,224,18,18,14,10,7,9,17,12,,,,,,,,,,,,10,10,264,19,26,11,14,9,9,18,6,,,,,,,,,,,1400000US08013012201,7,11,488,7,,11,10,16,13,12,10,7
,,,,,,,,,,,10,8,20,2,2,7,6,12,7,1,,,,,,,,,Census Tract 122.04; Boulder County; Colorado,,,4,9,179,10,51,0,2,2,9,8,4,,,,,,,,,,,,13,4,150,10,27,5,10,9,6,5,7,,,,,,,,,,,1400000US08013012204,5,6,329,4,,5,5,8,3,9,8,6
,,,,,,,,,,,5,6,9,5,2,4,8,6,6,1,,,,,,,,,Census Tract 122.05; Boulder County; Colorado,,,2,5,131,5,27,2,8,5,14,4,6,,,,,,,,,,,,16,5,137,3,24,7,5,2,3,2,11,,,,,,,,,,,1400000US08013012205,12,4,268,6,,6,6,5,9,3,8,1
,,,,,,,,,,,2,3,3,1,2,5,2,4,1,2,,,,,,,,,Census Tract 122.06; Boulder County; Colorado,,,3,2,157,4,74,1,8,2,8,5,5,,,,,,,,,,,,35,7,176,1,87,5,4,2,2,3,4,,,,,,,,,,,1400000US08013012206,4,1,333,0,,22,1,9,0,4,5,0
,,,,,,,,,,,30,24,21,32,15,20,28,25,33,28,,,,,,,,,Census Tract 122.07; Boulder County; Colorado,,,26,25,556,26,33,32,32,23,24,34,23,,,,,,,,,,,,28,27,563,40,33,32,33,36,27,35,22,,,,,,,,,,,1400000US08013012207,36,32,1119,27,,20,40,24,27,18,19,29
