P014011,P014033,P014010,P014032,P014013,P014035,P014012,P014034,P014031,P014030,P014019,P014018,P014015,P014037,P014014,P014036,P014017,P014039,P014016,P014038,P014022,P014021,P014043,P014002,P014024,P014001,P014023,P014040,P014020,P014042,P014041,NAME,GEO_ID,P014008,P014007,P014029,P014009,P014004,P014026,P014003,P014025,P014006,P014028,P014005,P014027
24,32,25,32,30,38,40,40,32,43,24,28,37,25,29,42,18,23,23,28,14,18,12,581,14,1157,576,24,32,15,26,"Census Tract 121.01, Boulder County, Colorado",1400000US08013012101,44,34,28,52,27,22,27,34,26,30,29,36
27,29,32,38,27,28,28,27,27,37,27,15,29,21,41,28,28,27,20,26,29,22,22,614,34,1224,610,27,19,28,21,"Census Tract 121.02, Boulder County, Colorado",1400000US08013012102,36,42,43,30,43,39,44,31,40,37,35,40
22,15,23,22,28,27,23,21,26,24,22,24,20,22,19,23,21,23,24,15,11,24,12,402,20,817,415,23,23,22,19,"Census Tract 121.03, Boulder County, Colorado",1400000US08013012103,20,9,25,20,17,20,21,16,22,20,9,20
25,15,25,22,16,21,17,14,18,12,26,16,25,17,15,10,24,20,15,19,15,17,5,346,14,658,312,17,19,17,20,"Census Tract 121.04, Boulder County, Colorado",1400000US08013012104,11,17,16,17,8,11,12,7,11,14,15,23
59,36,36,45,52,41,32,28,42,27,26,35,34,40,36,40,37,30,46,44,30,34,20,765,47,1468,703,43,31,17,40,"Census Tract 121.05, Boulder County, Colorado",1400000US08013012105,50,45,40,21,40,25,33,28,43,40,45,30
13,10,9,5,14,14,13,9,9,17,14,8,11,12,10,11,14,18,11,8,15,9,25,241,12,476,235,12,13,7,19,"Census Tract 122.01, Boulder County, Colorado",1400000US08013012201,12,14,12,20,12,11,10,4,13,14,6,6
7,5,10,4,5,5,1,3,11,8,5,2,9,2,2,4,7,7,2,5,111,26,149,257,9,536,279,5,8,13,5,"Census Tract 122.02, Boulder County, Colorado",1400000US08013012202,8,8,9,11,8,4,13,14,7,11,7,6
31,25,30,31,21,19,16,22,35,29,17,31,16,26,20,27,21,18,17,24,30,27,19,529,56,1129,600,24,25,19,29,"Census Tract 122.03, Boulder County, Colorado",1400000US08013012203,26,41,41,29,34,45,44,39,30,25,23,47
5,1,6,4,2,0,5,1,4,3,1,3,3,1,2,2,1,1,2,3,38,5,85,123,13,288,165,6,2,5,4,"Census Tract 122.04, Boulder County, Colorado",1400000US08013012204,6,3,2,5,10,6,14,10,8,9,2,5
6,3,3,1,4,1,4,8,4,7,3,3,2,2,3,1,1,2,4,0,1348,814,1080,2291,13,4375,2084,1,8,895,15,"Census Tract 123, Boulder County, Colorado",1400000US08013012300,12,12,9,5,17,16,14,8,12,11,16,7
2,7,10,9,7,5,5,8,3,4,2,8,9,2,2,8,8,4,4,9,268,39,407,425,12,975,550,9,9,14,5,"Census Tract 124.01, Boulder County, Colorado",1400000US08013012401,3,6,4,9,9,8,8,10,9,9,8,13
13,11,13,16,13,12,6,14,9,9,10,13,12,12,10,8,10,6,13,7,15,17,21,224,13,443,219,8,7,5,15,"Census Tract 125.01, Boulder County, Colorado",1400000US08013012501,14,9,14,9,8,8,9,10,11,7,12,14
29,25,19,18,28,14,24,18,26,22,30,19,26,22,20,29,21,17,18,16,22,19,24,437,15,845,408,20,21,13,16,"Census Tract 125.05, Boulder County, Colorado",1400000US08013012505,27,19,26,23,22,27,12,14,17,27,21,19
12,7,10,20,12,7,24,8,8,18,11,8,12,11,18,16,13,10,13,10,88,8,78,337,23,645,308,6,7,9,10,"Census Tract 125.07, Boulder County, Colorado",1400000US08013012507,13,12,10,16,17,14,16,17,13,11,14,15
7,12,10,6,5,16,9,9,10,9,8,7,6,7,9,9,6,11,6,13,36,16,34,227,11,472,245,6,9,11,8,"Census Tract 125.08, Boulder County, Colorado",1400000US08013012508,13,12,19,12,17,14,13,16,12,7,14,17
16,21,23,16,12,28,21,12,18,22,23,21,24,11,27,27,23,22,26,14,11,13,8,421,18,774,353,19,33,11,19,"Census Tract 125.09, Boulder County, Colorado",1400000US08013012509,18,21,17,20,19,17,29,11,18,22,23,20
33,29,21,28,20,36,27,18,20,15,28,31,30,24,33,25,26,33,34,21,12,25,11,484,20,916,432,30,35,19,22,"Census Tract 125.10, Boulder County, Colorado",1400000US08013012510,22,22,16,23,15,21,22,14,17,20,8,10
11,9,15,12,8,11,10,14,13,5,15,13,18,15,8,8,14,10,7,10,467,204,612,901,19,2044,1143,20,15,313,14,"Census Tract 125.11, Boulder County, Colorado",1400000US08013012511,15,9,5,10,14,16,19,12,10,11,19,14
14,24,24,19,24,18,12,10,20,17,18,16,25,21,20,7,21,16,15,23,16,16,17,344,9,687,343,27,17,16,21,"Census Tract 126.03, Boulder County, Colorado",1400000US08013012603,18,18,21,16,10,15,13,9,13,17,18,16
3,1,4,7,1,0,2,4,5,1,4,1,0,1,1,2,1,1,3,0,45,0,45,126,8,242,116,1,2,5,2,"Census Tract 126.05, Boulder County, Colorado",1400000US08013012605,9,6,5,3,7,8,14,11,9,3,11,6
3,3,4,7,3,2,2,2,3,3,3,5,4,3,4,5,2,3,5,1,152,23,100,247,4,444,197,3,1,21,6,"Census Tract 126.07, Boulder County, Colorado",1400000US08013012607,5,4,6,7,7,5,9,11,2,2,2,7
10,9,9,2,3,9,12,11,9,9,9,5,9,5,9,7,3,4,5,2,21,7,14,175,15,349,174,5,6,4,7,"Census Tract 126.08, Boulder County, Colorado",1400000US08013012608,12,9,10,8,9,10,11,13,12,17,6,12
38,25,38,33,31,37,36,25,33,39,49,33,38,42,43,35,42,39,38,35,14,34,13,649,29,1280,631,40,35,26,43,"Census Tract 127.01, Boulder County, Colorado",1400000US08013012701,29,34,31,27,22,23,20,19,23,40,25,24
11,14,17,14,14,7,9,17,21,11,10,9,11,12,17,17,9,11,11,7,8,21,24,260,15,526,266,9,18,7,22,"Census Tract 127.05, Boulder County, Colorado",1400000US08013012705,12,18,12,11,12,14,14,11,15,9,13,12
16,16,7,15,9,15,16,10,10,9,13,12,15,14,17,13,14,13,13,14,20,24,6,263,7,491,228,19,14,9,11,"Census Tract 127.07, Boulder County, Colorado",1400000US08013012707,11,7,2,21,10,14,11,8,6,13,7,10
39,30,30,29,39,31,20,29,25,33,40,35,33,36,32,35,32,45,31,42,14,26,9,591,23,1161,570,40,50,29,35,"Census Tract 127.08, Boulder County, Colorado",1400000US08013012708,25,27,29,23,19,18,18,14,31,22,27,16
17,12,10,13,11,11,10,11,11,12,8,10,8,8,10,16,16,11,10,16,4,16,3,231,10,463,232,16,10,4,20,"Census Tract 127.09, Boulder County, Colorado",1400000US08013012709,10,12,10,10,15,9,15,11,13,16,16,12
19,20,18,29,20,25,28,24,16,17,31,30,23,25,24,32,48,27,24,25,14,33,5,445,9,865,420,34,21,24,30,"Census Tract 127.10, Boulder County, Colorado",1400000US08013012710,21,12,16,24,13,12,12,18,18,12,12,20
114,119,115,103,104,103,94,97,106,101,89,79,99,84,94,91,73,84,106,74,39,54,27,1782,64,3489,1707,73,99,58,74,"Census Tract 128, Boulder County, Colorado",1400000US08013012800,101,104,99,100,71,91,75,85,87,79,85,95
22,11,20,19,13,11,19,17,13,18,9,6,16,13,9,14,20,19,11,15,11,14,5,299,9,553,254,14,12,7,18,"Census Tract 129.03, Boulder County, Colorado",1400000US08013012903,23,26,10,15,11,14,14,8,14,10,14,9
34,34,44,26,33,35,30,35,22,31,40,35,38,25,36,38,35,29,37,37,19,41,17,707,40,1332,625,33,48,29,27,"Census Tract 129.04, Boulder County, Colorado",1400000US08013012904,36,24,36,46,33,38,31,33,31,25,36,35
16,17,20,16,17,15,17,16,14,14,10,10,15,13,21,16,11,11,13,12,15,9,13,324,13,624,300,10,13,7,15,"Census Tract 129.05, Boulder County, Colorado",1400000US08013012905,23,16,16,20,25,18,17,27,19,15,17,22
25,22,16,9,21,10,15,23,21,14,18,20,22,11,18,13,20,14,26,20,13,19,12,396,14,755,359,16,20,21,20,"Census Tract 129.07, Boulder County, Colorado",1400000US08013012907,17,27,24,14,22,23,17,27,25,19,21,26
36,30,49,44,39,37,37,38,34,44,34,36,29,31,41,44,36,26,53,44,15,22,14,722,27,1396,674,36,37,27,35,"Census Tract 130.03, Boulder County, Colorado",1400000US08013013003,41,38,36,42,35,32,36,29,38,34,28,32
31,29,24,48,35,26,23,30,19,25,31,31,24,16,24,31,40,23,32,36,20,28,15,562,19,1075,513,15,35,21,39,"Census Tract 130.04, Boulder County, Colorado",1400000US08013013004,36,27,23,27,19,21,27,20,24,33,24,24
21,22,26,18,24,17,26,16,20,20,21,25,21,23,16,21,21,22,19,20,10,20,11,421,12,804,383,15,22,9,23,"Census Tract 130.05, Boulder County, Colorado",1400000US08013013005,21,26,38,20,16,22,21,15,17,18,28,21
25,35,36,34,42,32,46,37,33,50,38,57,32,47,36,37,37,38,33,45,24,34,10,725,29,1447,722,39,46,29,45,"Census Tract 130.06, Boulder County, Colorado",1400000US08013013006,32,38,34,37,31,36,27,31,40,40,34,41
2,13,7,7,15,8,3,16,5,4,11,10,11,12,10,7,24,7,15,14,10,10,7,175,0,324,149,11,14,5,18,"Census Tract 132.01, Boulder County, Colorado",1400000US08013013201,5,10,5,10,2,2,1,1,1,4,4,3
8,12,8,9,9,7,7,9,7,11,13,6,9,9,9,8,13,5,10,13,0,8,2,139,4,287,148,9,10,11,12,"Census Tract 132.02, Boulder County, Colorado",1400000US08013013202,4,11,4,5,1,3,3,5,3,4,2,4
41,32,36,41,33,48,27,38,32,32,45,51,52,53,44,45,68,57,41,51,16,39,7,681,12,1390,709,49,44,38,63,"Census Tract 132.05, Boulder County, Colorado",1400000US08013013205,21,27,23,32,17,27,17,15,17,27,13,19
36,31,20,27,35,33,28,24,24,23,32,27,30,28,27,35,36,37,30,36,24,29,21,543,10,1073,530,36,44,29,44,"Census Tract 132.07, Boulder County, Colorado",1400000US08013013207,29,16,18,20,20,17,19,20,24,24,17,13
42,29,30,26,45,28,37,28,18,31,48,34,34,49,33,37,35,33,48,43,23,41,29,685,22,1293,608,52,45,29,39,"Census Tract 132.08, Boulder County, Colorado",1400000US08013013208,25,22,30,38,19,21,31,21,27,22,28,21
43,43,33,36,35,26,37,34,44,47,37,34,55,34,35,35,42,33,37,36,34,42,32,780,42,1525,745,37,52,35,44,"Census Tract 132.10, Boulder County, Colorado",1400000US08013013210,43,27,49,45,39,36,38,35,33,33,39,34
48,59,43,37,56,51,45,44,54,43,63,42,47,66,49,43,51,37,63,43,28,36,19,909,29,1764,855,47,59,34,45,"Census Tract 132.11, Boulder County, Colorado",1400000US08013013211,50,42,43,46,42,43,20,36,49,37,30,45
29,28,26,32,40,31,37,37,31,32,36,27,41,24,32,40,32,39,29,25,20,26,12,632,20,1211,579,31,27,22,36,"Census Tract 132.12, Boulder County, Colorado",1400000US08013013212,32,36,38,40,32,23,26,19,32,25,32,34
74,62,81,74,71,63,70,69,70,65,48,60,78,59,58,70,56,44,68,44,32,52,26,1261,57,2425,1164,59,49,37,43,"Census Tract 132.13, Boulder County, Colorado",1400000US08013013213,60,72,63,82,61,60,65,49,64,77,60,73
31,32,25,34,36,27,24,28,39,37,20,30,20,29,26,35,19,25,24,33,31,30,19,575,27,1181,606,35,30,27,24,"Census Tract 133.02, Boulder County, Colorado",1400000US08013013302,31,23,32,36,26,29,32,29,35,27,46,38
34,35,29,36,28,35,36,35,25,28,49,26,29,25,37,34,37,34,26,32,33,40,33,671,30,1306,635,26,31,37,35,"Census Tract 133.05, Boulder County, Colorado",1400000US08013013305,31,44,29,35,31,38,29,34,32,29,34,25
29,32,37,25,29,34,25,27,33,38,24,29,24,25,28,36,28,15,35,22,27,27,27,606,42,1235,629,29,34,30,29,"Census Tract 133.06, Boulder County, Colorado",1400000US08013013306,28,26,33,33,34,39,41,31,33,43,35,39
24,24,22,14,29,17,16,14,21,19,28,29,31,12,15,20,15,18,22,19,21,28,14,476,15,839,363,19,24,25,7,"Census Tract 133.07, Boulder County, Colorado",1400000US08013013307,25,19,18,16,28,25,22,21,36,25,26,16
19,11,26,22,10,14,17,17,21,13,26,13,16,16,17,8,15,22,13,18,15,21,10,364,19,707,343,12,17,14,18,"Census Tract 133.08, Boulder County, Colorado",1400000US08013013308,20,15,24,19,28,21,18,20,16,15,23,28
22,16,30,26,20,18,25,25,19,25,22,10,21,17,29,14,13,21,21,16,19,27,27,488,20,922,434,16,24,23,30,"Census Tract 134.01, Boulder County, Colorado",1400000US08013013401,26,26,16,27,31,26,31,36,30,19,34,24
55,55,58,62,49,48,57,66,56,63,52,54,52,56,55,54,43,45,42,49,35,38,28,1071,61,2158,1087,46,47,41,46,"Census Tract 134.02, Boulder County, Colorado",1400000US08013013402,74,59,56,58,59,50,58,60,61,70,65,75
53,52,51,47,45,35,52,46,40,48,40,29,39,40,41,42,36,33,31,30,36,58,22,949,47,1810,861,37,54,35,47,"Census Tract 135.03, Boulder County, Colorado",1400000US08013013503,58,56,57,45,48,53,52,45,63,47,62,58
44,23,22,36,29,19,24,37,37,26,17,22,24,23,15,11,18,21,16,12,25,22,24,545,29,1092,547,18,23,20,17,"Census Tract 135.05, Boulder County, Colorado",1400000US08013013505,32,40,41,26,39,39,35,39,35,35,37,40
38,24,51,28,31,33,40,37,38,42,21,27,42,36,30,35,24,30,31,30,15,28,15,631,31,1246,615,31,28,24,33,"Census Tract 135.06, Boulder County, Colorado",1400000US08013013506,34,30,27,40,30,36,22,28,32,23,37,34
34,25,27,22,31,27,32,21,32,31,37,19,31,19,31,33,29,24,20,22,28,27,20,547,16,1021,474,19,27,26,19,"Census Tract 135.07, Boulder County, Colorado",1400000US08013013507,26,39,33,26,19,26,23,20,23,19,18,20
62,60,65,63,73,51,72,68,61,57,54,69,55,60,71,65,48,55,74,60,23,33,23,1096,36,2140,1044,62,50,25,51,"Census Tract 135.08, Boulder County, Colorado",1400000US08013013508,52,65,62,55,29,49,51,40,47,47,48,49
25,21,17,23,28,16,22,15,29,17,20,20,18,20,20,32,25,18,23,22,9,14,14,441,20,851,410,20,22,10,29,"Census Tract 136.01, Boulder County, Colorado",1400000US08013013601,24,34,17,16,28,18,23,23,36,27,17,19
1,1,3,0,4,3,2,5,1,3,4,6,4,1,4,3,4,2,4,2,0,6,1,68,3,112,44,2,4,0,1,"Census Tract 136.02, Boulder County, Colorado",1400000US08013013602,6,3,4,3,1,5,3,0,3,2,3,5
29,26,36,42,34,37,34,33,38,33,25,39,29,38,30,36,39,27,30,32,19,26,18,617,23,1221,604,35,28,17,34,"Census Tract 137.01, Boulder County, Colorado",1400000US08013013701,26,33,35,31,30,25,26,15,47,30,26,30
21,37,26,29,30,32,38,29,34,30,36,26,34,25,35,27,18,29,32,25,15,15,15,549,30,1101,552,42,34,19,18,"Census Tract 137.02, Boulder County, Colorado",1400000US08013013702,27,27,35,36,23,20,33,25,25,31,18,20
29,28,38,39,43,43,33,39,27,25,33,29,33,30,40,41,38,34,41,35,27,29,21,656,26,1277,621,23,28,20,33,"Census Tract 606, Boulder County, Colorado",1400000US08013060600,34,33,30,34,30,39,29,31,21,32,34,25
23,18,13,18,25,30,12,20,19,17,31,28,28,23,20,24,20,41,26,23,21,15,10,385,9,761,376,28,31,22,21,"Census Tract 607, Boulder County, Colorado",1400000US08013060700,8,12,11,16,12,5,12,12,16,11,16,14
53,41,58,40,37,45,41,51,47,45,41,47,31,40,40,46,50,42,43,36,30,47,40,869,41,1716,847,33,43,43,34,"Census Tract 608, Boulder County, Colorado",1400000US08013060800,38,45,40,59,43,47,39,45,44,42,40,49
33,31,39,25,28,25,26,34,20,30,23,26,21,26,30,34,38,35,24,31,18,28,13,558,25,1079,521,26,42,19,24,"Census Tract 609, Boulder County, Colorado",1400000US08013060900,27,26,24,27,26,21,24,31,26,23,26,24
40,51,37,36,50,48,54,36,35,44,46,43,53,35,44,42,54,37,37,51,10,26,16,707,11,1382,675,58,35,18,35,"Census Tract 613, Boulder County, Colorado",1400000US08013061300,34,25,34,37,18,21,10,12,32,34,22,21
49,52,55,34,48,34,46,36,51,36,39,41,44,35,45,46,55,36,38,45,15,28,15,822,24,1556,734,36,31,24,27,"Census Tract 614, Boulder County, Colorado",1400000US08013061400,52,49,51,44,33,34,28,30,45,41,37,47
