FIPS,GEONAME,AgeGroup,Age,Change1120,Cng5Yr1120
1,"Adams County, Colorado",15,15,-14,-344
1,"Adams County, Colorado",15,16,-42,
1,"Adams County, Colorado",15,17,-77,
1,"Adams County, Colorado",15,18,-91,
1,"Adams County, Colorado",15,19,-120,
1,"Adams County, Colorado",20,20,-109,-379
1,"Adams County, Colorado",20,21,-72,
1,"Adams County, Colorado",20,22,-84,
1,"Adams County, Colorado",20,23,-65,
1,"Adams County, Colorado",20,24,-49,
1,"Adams County, Colorado",25,25,-75,-106
1,"Adams County, Colorado",25,26,-16,
1,"Adams County, Colorado",25,27,-37,
1,"Adams County, Colorado",25,28,16,
1,"Adams County, Colorado",25,29,6,
1,"Adams County, Colorado",30,30,21,115
1,"Adams County, Colorado",30,31,-51,
1,"Adams County, Colorado",30,32,46,
1,"Adams County, Colorado",30,33,46,
1,"Adams County, Colorado",30,34,53,
1,"Adams County, Colorado",35,35,103,253
1,"Adams County, Colorado",35,36,71,
1,"Adams County, Colorado",35,37,49,
1,"Adams County, Colorado",35,38,26,
1,"Adams County, Colorado",35,39,4,
1,"Adams County, Colorado",40,40,18,32
1,"Adams County, Colorado",40,41,3,
1,"Adams County, Colorado",40,42,13,
1,"Adams County, Colorado",40,43,-3,
1,"Adams County, Colorado",40,44,1,
3,"Alamosa County, Colorado",15,15,0,-16
3,"Alamosa County, Colorado",15,16,0,
3,"Alamosa County, Colorado",15,17,-2,
3,"Alamosa County, Colorado",15,18,-2,
3,"Alamosa County, Colorado",15,19,-12,
3,"Alamosa County, Colorado",20,20,-16,-37
3,"Alamosa County, Colorado",20,21,1,
3,"Alamosa County, Colorado",20,22,-13,
3,"Alamosa County, Colorado",20,23,-4,
3,"Alamosa County, Colorado",20,24,-5,
3,"Alamosa County, Colorado",25,25,-7,-11
3,"Alamosa County, Colorado",25,26,-10,
3,"Alamosa County, Colorado",25,27,-1,
3,"Alamosa County, Colorado",25,28,-1,
3,"Alamosa County, Colorado",25,29,8,
3,"Alamosa County, Colorado",30,30,-3,11
3,"Alamosa County, Colorado",30,31,8,
3,"Alamosa County, Colorado",30,32,0,
3,"Alamosa County, Colorado",30,33,5,
3,"Alamosa County, Colorado",30,34,1,
3,"Alamosa County, Colorado",35,35,2,5
3,"Alamosa County, Colorado",35,36,0,
3,"Alamosa County, Colorado",35,37,0,
3,"Alamosa County, Colorado",35,38,0,
3,"Alamosa County, Colorado",35,39,3,
3,"Alamosa County, Colorado",40,40,5,2
3,"Alamosa County, Colorado",40,41,0,
3,"Alamosa County, Colorado",40,42,0,
3,"Alamosa County, Colorado",40,43,-3,
3,"Alamosa County, Colorado",40,44,0,
5,"Arapahoe County, Colorado",15,15,-4,-260
5,"Arapahoe County, Colorado",15,16,-36,
5,"Arapahoe County, Colorado",15,17,-41,
5,"Arapahoe County, Colorado",15,18,-93,
5,"Arapahoe County, Colorado",15,19,-86,
5,"Arapahoe County, Colorado",20,20,-126,-413
5,"Arapahoe County, Colorado",20,21,-75,
5,"Arapahoe County, Colorado",20,22,-64,
5,"Arapahoe County, Colorado",20,23,-90,
5,"Arapahoe County, Colorado",20,24,-58,
5,"Arapahoe County, Colorado",25,25,-69,-215
5,"Arapahoe County, Colorado",25,26,-85,
5,"Arapahoe County, Colorado",25,27,-21,
5,"Arapahoe County, Colorado",25,28,-44,
5,"Arapahoe County, Colorado",25,29,4,
5,"Arapahoe County, Colorado",30,30,48,389
5,"Arapahoe County, Colorado",30,31,61,
5,"Arapahoe County, Colorado",30,32,81,
5,"Arapahoe County, Colorado",30,33,85,
5,"Arapahoe County, Colorado",30,34,114,
5,"Arapahoe County, Colorado",35,35,56,282
5,"Arapahoe County, Colorado",35,36,81,
5,"Arapahoe County, Colorado",35,37,35,
5,"Arapahoe County, Colorado",35,38,67,
5,"Arapahoe County, Colorado",35,39,43,
5,"Arapahoe County, Colorado",40,40,37,73
5,"Arapahoe County, Colorado",40,41,17,
5,"Arapahoe County, Colorado",40,42,11,
5,"Arapahoe County, Colorado",40,43,3,
5,"Arapahoe County, Colorado",40,44,5,
7,"Archuleta County, Colorado",15,15,0,-12
7,"Archuleta County, Colorado",15,16,0,
7,"Archuleta County, Colorado",15,17,-3,
7,"Archuleta County, Colorado",15,18,0,
7,"Archuleta County, Colorado",15,19,-9,
7,"Archuleta County, Colorado",20,20,-4,-13
7,"Archuleta County, Colorado",20,21,-7,
7,"Archuleta County, Colorado",20,22,-5,
7,"Archuleta County, Colorado",20,23,6,
7,"Archuleta County, Colorado",20,24,-3,
7,"Archuleta County, Colorado",25,25,-9,-16
7,"Archuleta County, Colorado",25,26,-2,
7,"Archuleta County, Colorado",25,27,1,
7,"Archuleta County, Colorado",25,28,-5,
7,"Archuleta County, Colorado",25,29,-1,
7,"Archuleta County, Colorado",30,30,-1,1
7,"Archuleta County, Colorado",30,31,-5,
7,"Archuleta County, Colorado",30,32,-2,
7,"Archuleta County, Colorado",30,33,5,
7,"Archuleta County, Colorado",30,34,4,
7,"Archuleta County, Colorado",35,35,-1,7
7,"Archuleta County, Colorado",35,36,-1,
7,"Archuleta County, Colorado",35,37,5,
7,"Archuleta County, Colorado",35,38,1,
7,"Archuleta County, Colorado",35,39,3,
7,"Archuleta County, Colorado",40,40,-3,-3
7,"Archuleta County, Colorado",40,41,0,
7,"Archuleta County, Colorado",40,42,0,
7,"Archuleta County, Colorado",40,43,0,
7,"Archuleta County, Colorado",40,44,0,
9,"Baca County, Colorado",15,15,0,0
9,"Baca County, Colorado",15,16,0,
9,"Baca County, Colorado",15,17,0,
9,"Baca County, Colorado",15,18,0,
9,"Baca County, Colorado",15,19,0,
9,"Baca County, Colorado",20,20,-2,0
9,"Baca County, Colorado",20,21,0,
9,"Baca County, Colorado",20,22,5,
9,"Baca County, Colorado",20,23,0,
9,"Baca County, Colorado",20,24,-3,
9,"Baca County, Colorado",25,25,-5,1
9,"Baca County, Colorado",25,26,3,
9,"Baca County, Colorado",25,27,3,
9,"Baca County, Colorado",25,28,0,
9,"Baca County, Colorado",25,29,0,
9,"Baca County, Colorado",30,30,0,-3
9,"Baca County, Colorado",30,31,-3,
9,"Baca County, Colorado",30,32,0,
9,"Baca County, Colorado",30,33,0,
9,"Baca County, Colorado",30,34,0,
9,"Baca County, Colorado",35,35,4,4
9,"Baca County, Colorado",35,36,0,
9,"Baca County, Colorado",35,37,0,
9,"Baca County, Colorado",35,38,0,
9,"Baca County, Colorado",35,39,0,
9,"Baca County, Colorado",40,40,0,0
9,"Baca County, Colorado",40,41,0,
9,"Baca County, Colorado",40,42,0,
9,"Baca County, Colorado",40,43,0,
9,"Baca County, Colorado",40,44,0,
11,"Bent County, Colorado",15,15,0,0
11,"Bent County, Colorado",15,16,0,
11,"Bent County, Colorado",15,17,0,
11,"Bent County, Colorado",15,18,0,
11,"Bent County, Colorado",15,19,0,
11,"Bent County, Colorado",20,20,0,-6
11,"Bent County, Colorado",20,21,5,
11,"Bent County, Colorado",20,22,0,
11,"Bent County, Colorado",20,23,-4,
11,"Bent County, Colorado",20,24,-7,
11,"Bent County, Colorado",25,25,3,9
11,"Bent County, Colorado",25,26,0,
11,"Bent County, Colorado",25,27,6,
11,"Bent County, Colorado",25,28,-3,
11,"Bent County, Colorado",25,29,3,
11,"Bent County, Colorado",30,30,-3,0
11,"Bent County, Colorado",30,31,0,
11,"Bent County, Colorado",30,32,3,
11,"Bent County, Colorado",30,33,0,
11,"Bent County, Colorado",30,34,0,
11,"Bent County, Colorado",35,35,0,0
11,"Bent County, Colorado",35,36,0,
11,"Bent County, Colorado",35,37,0,
11,"Bent County, Colorado",35,38,0,
11,"Bent County, Colorado",35,39,0,
11,"Bent County, Colorado",40,40,0,0
11,"Bent County, Colorado",40,41,0,
11,"Bent County, Colorado",40,42,0,
11,"Bent County, Colorado",40,43,0,
11,"Bent County, Colorado",40,44,0,
13,"Boulder County, Colorado",15,15,-9,-90
13,"Boulder County, Colorado",15,16,-4,
13,"Boulder County, Colorado",15,17,-23,
