"Region Number","Region Name","Year","Population","Change","Births","Deaths","Net Migration","Data Type"
"0","Colorado","1970","2,224,610","58,710","40,348","17,274","35,636","Estimate"
"0","Colorado","1971","2,284,660","60,050","40,937","17,680","36,793","Estimate"
"0","Colorado","1972","2,378,318","93,660","39,485","17,890","72,065","Estimate"
"0","Colorado","1973","2,489,591","111,276","38,563","18,258","90,971","Estimate"
"0","Colorado","1974","2,543,764","54,173","38,791","18,254","33,636","Estimate"
"0","Colorado","1975","2,576,902","33,138","39,606","17,637","11,169","Estimate"
"0","Colorado","1976","2,618,311","41,409","40,576","17,700","18,533","Estimate"
"0","Colorado","1977","2,676,220","57,909","42,031","17,934","33,812","Estimate"
"0","Colorado","1978","2,766,084","89,864","43,573","18,114","64,405","Estimate"
"0","Colorado","1979","2,850,234","84,150","45,637","18,380","56,893","Estimate"
"0","Colorado","1980","2,908,036","57,802","48,463","18,685","28,024","Estimate"
"0","Colorado","1981","2,980,340","72,301","50,919","19,153","40,535","Estimate"
"0","Colorado","1982","3,064,868","84,522","53,457","19,512","50,577","Estimate"
"0","Colorado","1983","3,137,512","72,639","54,726","19,599","37,512","Estimate"
"0","Colorado","1984","3,174,844","37,323","54,498","19,957","2,782","Estimate"
"0","Colorado","1985","3,214,448","39,596","54,734","20,310","5,172","Estimate"
"0","Colorado","1986","3,243,803","29,351","55,139","20,518","-5,270","Estimate"
"0","Colorado","1987","3,263,354","19,551","54,490","20,942","-13,997","Estimate"
"0","Colorado","1988","3,271,448","8,094","53,589","21,215","-24,280","Estimate"
"0","Colorado","1989","3,284,537","13,089","53,040","21,199","-18,752","Estimate"
"0","Colorado","1990","3,303,377","18,840","53,107","21,303","-12,964","Estimate"
"0","Colorado","1991","3,380,938","77,561","53,530","22,094","46,125","Estimate"
"0","Colorado","1992","3,489,860","108,922","54,545","22,428","76,805","Estimate"
"0","Colorado","1993","3,605,050","115,190","54,100","23,171","84,261","Estimate"
"0","Colorado","1994","3,712,085","107,035","53,787","23,829","77,077","Estimate"
"0","Colorado","1995","3,811,078","98,993","53,863","24,695","69,825","Estimate"
"0","Colorado","1996","3,902,506","91,428","54,974","25,073","61,527","Estimate"
"0","Colorado","1997","3,995,955","93,449","56,305","25,876","63,020","Estimate"
"0","Colorado","1998","4,102,500","106,545","57,736","26,293","75,102","Estimate"
"0","Colorado","1999","4,216,006","113,506","60,718","26,531","79,319","Estimate"
"0","Colorado","2000","4,338,785","122,779","63,917","26,997","85,859","Estimate"
"0","Colorado","2001","4,444,513","105,728","66,525","27,934","67,137","Estimate"
"0","Colorado","2002","4,504,709","60,196","67,778","28,832","21,250","Estimate"
"0","Colorado","2003","4,555,084","50,375","69,012","28,949","10,312","Estimate"
"0","Colorado","2004","4,608,811","53,727","68,452","29,024","14,299","Estimate"
"0","Colorado","2005","4,662,534","53,723","69,029","29,085","13,779","Estimate"
"0","Colorado","2006","4,745,660","83,126","69,537","29,306","42,895","Estimate"
"0","Colorado","2007","4,821,784","76,124","70,777","29,652","34,999","Estimate"
"0","Colorado","2008","4,901,938","80,154","70,731","31,044","40,467","Estimate"
"0","Colorado","2009","4,976,853","74,915","69,135","30,485","36,265","Estimate"
"0","Colorado","2010","5,050,332","73,479","67,306","31,396","37,569","Estimate"
"0","Colorado","2011","5,123,550","73,218","65,923","32,017","39,312","Estimate"
"0","Colorado","2012","5,194,662","71,112","64,733","32,762","39,141","Estimate"
"0","Colorado","2013","5,270,884","76,222","64,737","33,624","45,109","Estimate"
"0","Colorado","2014","5,347,654","76,770","65,711","34,003","45,062","Estimate"
"0","Colorado","2015","5,446,593","98,939","66,339","36,244","68,844","Estimate"
"0","Colorado","2016","5,529,629","83,036","66,559","36,820","53,297","Estimate"
"0","Colorado","2017","5,599,589","69,960","65,312","37,747","42,395","Estimate"
"0","Colorado","2018","5,676,913","77,324","63,782","38,218","51,760","Estimate"
"0","Colorado","2019","5,734,913","58,000","62,484","38,645","34,161","Estimate"
"0","Colorado","2020","5,784,584","49,671","62,804","42,146","29,013","Estimate"
"0","Colorado","2021","5,811,026","26,442","61,976","46,499","10,965","Estimate"
"0","Colorado","2022","5,838,736","27,710","62,300","49,735","15,145","Estimate"
